,Soil_Type,Soil_Nutrient_Levels,Organic_Matter_Content,Cover_Cropping,Soil_Erosion_Prevention,Crop_Type,Crop_Rotation_Practice,Soil_Health_Index
31,Clayey,1.2445751448175975,1.029567605777172,No,Terracing,Wheat,No,6.101372110470681
32,Loamy,9.696190696361183,3.0365416516863966,Yes,Windbreaks,Maize,Yes,9.390049283660169
33,Loamy,2.147085634805821,1.5572779295121855,No,Terracing,Wheat,Yes,3.44473117670887
34,Clayey,7.3691949369755685,4.464908122314707,No,Terracing,Maize,No,7.6820974092536805
35,Loamy,9.754986906028773,4.486343531449626,No,Windbreaks,Wheat,Yes,1.7445862658890463
36,Clayey,8.434351464999146,2.673383229975032,Yes,Windbreaks,Maize,Yes,5.710349327238739
37,Clayey,7.293838376135833,2.777582473804322,No,Terracing,Wheat,No,8.95572216502568
38,Sandy,8.555148185506901,2.2131317576181084,No,Windbreaks,Rice,No,5.965383557341662
39,Clayey,9.836188239345649,3.866425195840124,Yes,Windbreaks,Rice,No,6.546275441533912
40,Sandy,6.592100475281766,2.4346454521058365,No,Contour Plowing,Rice,Yes,9.168753639785896
41,Clayey,6.032663261463938,2.071169898090535,No,Windbreaks,Wheat,Yes,7.4382457604482255
42,Clayey,6.654142994169533,2.728924238018033,No,Windbreaks,Maize,Yes,7.26282712201839
43,Sandy,5.794082980853995,1.3659500735498349,Yes,Terracing,Wheat,No,6.277456198836086
44,Sandy,6.715801953187469,3.9864128185768153,No,Terracing,Wheat,No,6.696897527731766
45,Clayey,5.0485798717530335,1.0503856050871478,Yes,Contour Plowing,Wheat,Yes,8.233348816149554
46,Loamy,2.965988645949764,3.5779402460823757,Yes,Terracing,Wheat,No,9.8130977496752
47,Sandy,2.0822250386050807,1.7314581070194897,No,Windbreaks,Maize,No,8.157928186073692
48,Loamy,1.6150684197903435,1.9296161848576525,No,Windbreaks,Wheat,Yes,7.367831484642966
49,Loamy,3.3698420537788008,3.5425279945601598,No,Windbreaks,Rice,No,2.2199039525036337
50,Loamy,1.4151120790216045,4.971773863131629,No,Terracing,Rice,Yes,8.35372348697524
51,Sandy,6.104537019274471,4.110869956290203,Yes,Windbreaks,Rice,No,7.623949306588328
52,Loamy,3.5544560232116824,1.903358528893568,Yes,Windbreaks,Wheat,Yes,7.933889758611105
53,Sandy,8.420813272783288,1.7040990201645352,No,Contour Plowing,Maize,No,3.0798683041898074
54,Loamy,1.668167856895478,4.464931481070682,Yes,Contour Plowing,Maize,Yes,9.13099326886835
55,Clayey,3.0371634490733737,2.776735791686017,No,Contour Plowing,Maize,No,1.8755323151217596
56,Clayey,7.572215323811313,1.5482112113126218,No,Terracing,Wheat,No,3.282508501227519
57,Sandy,6.3892746674514225,4.448845693287753,No,Windbreaks,Maize,No,6.967210944919615
58,Clayey,1.5804214412425077,4.264369411657046,No,Windbreaks,Rice,No,7.063430174479136
59,Clayey,8.895155114459804,4.935625455588655,Yes,Windbreaks,Maize,No,3.8199210967074233
60,Loamy,8.895355865435615,4.638974746850735,Yes,Contour Plowing,Wheat,Yes,7.3136779940063334
61,Sandy,3.9736720348819645,4.407161354642167,No,Windbreaks,Wheat,Yes,4.491374838893849
62,Loamy,4.0636525901460825,1.2102975912440126,No,Windbreaks,Maize,Yes,1.0015796427213097
63,Loamy,9.901255225151566,1.417661477992472,Yes,Windbreaks,Wheat,No,2.4634551905864517
64,Loamy,6.635585544338244,3.2759327772164912,Yes,Windbreaks,Maize,Yes,8.94356447696357
65,Loamy,5.781848685112532,3.1259169851272834,Yes,Windbreaks,Maize,No,3.0042461055647696
66,Loamy,8.543369651967321,2.831852857958142,No,Terracing,Rice,No,2.0161930497298832
67,Loamy,3.5676130452158477,2.587157301658337,Yes,Windbreaks,Wheat,Yes,7.1398054533987505
68,Loamy,4.862643340567212,2.7248419394573156,No,Terracing,Rice,Yes,4.966357981687625
69,Sandy,3.4099900793950075,3.277191736539181,No,Windbreaks,Wheat,No,8.169318427578798
70,Clayey,8.102447619298584,1.0083060704003248,Yes,Terracing,Maize,No,8.753004411092093
71,Loamy,6.160144110716962,2.042835096531409,No,Windbreaks,Wheat,Yes,8.613899896485083
72,Loamy,6.929425631260635,3.0731188827548443,Yes,Windbreaks,Maize,Yes,3.8170829727720395
73,Loamy,3.270765248554659,3.888864394694585,No,Windbreaks,Wheat,No,5.5499134417134774
74,Loamy,2.982027712395836,1.6966267695815853,No,Windbreaks,Rice,No,6.851275611822677
75,Loamy,5.395371660846449,3.187524695149732,No,Contour Plowing,Rice,Yes,3.8978477855571154
76,Loamy,7.638091741835441,3.857838735543127,No,Windbreaks,Maize,No,1.3698938381771633
77,Clayey,5.727157817681442,2.7785106316556187,No,Terracing,Rice,No,5.460979440672272
78,Clayey,1.2938110979110173,1.1083245346802042,No,Contour Plowing,Maize,Yes,1.115365001190343
79,Loamy,8.816963556882598,2.797072633862547,Yes,Contour Plowing,Maize,Yes,9.555810622533524
80,Clayey,1.5821820416361843,2.1857795509766125,Yes,Windbreaks,Maize,No,8.170152814657238
81,Sandy,9.602420353486771,4.718598430805313,No,Terracing,Wheat,No,2.7280879887123506
82,Loamy,1.2262776244954545,1.4984535427133094,Yes,Terracing,Maize,Yes,3.5881457400273553
83,Sandy,7.250054105176379,3.6099038220289286,No,Contour Plowing,Rice,No,9.845546932174944
84,Sandy,1.7398635734060348,1.2108790653380046,Yes,Terracing,Wheat,Yes,4.36193698727174
85,Loamy,9.196089214916256,2.784681751250786,Yes,Windbreaks,Rice,No,8.05350121690503
86,Clayey,5.179899126029885,3.2159179488803225,No,Windbreaks,Maize,Yes,5.021339215773289
87,Sandy,2.2377139733531384,2.191819725267462,Yes,Windbreaks,Maize,No,8.77686331690549
88,Loamy,4.067341298108619,2.8203025420815377,No,Windbreaks,Rice,No,7.333781573453581
89,Sandy,2.4834220781208582,1.6542151781207495,Yes,Windbreaks,Wheat,No,1.2061905390204342
90,Sandy,2.5352372040138103,2.2164953978721447,No,Contour Plowing,Rice,Yes,3.649508973453135
91,Sandy,9.53297488154298,3.484425299640812,Yes,Windbreaks,Maize,Yes,6.021930834041072
92,Sandy,5.007215010563094,2.2072002234446204,No,Windbreaks,Wheat,Yes,9.335566396627785
93,Clayey,8.099220375148235,4.598972313635487,Yes,Contour Plowing,Maize,No,1.9182690517734133
94,Sandy,6.7564500505991365,3.513627830563959,No,Contour Plowing,Maize,No,6.410462839399603
95,Sandy,7.0878372610455305,2.754596073743938,Yes,Contour Plowing,Rice,Yes,3.719590582713918
96,Sandy,2.1852409462483466,1.1550277422167299,No,Terracing,Maize,Yes,9.003950038174963
97,Clayey,3.1076600213393712,2.998193340818685,Yes,Terracing,Rice,No,7.886526486926619
98,Sandy,8.080753016389933,4.059104968500357,No,Windbreaks,Wheat,No,4.327324498083568
99,Sandy,9.736895858273046,2.0622303920496545,Yes,Windbreaks,Maize,No,2.5039284751775233
100,Clayey,3.3640807833878656,4.22709427859507,No,Windbreaks,Maize,No,1.1034817515756798
101,Clayey,3.4441188827593585,2.007227064203526,No,Terracing,Wheat,Yes,6.590210056047539
102,Clayey,5.256074195298144,4.294985551803202,No,Windbreaks,Rice,Yes,4.655114268681194
103,Sandy,9.85456281569894,1.3410733664467096,No,Windbreaks,Maize,No,3.832808435746922
104,Clayey,3.4206305124382395,4.4647348354761185,Yes,Terracing,Wheat,No,9.86952062473152
105,Clayey,4.6627471867083745,2.996745803733322,Yes,Contour Plowing,Maize,No,5.195279220042837
106,Sandy,9.023320140611562,2.186150358481048,Yes,Terracing,Rice,Yes,7.748553552808818
107,Clayey,1.026289293592258,2.060453001660595,No,Windbreaks,Rice,Yes,2.596711755261126
108,Sandy,1.357893684897126,2.7280422357214507,No,Terracing,Rice,No,1.1210973196763239
109,Loamy,6.436645093640973,4.996197992414579,No,Contour Plowing,Rice,No,4.758063575032144
110,Clayey,9.166421482415624,1.8813095737503303,No,Contour Plowing,Wheat,No,6.990983514483956
111,Loamy,3.149709943617349,1.4128665955159985,No,Contour Plowing,Maize,No,5.559388265651135
112,Sandy,5.226775972126381,3.3401406748746476,Yes,Contour Plowing,Wheat,No,9.014196318619518
113,Clayey,5.0541877149203644,2.9541698657610285,Yes,Contour Plowing,Rice,No,4.905814160684483
114,Sandy,5.256742114859591,3.0967850842532294,Yes,Contour Plowing,Rice,Yes,3.799025318377821
115,Loamy,6.602677261567707,3.6677416702288683,No,Windbreaks,Rice,Yes,9.244438085868792
116,Sandy,5.2276938669161535,2.0685762794825973,No,Windbreaks,Rice,Yes,4.661220507709428
117,Clayey,5.02721327190212,4.642659981535553,No,Terracing,Maize,No,3.4268307547565047
118,Clayey,5.268595783881345,2.7426882644891615,No,Windbreaks,Rice,No,1.8789496912907238
119,Loamy,6.317806971439373,1.5163447805698471,No,Contour Plowing,Maize,No,8.139787958942389
120,Sandy,5.833067395162225,3.969195026935777,No,Windbreaks,Rice,Yes,8.425823147180587
121,Clayey,8.687223978854538,3.572417410471401,No,Terracing,Maize,No,1.299680052086548
122,Loamy,1.4454716814429995,2.2629736099361484,Yes,Contour Plowing,Maize,Yes,4.227810385613723
123,Clayey,8.499853643257111,3.486074896136194,Yes,Windbreaks,Rice,No,7.748888091381637
124,Clayey,8.595321513505517,1.8794478254759075,No,Windbreaks,Wheat,No,9.517436627392485
125,Sandy,3.5641721937786475,2.779357437362118,No,Terracing,Wheat,No,4.400364554604145
126,Clayey,5.165667595142656,4.597650088669301,No,Contour Plowing,Wheat,Yes,8.84848088241544
127,Sandy,4.94684639683692,1.5341369326429977,Yes,Terracing,Wheat,Yes,4.543483658789755
128,Clayey,2.9665885091871727,2.546785799949848,Yes,Contour Plowing,Wheat,Yes,2.6154516451838328
129,Loamy,4.5711716237768485,4.2845696988813895,No,Contour Plowing,Rice,No,1.0310152939918273
130,Clayey,1.3994899495376898,4.877963597624713,Yes,Windbreaks,Rice,Yes,3.971629208375918
131,Sandy,3.50039865503561,2.8157045456871836,Yes,Terracing,Rice,No,4.406275456546344
132,Sandy,8.350139579056464,3.0279984805733897,Yes,Terracing,Rice,No,9.506057759986025
133,Loamy,3.561060715866078,3.288687847135079,No,Terracing,Rice,Yes,2.854632271785605
134,Clayey,8.36386001873423,4.729392566534843,Yes,Contour Plowing,Rice,Yes,4.4400763721575425
135,Clayey,5.784395181439878,4.432827163908119,Yes,Terracing,Maize,No,1.2263871684080185
136,Loamy,8.91876409625044,1.6824044984865774,No,Contour Plowing,Maize,No,7.871857615822478
137,Clayey,6.173015988379737,2.7470312713883,No,Terracing,Rice,No,9.23627112629488
138,Clayey,1.2670140075826584,2.856001712785705,Yes,Terracing,Rice,No,3.140385825488427
139,Sandy,7.078781867923803,4.156384446595027,No,Windbreaks,Maize,Yes,4.860955995761481
140,Clayey,1.403682112212118,3.411571530421741,Yes,Terracing,Maize,Yes,2.0990135922939457
141,Clayey,5.055373170848206,3.616881848116052,Yes,Windbreaks,Rice,Yes,5.111518872816017
142,Loamy,9.364840250258027,4.9927996306624705,No,Windbreaks,Maize,No,2.2000821727968587
143,Loamy,2.4868354540406514,1.2998401738800522,No,Contour Plowing,Wheat,No,5.710136449772369
144,Sandy,4.508851176473897,1.892039294134932,Yes,Terracing,Wheat,No,7.611598363890098
145,Clayey,7.568742779636306,2.6315837494861873,No,Terracing,Wheat,Yes,5.980084973327513
146,Clayey,8.940327004853629,2.3911296121955488,No,Terracing,Maize,No,3.2069762054863835
147,Clayey,7.038487042682571,1.0865822453879344,Yes,Windbreaks,Rice,No,4.184163869220146
148,Sandy,3.323559287720523,1.3671104258847033,Yes,Terracing,Rice,Yes,6.747154639350692
149,Sandy,7.071470676245945,3.7238131656143048,Yes,Contour Plowing,Rice,Yes,6.3077987601039265
150,Loamy,3.67054876993681,4.517297853450243,Yes,Contour Plowing,Maize,No,2.2309730930920013
151,Sandy,7.465863068368617,3.0569080450639103,Yes,Terracing,Maize,Yes,8.604545262094923
152,Clayey,9.586298148265366,3.156764318054532,Yes,Windbreaks,Wheat,No,5.276700210223138
153,Clayey,7.4925410599565945,2.0203737313295176,No,Contour Plowing,Maize,Yes,2.461323020737537
154,Sandy,8.765924526211712,4.0715054545348455,No,Contour Plowing,Wheat,No,2.105438883172563
155,Clayey,1.0189345885829506,4.007178349469026,Yes,Windbreaks,Wheat,Yes,9.689965971806172
156,Clayey,7.4581491225843495,3.3534627568706266,No,Contour Plowing,Rice,Yes,3.533816000561914
157,Sandy,8.466288011787253,1.8506571460453713,No,Windbreaks,Maize,Yes,9.177342291247383
158,Sandy,1.3650286379021328,1.3880728729483578,Yes,Contour Plowing,Rice,Yes,4.69526768892045
159,Clayey,8.844379545594077,1.2569543034285036,No,Windbreaks,Rice,No,4.473292874078712
160,Clayey,3.3102480547904127,3.370784266571511,No,Contour Plowing,Maize,No,7.308360726844888
161,Clayey,6.987628917802497,4.3001412765712,Yes,Terracing,Maize,Yes,1.088949589979153
162,Loamy,8.20319391121066,4.433321727123699,No,Contour Plowing,Wheat,No,4.042805694673515
163,Loamy,6.963980617534199,2.8544882973737993,No,Contour Plowing,Wheat,Yes,3.72381140972628
164,Loamy,1.8305631286593151,4.137085197226868,Yes,Terracing,Wheat,Yes,8.812882848556416
165,Sandy,6.366893669743315,4.787520785364094,No,Terracing,Wheat,No,5.762111851187049
166,Loamy,5.946252910499292,2.100680449952272,No,Terracing,Rice,No,4.281131415018267
167,Sandy,9.102891412668443,2.5918413855230287,No,Terracing,Rice,No,3.3947137926974627
168,Sandy,4.638157566797883,4.725915970386723,Yes,Windbreaks,Maize,No,6.314588279295662
169,Loamy,3.889729873783451,2.3529238692691394,Yes,Windbreaks,Wheat,No,2.365058264890282
170,Loamy,7.7486568799281965,4.655505161287185,No,Contour Plowing,Wheat,No,3.2158429165790343
171,Loamy,4.71407793475057,4.924179449017863,No,Contour Plowing,Wheat,No,3.642509485582748
172,Clayey,6.814865575045567,3.6472429142976988,Yes,Contour Plowing,Rice,Yes,6.471180528462469
173,Loamy,6.818050811121463,4.267561158016673,Yes,Windbreaks,Maize,No,4.359294631148279
174,Clayey,8.99235157924106,3.998182256884341,No,Contour Plowing,Rice,Yes,5.5520497010804455
175,Sandy,6.388231620871876,3.798137030462095,Yes,Contour Plowing,Maize,No,6.85394437389928
176,Clayey,5.519382489657882,2.2277242919249303,No,Windbreaks,Maize,No,9.606444407269185
177,Loamy,2.249841937568653,1.2283773516317749,No,Contour Plowing,Rice,Yes,7.883536573924771
178,Sandy,2.041638460108348,2.3722069300786024,Yes,Windbreaks,Rice,Yes,4.647311025148969
179,Sandy,2.3888940875477145,3.6677439408156265,Yes,Windbreaks,Maize,Yes,7.734478369575311
180,Sandy,2.5466363319438505,1.4101167929112055,No,Terracing,Rice,Yes,9.547247628272913
181,Clayey,6.740893833972705,1.0476719319129684,No,Terracing,Rice,No,5.4944249108871235
182,Loamy,7.668831252471207,1.5587694904117546,Yes,Windbreaks,Maize,No,4.694472398106008
183,Sandy,5.769923706337768,3.8629437056431812,No,Windbreaks,Maize,Yes,1.702168291006629
184,Sandy,8.46115959290942,4.891174806625775,Yes,Terracing,Wheat,Yes,9.03133333585776
185,Sandy,9.921369040602698,4.932258798459282,Yes,Contour Plowing,Rice,No,3.2179085271429004
186,Clayey,8.380113662074205,2.9759165965607517,Yes,Contour Plowing,Maize,No,1.575621071372256
187,Clayey,7.253941363083633,4.47740920396939,Yes,Contour Plowing,Rice,Yes,5.8348313793197475
188,Loamy,5.79243429493432,3.9473058230060163,Yes,Windbreaks,Rice,No,8.613096813653726
189,Clayey,5.039677645072374,3.0041609479384137,No,Terracing,Maize,No,4.659715500607472
190,Sandy,1.759531424900881,3.291042131820347,Yes,Contour Plowing,Wheat,Yes,8.047607231431147
191,Loamy,4.594318735552219,1.5489085864674843,Yes,Terracing,Maize,Yes,8.527564065555962
192,Sandy,9.191211731039209,4.750645842466368,Yes,Terracing,Maize,Yes,5.089632029378773
193,Sandy,8.272203669158976,2.407719082927107,Yes,Windbreaks,Rice,Yes,6.318595593464263
194,Clayey,2.944462285105185,2.784597025828678,Yes,Contour Plowing,Wheat,No,5.805210686850461
195,Loamy,5.199470062274942,3.686640923991595,Yes,Terracing,Maize,Yes,9.452762754710514
196,Clayey,8.350508823026901,2.335609886106216,Yes,Windbreaks,Rice,No,7.529551165825851
197,Clayey,1.6064609930697027,2.017036643955722,No,Windbreaks,Maize,No,9.328085296931018
198,Loamy,4.486533271017934,3.5241975730808823,No,Windbreaks,Rice,No,2.980089802557747
199,Sandy,8.666571131865528,1.0999363291273978,No,Contour Plowing,Maize,No,3.792131666494034
200,Sandy,4.635080777531114,3.8829004481067155,No,Contour Plowing,Wheat,Yes,1.638221258620609
201,Loamy,1.6985318025829677,3.056093479506039,Yes,Windbreaks,Maize,No,5.499171610262269
202,Sandy,5.882809316790263,3.4230149220837376,No,Contour Plowing,Rice,Yes,8.865313114473196
203,Loamy,8.755682454264658,3.5275206369875405,Yes,Contour Plowing,Maize,No,3.941620274176441
204,Loamy,6.312569886578437,3.108200625970255,No,Terracing,Wheat,Yes,2.1545389625439837
205,Clayey,3.036511973928086,3.330135109762944,No,Windbreaks,Wheat,No,1.6160162943614769
206,Loamy,4.458156581236432,3.7351528035594983,Yes,Windbreaks,Wheat,No,5.027502452712891
207,Clayey,5.0511102506373895,4.012475388718697,Yes,Contour Plowing,Wheat,Yes,2.4761957016588694
208,Sandy,6.213397184384742,3.909809565144482,No,Windbreaks,Rice,Yes,4.114936259965932
209,Sandy,7.834159231773517,4.478465830929046,No,Windbreaks,Maize,Yes,8.379818272741932
210,Sandy,1.8898625587657185,1.757773732669611,No,Windbreaks,Wheat,Yes,4.456426444817719
211,Sandy,9.006868297158096,2.60459187796719,No,Contour Plowing,Maize,No,6.488838264307201
212,Clayey,1.1107873271446804,4.791184264057828,Yes,Contour Plowing,Rice,No,5.519440502405334
213,Sandy,4.330471012068298,2.586362297545319,No,Contour Plowing,Maize,No,7.466799636730327
214,Loamy,1.2467827897539188,1.4994803076236907,No,Terracing,Maize,No,2.405484630888119
215,Loamy,4.5367680281076215,3.101780505448718,No,Windbreaks,Wheat,No,9.283969328352569
216,Loamy,5.732313389859914,1.4379638902178487,No,Terracing,Wheat,Yes,6.792695177950318
217,Clayey,5.605132479233606,1.8114129549114608,No,Contour Plowing,Rice,Yes,3.4385835842209653
218,Sandy,2.4906551232543883,4.993275026283827,Yes,Terracing,Maize,No,2.109283373242531
219,Sandy,6.81166459086051,3.165450553584528,Yes,Windbreaks,Rice,Yes,2.347530077315713
220,Sandy,1.403006054542014,2.136233556161716,Yes,Windbreaks,Rice,No,8.043966342064973
221,Clayey,7.857161381191738,4.979099818295625,Yes,Contour Plowing,Rice,No,6.292990479816622
222,Loamy,9.519799905941916,4.866235674220572,Yes,Contour Plowing,Wheat,Yes,4.42682461646365
223,Loamy,4.057919444360061,2.762956164337054,No,Terracing,Wheat,No,3.99610761568192
224,Sandy,5.6551544354289875,2.0416124351516336,Yes,Contour Plowing,Maize,Yes,8.701822039604771
225,Loamy,4.41019250252933,4.35359855236876,Yes,Terracing,Maize,No,8.87286271403315
226,Loamy,1.0603935127365396,3.862482867887143,No,Windbreaks,Maize,Yes,6.231358345773637
227,Clayey,4.4728705260560435,3.7477657400140414,Yes,Windbreaks,Wheat,No,5.720896590985327
228,Clayey,8.125482333352117,4.57245496528989,Yes,Windbreaks,Wheat,No,8.348032378689144
229,Clayey,6.363899579651337,3.7576685354852986,Yes,Windbreaks,Rice,Yes,7.744016618149377
230,Clayey,1.9113392315364304,2.1351917721661966,Yes,Windbreaks,Wheat,No,4.602926649950096
231,Sandy,8.624255407244066,3.775452647502929,No,Terracing,Rice,No,1.7446481627577128
232,Clayey,5.779768103967186,2.223254045134656,No,Windbreaks,Rice,Yes,7.9165009662650005
233,Loamy,8.575510255702085,4.03695591862798,Yes,Terracing,Wheat,Yes,2.5183092604621935
234,Sandy,6.221993669065264,3.478991417966264,No,Windbreaks,Rice,Yes,1.147392158306305
235,Loamy,6.037196003541459,1.3096462079390023,Yes,Terracing,Rice,No,8.589724076835918
236,Loamy,1.9473326667731115,3.051341449740568,No,Terracing,Maize,Yes,6.204284608030468
237,Loamy,2.5062375982476515,2.3732038767829637,No,Terracing,Rice,Yes,9.024994319821825
238,Clayey,9.74822730846932,2.314282530929177,No,Contour Plowing,Wheat,Yes,5.361292748778562
239,Clayey,3.0563807207929368,3.409025209509029,No,Terracing,Wheat,No,9.338329906402628
240,Sandy,9.79706906191331,2.2892992978776996,No,Terracing,Rice,Yes,4.185745731809774
241,Sandy,5.78721435871837,4.10757499281949,No,Windbreaks,Maize,No,7.520698021008636
242,Clayey,2.222101423575434,1.2831657440446977,No,Terracing,Wheat,No,3.7088785833560514
243,Loamy,1.8937198247832365,3.6415530095833017,No,Terracing,Wheat,Yes,1.0104729789518059
244,Sandy,2.87977663635166,4.236779214626965,No,Contour Plowing,Maize,No,4.417700810940611
245,Clayey,9.330735970228021,3.6913267596817203,No,Windbreaks,Rice,No,7.639889617983149
246,Clayey,4.727352018954042,2.988916780079983,No,Contour Plowing,Wheat,No,2.350217615018625
247,Clayey,4.55890841193623,4.801228054944724,Yes,Contour Plowing,Rice,No,5.543218298866537
248,Loamy,3.818856349631566,2.1997539591922544,No,Contour Plowing,Rice,No,2.910893363656435
249,Clayey,2.3235566550992957,1.0766715500999111,Yes,Terracing,Rice,Yes,1.671617092771926
250,Clayey,5.390660774731658,2.7279574858537634,No,Contour Plowing,Rice,Yes,6.557067837498846
251,Clayey,2.1704300426002483,1.132047743601309,Yes,Contour Plowing,Wheat,Yes,9.567708600730628
252,Clayey,8.519322127440947,4.815747010105635,Yes,Windbreaks,Maize,No,3.7963379684612537
253,Sandy,4.333572876477758,1.839672182992206,Yes,Windbreaks,Wheat,Yes,6.2258122032395535
254,Sandy,4.373232110036167,4.155708095795518,No,Windbreaks,Maize,No,9.58243030975715
255,Clayey,5.266057856348403,4.098288332697459,No,Windbreaks,Rice,No,6.854350149952188
256,Loamy,4.997149418491764,1.870915598731734,No,Contour Plowing,Maize,No,7.058019720789588
257,Sandy,9.953721757533893,3.484906121920669,No,Windbreaks,Rice,No,2.610356604047523
258,Clayey,5.908430090964723,1.1923158739458009,Yes,Terracing,Wheat,Yes,5.43348710967544
259,Sandy,1.793815334108836,2.93429834281547,No,Contour Plowing,Wheat,No,4.30374472378522
260,Sandy,6.46189607419237,1.058588509089947,No,Windbreaks,Maize,Yes,5.23861167151927
261,Loamy,2.3642586358289197,4.684575520723367,No,Contour Plowing,Rice,Yes,8.207439187976895
262,Clayey,1.2784388025820776,4.904344096798287,No,Windbreaks,Rice,No,5.1462908897148845
263,Clayey,9.736679383095233,1.889131066554341,No,Contour Plowing,Maize,Yes,1.5656561043205157
264,Loamy,7.961850023811075,1.8324241383854911,No,Windbreaks,Rice,Yes,9.149874950357766
265,Loamy,9.820980931723902,4.014880706248519,No,Terracing,Rice,Yes,5.903342987067735
266,Clayey,5.3009060322001815,2.013517595317338,No,Windbreaks,Rice,No,9.320449226772627
267,Clayey,5.790317780340785,4.58030623664738,Yes,Contour Plowing,Wheat,No,6.15119060824862
268,Loamy,2.515032603272172,3.295716544491929,Yes,Contour Plowing,Wheat,No,1.6267268437755453
269,Sandy,3.22216684000827,2.4031104920412485,No,Terracing,Wheat,Yes,5.975824541731941
270,Sandy,8.546942934125454,4.33077498539768,No,Contour Plowing,Rice,Yes,6.1816503924341255
271,Loamy,4.205670824058347,2.9736268016535807,No,Terracing,Wheat,No,2.9290589140867804
272,Sandy,8.44133476416777,4.646531654833902,No,Contour Plowing,Rice,No,5.23926175693939
273,Loamy,7.381123518583286,4.712056946917524,Yes,Contour Plowing,Rice,Yes,5.134973606862862
274,Sandy,2.5945383274467897,1.6616806085136373,Yes,Terracing,Maize,No,6.605885341185433
275,Sandy,5.5670172950776795,1.009293624527721,No,Contour Plowing,Rice,No,3.3365268880652836
276,Clayey,7.096485893668452,4.9357237605696085,Yes,Contour Plowing,Wheat,Yes,6.235735761533744
277,Clayey,3.115334933234426,4.624550144509918,Yes,Terracing,Wheat,Yes,3.1685683837324854
278,Sandy,8.476196594680692,1.2217809428153656,No,Windbreaks,Rice,No,5.018007449835159
279,Sandy,5.903448917906681,4.33213705576428,No,Terracing,Wheat,No,2.104351294035763
280,Clayey,2.4871784539834287,2.8312197302368265,No,Contour Plowing,Rice,No,1.3357049307533035
281,Clayey,6.2468598354814215,2.035846420099901,Yes,Windbreaks,Maize,No,3.885285753925605
282,Clayey,9.997424237403226,4.514986094707719,Yes,Windbreaks,Rice,Yes,3.4711457558476733
