,duration,src_bytes,dst_bytes,failed_logins,num_file_creations,protocol_type,service,flag,logged_in,is_guest_login,target
115,81,3646,1047,1,3,tcp,ssh,S0,0,1,1
116,8,7082,2177,4,4,icmp,ftp,S0,1,0,0
117,35,2892,2339,1,1,udp,http,SF,0,0,0
118,35,,501,0,2,udp,http,S0,0,,
119,33,3517,2234,4,5,icmp,ssh,REJ,1,0,1
120,5,3341,4609,3,5,icmp,,S0,0,0,0
121,41,6411,7235,3,6,icmp,http,REJ,,0,0
122,28,54,,3,8,icmp,ftp,S0,0,0,0
123,7,2576,,3,3,udp,,S0,0,0,0
124,73,616,601,3,,tcp,http,SF,0,,0
125,72,5945,4285,1,1,udp,ftp,S0,,1,0
126,12,7405,9181,4,5,icmp,,S0,0,0,0
127,34,955,,0,,,ftp,REJ,1,1,0
128,,1630,5902,,4,udp,,REJ,0,0,0
129,48,6860,6130,3,6,udp,,REJ,0,1,
130,23,8842,1755,0,5,icmp,ftp,S0,0,0,
131,62,3279,2465,,7,udp,ssh,REJ,0,0,0
132,88,5456,4483,3,5,icmp,ftp,REJ,1,0,0
133,37,3802,9687,1,9,udp,http,S0,0,1,0
134,99,2562,9045,0,7,icmp,,REJ,,,0
135,,6540,7401,4,3,udp,ftp,SF,0,1,0
136,,371,6807,4,6,icmp,http,SF,0,0,0
137,91,858,8644,1,,tcp,http,REJ,1,0,
138,35,4887,7397,,,tcp,ftp,REJ,0,1,0
139,65,7486,7339,1,8,udp,http,REJ,1,1,0
140,99,384,9951,3,8,tcp,ftp,S0,0,0,0
141,47,4335,5242,2,5,,ftp,SF,1,0,0
142,,4291,7395,3,1,udp,ftp,SF,1,0,0
143,3,2726,6438,4,7,udp,http,REJ,0,1,0
144,1,6205,4696,0,9,icmp,,REJ,1,0,1
145,5,6112,,3,5,icmp,ssh,S0,0,0,0
146,90,4252,1783,4,,icmp,ftp,S0,0,0,0
147,14,,5948,1,0,udp,ftp,SF,1,0,0
148,27,,6595,3,2,icmp,http,S0,0,,0
149,9,7958,3521,4,0,tcp,ssh,SF,0,0,0
150,79,3047,,,9,udp,ssh,REJ,1,,0
151,15,9167,,3,0,icmp,ssh,REJ,0,0,0
152,90,1231,3758,4,0,udp,http,SF,0,1,0
153,42,7648,4017,3,3,tcp,http,REJ,1,1,0
154,77,4934,2838,0,6,tcp,http,S0,1,1,0
155,51,9556,6001,3,6,icmp,ftp,REJ,0,1,0
156,63,3941,7035,3,4,udp,http,REJ,0,0,
157,96,6484,7310,4,5,icmp,ftp,SF,1,1,0
158,52,204,4240,2,,udp,ftp,S0,0,1,0
159,96,161,4429,3,,icmp,ftp,S0,1,0,0
160,4,,9612,2,6,,ftp,REJ,0,1,
161,94,3749,4151,1,8,udp,http,REJ,1,,0
162,23,6719,9523,3,5,udp,http,S0,0,0,0
163,15,2582,1447,2,9,tcp,ssh,S0,0,,0
164,43,1094,9633,1,3,tcp,ssh,SF,1,0,0
165,29,4501,6469,4,,udp,ftp,REJ,0,,0
166,36,8800,5791,3,8,tcp,ssh,REJ,1,,0
167,13,5711,4176,4,6,tcp,ssh,S0,1,1,0
168,32,9733,5081,1,5,udp,ssh,SF,1,0,0
169,71,2876,865,4,6,udp,ftp,S0,0,1,0
170,59,3192,6861,4,7,udp,ssh,,0,,0
171,86,1838,8664,0,4,icmp,http,REJ,1,1,0
172,28,,6218,1,2,udp,ftp,REJ,1,1,0
173,66,3760,5673,4,2,,http,REJ,1,1,0
174,42,2104,1503,2,1,udp,ftp,SF,,1,
175,,366,4685,1,7,tcp,http,REJ,1,0,0
176,62,8093,1411,,0,,,S0,1,0,0
177,57,4173,3771,3,7,tcp,ftp,SF,0,0,0
178,6,6034,4660,4,2,icmp,http,SF,,1,0
179,28,2379,4002,2,8,udp,ftp,REJ,0,0,0
180,28,1206,3484,0,1,udp,http,SF,1,0,0
181,44,4989,4563,1,9,tcp,ssh,REJ,1,1,0
182,84,,599,4,8,icmp,ftp,SF,1,0,0
183,30,2736,,0,5,,ftp,,0,1,0
184,62,9868,3042,,,icmp,http,S0,0,1,0
185,75,8491,8161,,,icmp,http,S0,0,0,
186,92,957,,3,9,udp,ssh,S0,1,0,0
187,89,9307,7288,3,8,icmp,http,SF,1,1,0
188,62,6624,67,3,5,icmp,http,,1,1,0
189,97,1475,8124,1,6,udp,http,S0,1,1,0
190,1,4461,2751,0,,tcp,ssh,S0,0,,0
191,,,8662,1,0,udp,ssh,SF,1,0,
192,62,6397,9917,0,4,icmp,ftp,,1,1,0
193,77,2829,6807,2,,udp,ssh,S0,0,0,0
194,3,2851,6430,2,7,tcp,http,SF,1,,0
195,70,2965,8124,,3,icmp,,SF,0,0,
196,,4595,1632,,,icmp,ssh,REJ,1,1,
197,27,9142,6453,2,9,tcp,ssh,S0,0,,0
198,9,6645,,4,,tcp,http,SF,1,0,
199,62,2851,6108,3,1,,,SF,0,1,
200,,166,7805,3,2,tcp,ssh,SF,0,0,0
201,97,920,9679,2,8,udp,ftp,REJ,,1,0
202,51,8306,4020,3,8,tcp,,S0,1,1,0
203,44,3505,,4,1,udp,ssh,SF,,1,
204,24,992,3013,4,2,icmp,ssh,SF,0,,0
205,79,6048,5025,0,8,icmp,http,,1,1,0
206,59,3840,6265,,,icmp,ftp,SF,0,0,0
207,32,1259,7974,3,1,,ftp,S0,1,1,0
208,96,7610,,4,1,,ftp,S0,1,0,1
209,88,8707,4730,1,,tcp,http,SF,1,0,0
210,52,4805,7962,1,2,tcp,http,,1,1,0
211,62,68,2820,0,9,icmp,,SF,1,1,
212,58,9789,6656,1,2,tcp,ftp,REJ,1,1,0
213,52,5661,1185,,9,tcp,ftp,REJ,,,0
214,12,4479,8481,2,1,icmp,http,REJ,1,0,0
215,,8211,6344,0,7,tcp,http,SF,0,0,0
216,2,,,0,7,icmp,http,REJ,1,1,
217,,,,3,7,icmp,ftp,S0,1,0,0
218,56,7083,9901,1,,icmp,ssh,REJ,1,1,0
219,81,7833,3575,3,8,icmp,ssh,SF,,1,0
220,59,5396,3320,,6,tcp,ftp,S0,1,1,
221,2,2259,1407,,,tcp,http,,1,1,0
222,2,6040,1242,4,6,udp,http,S0,1,1,0
223,92,651,5207,2,7,udp,http,REJ,1,0,1
224,54,,7250,1,8,icmp,http,REJ,0,1,0
225,87,6839,3134,3,1,,ftp,S0,0,0,0
226,96,2588,799,3,5,tcp,ssh,S0,1,1,
227,97,7877,,1,8,tcp,ssh,SF,1,1,
228,1,3263,7210,3,5,udp,ftp,S0,0,,0
229,19,1339,4929,1,1,udp,http,SF,1,1,0
230,,4997,2889,0,,tcp,ssh,S0,0,0,0
231,53,,2691,3,2,udp,ftp,S0,0,0,
232,44,2828,4092,1,4,tcp,http,REJ,0,1,0
233,90,5233,7283,1,6,tcp,ssh,REJ,0,1,0
234,32,2218,9434,3,,udp,ftp,SF,0,1,0
235,70,3540,6250,,9,udp,ssh,SF,0,1,0
236,32,7846,,3,,icmp,ssh,SF,0,0,
237,68,9230,8720,1,8,icmp,,S0,1,,0
238,55,4384,1496,0,,icmp,ftp,S0,0,1,0
239,75,2962,893,4,,icmp,ssh,SF,1,0,
240,56,3227,8579,2,9,icmp,ssh,S0,1,0,
241,17,6838,,3,1,tcp,ftp,REJ,1,1,0
242,38,7032,5874,1,2,udp,http,S0,0,0,0
243,,9291,4504,0,4,tcp,,REJ,0,1,0
244,69,9132,898,0,2,icmp,http,SF,0,0,0
245,98,3717,711,,4,icmp,http,S0,,0,
246,70,3415,3696,3,3,udp,ftp,SF,,1,0
247,,1449,2687,0,9,tcp,http,,1,0,0
248,11,571,7189,,2,icmp,,SF,1,0,0
249,16,2905,5779,1,5,icmp,http,REJ,0,0,0
250,97,2506,7769,4,7,icmp,ftp,REJ,1,0,1
251,73,918,5014,3,3,icmp,http,SF,0,,
252,59,6983,4513,4,8,tcp,http,REJ,1,1,0
253,70,7428,416,0,5,tcp,ftp,SF,0,1,0
254,80,6337,9664,,4,icmp,http,SF,1,,0
255,93,1679,4181,2,2,tcp,ftp,SF,0,,0
256,3,616,4263,,4,icmp,http,REJ,1,,1
257,20,9942,2516,1,4,udp,,REJ,0,0,0
258,59,7087,9288,,3,udp,http,S0,0,1,0
259,36,4750,9002,,5,udp,ssh,SF,0,0,0
260,19,3506,5641,4,2,tcp,ssh,SF,1,1,0
261,90,4530,,1,9,icmp,ftp,SF,0,0,0
262,,1136,993,,0,udp,ftp,,0,0,0
263,19,8567,9474,0,6,,ftp,SF,0,1,0
264,20,7227,4371,3,6,tcp,ssh,SF,0,0,0
265,96,5163,1774,4,3,tcp,ftp,SF,0,1,0
266,71,,3562,1,8,,http,S0,1,1,0
267,52,4876,,0,1,icmp,,S0,0,0,0
268,33,1320,6634,,0,icmp,ftp,SF,1,0,0
269,40,1142,1757,,2,icmp,http,SF,0,1,0
270,39,,2374,2,6,udp,http,S0,1,0,0
271,82,,2577,2,8,tcp,ssh,S0,1,0,0
272,1,2691,9084,1,1,icmp,http,SF,1,1,0
273,11,7324,4185,0,5,udp,http,SF,1,,
274,,3256,8900,4,2,udp,ftp,S0,1,0,0
275,57,8282,2398,1,4,tcp,ssh,S0,1,,0
276,,5214,5970,3,8,icmp,,SF,0,0,0
277,50,,4536,2,2,udp,ssh,S0,0,0,
278,23,3021,6884,3,,icmp,,SF,0,0,0
279,,1858,8128,1,4,,ssh,REJ,0,0,1
280,94,8997,9169,1,0,icmp,http,SF,,0,1
281,42,9137,735,4,7,udp,ftp,SF,1,0,0
282,,2790,633,2,,icmp,ssh,SF,1,1,0
283,7,3876,4269,1,1,tcp,,S0,0,,1
284,16,,4100,3,,udp,http,SF,,0,0
285,90,9803,2902,4,4,udp,ssh,SF,1,0,
286,60,8136,1664,3,6,icmp,http,S0,0,1,0
287,2,6056,5592,2,3,icmp,ssh,REJ,1,0,0
288,1,3883,3873,4,,icmp,ssh,REJ,1,1,1
289,48,7176,1055,4,7,udp,ftp,S0,0,1,0
290,12,7130,,4,0,tcp,ftp,SF,1,,0
291,69,5022,3083,0,2,tcp,ssh,REJ,0,1,0
292,,4736,8008,4,5,udp,ftp,REJ,0,1,0
293,32,2388,9785,3,7,tcp,ssh,S0,0,0,0
294,9,6583,4262,3,7,icmp,http,REJ,0,0,0
295,99,9134,2390,,1,udp,ssh,REJ,1,0,0
296,19,5867,3554,1,8,tcp,ssh,S0,1,0,0
297,48,2567,,1,,udp,ftp,REJ,1,1,0
298,,976,,0,3,tcp,,SF,1,1,0
299,,7213,,4,1,udp,http,,0,1,0
300,20,9147,,0,,tcp,http,SF,0,1,1
301,24,1263,2240,2,9,udp,http,SF,1,1,
302,54,5048,3774,,6,udp,ssh,S0,0,1,0
303,33,9136,2628,1,9,udp,http,REJ,0,0,0
304,24,7383,6619,2,,udp,http,S0,1,0,1
305,75,6232,6781,4,3,udp,ftp,REJ,,0,0
306,72,,8016,3,8,icmp,ftp,,0,0,0
307,36,5631,3131,2,5,udp,http,REJ,1,1,0
308,38,2260,97,0,0,udp,,SF,0,1,0
309,84,1258,3859,4,8,,ssh,SF,0,1,0
310,99,465,2709,2,8,tcp,ssh,SF,1,0,0
311,89,3295,,2,4,udp,ftp,S0,1,0,0
312,99,6775,6153,4,7,icmp,http,REJ,1,0,1
313,25,7432,457,2,6,udp,http,REJ,0,0,0
314,93,,5915,3,7,,http,,1,0,
315,18,9077,4369,1,8,tcp,,,,0,0
316,82,3806,4089,4,1,udp,http,S0,,,0
317,66,6420,9224,0,9,udp,ssh,REJ,1,,0
318,54,5751,8400,2,4,udp,ssh,REJ,0,0,0
319,35,3857,,1,7,udp,http,S0,,0,0
320,80,3136,1147,0,2,,ssh,REJ,0,1,0
321,61,6954,5153,0,5,udp,ssh,S0,1,0,0
322,41,9117,4300,3,5,tcp,http,S0,1,0,0
323,33,6035,,1,6,,,REJ,1,1,0
324,68,4590,8635,4,2,icmp,http,S0,0,0,0
325,33,1547,7760,1,7,tcp,ssh,S0,1,,0
326,14,6066,7954,1,7,udp,http,REJ,1,1,0
327,21,1095,4785,0,8,,http,SF,1,1,0
328,48,2412,9025,3,7,,ssh,REJ,,,
329,20,2618,1462,3,2,udp,ssh,REJ,,1,0
330,8,8955,1160,1,5,icmp,ftp,SF,1,1,0
331,,4146,387,1,8,icmp,http,S0,0,0,0
332,67,2776,7193,2,0,icmp,http,REJ,0,1,
333,17,6629,9911,0,2,icmp,http,SF,0,1,0
334,33,3156,4776,4,,tcp,,SF,0,0,0
335,48,3971,3410,4,7,icmp,,REJ,1,1,1
336,76,7973,690,3,5,tcp,ssh,REJ,1,0,1
337,59,8776,,0,9,udp,ftp,SF,0,1,0
338,86,5416,7263,3,7,tcp,http,REJ,,1,0
339,22,,5665,4,1,tcp,ftp,SF,0,0,0
340,30,1943,,,5,icmp,ftp,REJ,0,1,0
341,38,6027,9362,0,6,udp,ftp,SF,1,1,0
342,51,8302,953,0,7,udp,ftp,REJ,0,1,0
343,,192,6143,2,8,icmp,ftp,REJ,0,1,0
344,8,9096,5968,1,4,tcp,ssh,REJ,1,1,0
345,27,862,7206,1,2,icmp,ssh,S0,1,0,
346,,6712,2485,3,1,tcp,ftp,REJ,0,,0
347,98,9276,1855,0,,icmp,,SF,0,0,0
348,21,650,3232,3,0,icmp,,SF,0,1,0
349,30,4135,2598,1,,udp,ftp,S0,1,1,0
350,97,7588,7830,2,5,udp,ssh,S0,1,0,0
351,28,8829,8187,0,1,udp,ssh,S0,,1,
352,64,1037,3984,1,2,icmp,http,REJ,0,1,0
353,97,4132,6964,2,7,udp,ftp,REJ,0,1,
354,69,2149,6685,,0,udp,http,,1,1,0
355,61,,657,1,5,icmp,http,SF,1,0,0
356,48,6080,7744,4,2,udp,ftp,REJ,1,0,1
357,19,2431,6840,,5,tcp,http,SF,0,1,0
358,4,1880,9989,4,2,udp,http,REJ,1,0,0
359,35,7543,6313,1,7,tcp,,S0,,0,0
360,64,2012,,4,4,udp,,REJ,1,1,0
361,49,3374,9955,0,3,icmp,ftp,REJ,0,1,1
362,17,7358,6177,1,8,icmp,ssh,,,0,0
363,44,1290,3286,2,4,udp,ssh,SF,,0,0
364,,,9778,4,3,tcp,ssh,,,0,
365,30,3200,5560,0,7,udp,ftp,REJ,0,0,0
366,93,6382,3564,3,7,icmp,ftp,REJ,1,0,0
367,46,7523,4585,3,7,udp,ftp,S0,0,0,1
368,6,6060,4818,4,3,icmp,http,REJ,1,1,0
369,99,3184,5042,,0,tcp,http,REJ,0,1,
370,,5463,6183,2,1,tcp,ssh,REJ,,0,0
371,24,3217,8027,1,3,icmp,ssh,,0,1,0
372,93,3137,3245,0,9,tcp,ftp,S0,1,,0
373,46,3319,1041,4,1,icmp,ftp,S0,1,,0
374,53,2783,2274,3,9,icmp,http,REJ,1,0,0
375,95,9183,,1,2,icmp,http,REJ,,0,
376,99,7658,,2,8,udp,ftp,SF,0,1,0
377,60,4921,7365,3,8,tcp,,REJ,0,0,0
378,,6325,1678,,8,udp,http,SF,0,1,1
379,63,6328,3095,0,6,udp,ssh,REJ,0,1,1
380,85,8418,9191,2,3,tcp,ssh,SF,0,0,
381,32,777,5874,2,0,udp,http,S0,,1,0
382,87,5209,2285,4,2,icmp,http,REJ,,0,0
383,33,688,5053,0,7,udp,ssh,SF,1,0,0
384,67,530,7063,4,3,icmp,http,SF,1,1,0
385,18,5068,1590,0,9,tcp,ssh,REJ,1,0,0
386,25,8081,9354,2,9,udp,ssh,SF,0,0,0
387,95,5519,2521,0,1,tcp,,REJ,1,0,0
388,,2154,,0,7,,ftp,REJ,1,,0
389,58,9487,5730,0,6,udp,ftp,SF,1,0,0
390,67,,695,1,9,icmp,ftp,SF,1,0,0
391,46,6975,7808,1,8,icmp,ftp,SF,,1,0
392,24,9719,3684,2,,icmp,ftp,S0,0,0,0
393,32,4775,6705,0,4,tcp,ftp,,,1,0
394,47,7693,7369,2,5,tcp,ftp,REJ,1,0,
395,86,3104,1972,,,tcp,,S0,,0,0
396,23,2441,9696,,1,udp,http,S0,,1,0
397,66,4136,8056,4,9,icmp,ftp,SF,0,1,0
398,27,7125,4219,1,3,tcp,http,REJ,1,0,0
399,2,5202,1869,1,7,icmp,ssh,S0,1,0,
400,90,845,1672,1,4,tcp,ftp,S0,0,1,0
401,17,447,9275,0,8,icmp,ssh,REJ,0,,
402,33,3916,1729,3,3,,http,REJ,1,,0
403,9,3110,7633,4,2,tcp,,REJ,0,1,0
404,43,1235,6404,4,9,,ssh,SF,0,0,
405,48,6588,6093,2,7,tcp,http,S0,1,1,0
406,39,227,2143,0,0,icmp,ftp,SF,0,0,0
407,93,4144,9341,1,8,tcp,ftp,REJ,0,1,0
408,42,,6185,3,3,tcp,ssh,REJ,1,0,0
409,26,5559,6011,0,8,tcp,ssh,S0,0,1,0
410,99,187,254,0,7,icmp,,SF,1,0,0
411,50,2536,4103,3,2,tcp,http,SF,0,1,1
412,25,1933,3543,1,2,icmp,ssh,SF,0,1,0
413,24,9041,2776,0,8,udp,ssh,REJ,1,1,0
414,13,2033,7679,4,2,icmp,ssh,S0,0,1,0
415,,1253,6213,4,3,udp,ftp,SF,0,0,0
416,7,5510,4638,,8,tcp,ssh,REJ,1,1,
417,57,5075,6035,1,3,tcp,ssh,REJ,1,1,0
418,36,1882,8458,3,2,icmp,http,SF,0,1,0
419,45,270,6477,0,6,tcp,http,S0,0,0,0
420,20,1631,3149,4,5,tcp,ssh,S0,0,0,0
421,65,4406,3360,2,0,icmp,,SF,1,1,0
422,8,6140,1005,3,9,tcp,http,REJ,0,0,0
423,16,1575,4718,2,7,udp,http,REJ,0,,
424,14,1696,3272,2,0,udp,ftp,,1,0,0
425,76,3259,210,4,3,tcp,ssh,REJ,1,1,0
426,,3263,9080,3,5,tcp,ssh,,1,0,0
427,15,1446,5540,2,5,udp,ssh,SF,1,0,0
428,92,6264,154,0,6,tcp,http,REJ,0,1,0
429,98,8412,3594,1,4,udp,http,SF,,,0
430,,53,8607,1,4,icmp,,SF,0,1,0
431,32,9950,1285,4,3,udp,ftp,SF,1,0,0
432,87,5571,3149,3,5,tcp,http,REJ,0,,
433,63,7580,769,3,6,tcp,ftp,SF,0,0,0
434,,1667,9175,1,9,udp,ssh,REJ,0,0,0
435,51,6902,5608,0,9,udp,http,SF,1,1,0
436,25,2786,3203,1,0,tcp,ftp,S0,0,1,0
437,58,720,2788,1,8,tcp,ftp,REJ,0,1,
438,,8598,2211,3,7,tcp,http,REJ,1,1,1
439,,6856,9231,2,6,icmp,,REJ,,1,
440,22,2295,7400,0,8,icmp,http,S0,1,1,1
441,,8264,6339,3,2,udp,ftp,,1,0,0
442,58,9422,8734,1,9,udp,,S0,0,1,0
443,86,9760,359,2,3,icmp,ssh,SF,1,0,0
444,49,4483,850,0,,icmp,ssh,SF,1,0,0
445,52,699,7499,4,5,udp,http,SF,1,0,1
446,42,7244,4523,0,1,icmp,,SF,0,0,0
447,70,9019,2545,0,1,udp,ssh,SF,1,0,
448,15,,1832,1,9,tcp,ssh,S0,0,,0
449,54,349,1473,1,6,,http,REJ,0,1,0
450,60,5375,9629,,8,icmp,ftp,S0,1,0,0
451,97,7870,,4,8,icmp,,REJ,1,0,0
452,8,308,5852,4,6,,http,REJ,0,0,0
453,53,3417,7033,3,7,,ssh,REJ,1,1,
454,60,4821,5267,3,9,icmp,ftp,S0,0,0,1
455,5,3559,4355,1,2,,,,0,,0
456,,,6436,1,0,,ssh,,1,1,0
457,6,6532,,,6,tcp,,REJ,1,1,0
458,96,4621,4239,3,7,icmp,http,SF,1,1,0
459,94,2986,6113,2,,udp,http,SF,1,0,0
460,47,8113,4723,3,8,udp,ssh,S0,1,1,0
461,99,,1389,1,3,icmp,ftp,SF,1,1,
462,55,2548,4186,3,9,udp,ftp,SF,1,1,0
463,40,337,8912,1,8,icmp,ssh,S0,1,0,0
464,52,2980,3236,4,2,,ftp,SF,,1,0
465,16,3969,4577,4,7,tcp,ssh,REJ,1,0,0
466,13,911,1101,4,1,,ftp,,0,0,0
467,30,1997,8865,2,2,udp,ssh,,1,1,0
468,19,3130,8709,2,0,icmp,ftp,SF,,0,0
469,17,5448,2533,1,,tcp,http,S0,1,0,0
470,63,6130,7771,0,3,tcp,,REJ,0,0,0
471,19,5851,3671,2,0,,http,S0,,1,0
472,92,4205,782,1,9,icmp,http,REJ,1,0,0
473,,7447,3524,,8,udp,ssh,S0,1,1,1
474,55,8520,6132,4,,udp,ftp,SF,1,0,1
475,90,9992,4783,4,5,icmp,ssh,S0,1,1,0
476,90,315,9782,4,1,tcp,http,S0,0,,0
477,62,1135,4996,1,6,udp,ftp,REJ,1,0,
478,23,4877,,4,8,udp,ssh,S0,1,1,0
479,9,8103,3081,,5,tcp,http,REJ,,,
480,12,9713,9269,3,,icmp,ftp,S0,,1,0
481,1,8348,9293,4,4,icmp,ftp,,0,,0
482,58,5593,503,1,1,icmp,http,S0,1,0,1
483,1,1725,9532,3,3,tcp,http,SF,1,1,0
484,34,3344,3886,4,0,udp,ftp,REJ,0,0,0
485,96,887,8010,0,0,,http,,,,0
486,48,722,,4,5,udp,ssh,,1,1,0
