,Gender,Resource_Access,Women_Empowerment_Metrics,Crop_Type,Soil_Type,Soil_Health_Index,Social_Impact_Index
154,Two-spirit,Moderate,1.6910270249848396,Rice,Clayey,6.094428156317658,6.093007804381892
155,Non-binary,Abundant,3.4879231603754963,Wheat,Clayey,1.3996221904542732,1.9519461416943136
156,Male,Limited,4.52790222056243,Wheat,Clayey,8.167920799155937,4.9235423539161
157,Transgender,Moderate,4.836336969129613,Rice,Sandy,4.568278858510489,1.7791425582186213
158,Third gender,Moderate,1.7693854526156603,Wheat,Sandy,2.383085336514057,3.7707696193015954
159,Genderqueer,Limited,3.8694910962518936,Rice,Sandy,8.762678256040221,9.102809269815701
160,Agender,Moderate,3.657357466422729,Wheat,Clayey,2.7817592998147083,6.170800604993128
161,Genderqueer,Moderate,2.37351115829829,Rice,Clayey,9.2869065087268,7.6843309433741345
162,Two-spirit,Abundant,1.0763967974149034,Maize,Sandy,4.97616841398345,6.164972806383031
163,Gender neutral,Limited,3.7591649892514645,Maize,Sandy,7.6851175127473,2.7481308220598417
164,Male,Limited,4.781979442238001,Rice,Clayey,5.922962653046684,6.353274842019023
165,Male,Limited,3.5284804876626055,Maize,Clayey,3.309641235237051,7.798492695749724
166,Third gender,Limited,2.7411708967505364,Wheat,Loamy,7.039811570463269,2.2456450258032477
167,Gender neutral,Limited,3.1006155764465135,Rice,Sandy,9.62121295801133,8.352160390851264
168,Pangender,Moderate,1.7985152306396701,Rice,Clayey,7.926732701122712,5.998529610804662
169,Female,Abundant,4.00217665501495,Wheat,Sandy,6.436161969176604,1.0384768195190317
170,Transgender,Limited,3.985679320039396,Wheat,Sandy,9.91565297439271,5.678006377041792
171,Male,Abundant,1.5820692015496998,Rice,Sandy,3.3879400060841625,4.561043429231466
172,Non-binary,Abundant,4.511913529998637,Wheat,Loamy,1.5610733911850265,3.668018601609888
173,Male,Moderate,2.076758957893221,Rice,Clayey,1.2891777950433796,7.941314979260877
174,Genderqueer,Limited,4.9290242437464595,Wheat,Clayey,7.396190916029185,9.095498952929658
175,Male,Moderate,2.531612056148983,Rice,Sandy,8.472091282607536,7.863877804105992
176,Male,Limited,1.7115362349379986,Wheat,Clayey,6.71590483736074,8.62095323431786
177,Female,Moderate,2.406880445382609,Wheat,Loamy,9.145239376988785,9.179028488900558
178,Female,Abundant,2.7607213147887726,Maize,Sandy,7.281784426059284,9.2136638023883
179,Agender,Limited,1.2772310921531793,Maize,Loamy,4.338591817681185,2.031743286970817
180,Pangender,Abundant,3.312873524893158,Maize,Loamy,2.6313246246689346,5.107469399984453
181,Non-binary,Abundant,3.3905297594756014,Wheat,Clayey,9.321827307032407,1.0025782695361927
182,Male,Moderate,3.955721821397889,Rice,Clayey,1.9323743499773154,5.5581632623330535
183,Male,Limited,1.1166795691629732,Wheat,Loamy,5.886895633717649,9.318195409094118
184,Transgender,Abundant,3.1649528577353205,Maize,Clayey,3.8260713274616047,2.7919206135835606
185,Female,Moderate,1.2116297330826575,Wheat,Loamy,3.4427350676770527,6.7580796588992165
186,Non-binary,Limited,3.8045768798666137,Maize,Loamy,6.812513667252068,6.799411417761043
187,Third gender,Limited,1.222911942803938,Maize,Sandy,3.0811324365193262,2.4431858621899565
188,Agender,Abundant,4.646911393366531,Rice,Loamy,9.24728596068156,3.146746953857143
189,Pangender,Limited,3.808330267537986,Rice,Loamy,4.654395181892117,5.158196055642169
190,Gender neutral,Abundant,3.0295590603406284,Maize,Clayey,7.096378120567111,2.693884388089109
191,Pangender,Limited,2.7660156931246997,Maize,Sandy,7.549801455957261,6.264945806720582
192,Genderqueer,Moderate,1.5226905216530495,Wheat,Clayey,7.146475251627972,5.360875579200421
193,Male,Abundant,2.1639975582586524,Maize,Sandy,9.13060216803721,5.672783606611358
194,Agender,Abundant,4.475836420083585,Wheat,Clayey,3.080177772453983,2.2102079753849972
195,Genderqueer,Limited,4.617811246249976,Maize,Loamy,1.7744909021749107,5.655266428947791
196,Non-binary,Limited,1.0029908334821243,Rice,Sandy,1.4991912753854442,1.4453037194872538
197,Gender neutral,Abundant,3.376545565910205,Rice,Sandy,8.900597354275224,8.933817682105134
198,Female,Limited,3.8772024361004545,Maize,Sandy,9.75958344945264,4.089247217250332
199,Agender,Moderate,3.474987929830425,Wheat,Sandy,3.722738870842414,8.707035923521367
200,Agender,Limited,1.326719059465416,Wheat,Clayey,7.2416253121747225,7.314907318703595
201,Male,Moderate,1.8708995951956089,Wheat,Clayey,1.08021505754574,7.895553303674629
202,Two-spirit,Moderate,2.001361069525544,Maize,Sandy,2.69768359104389,3.830900450850305
203,Agender,Moderate,4.326898525220359,Maize,Sandy,7.20346944215453,3.0496954585064966
204,Transgender,Moderate,2.852797745235682,Rice,Sandy,1.5929842538370953,4.660664984570033
205,Gender neutral,Moderate,2.9473128477649473,Rice,Clayey,5.216590449278421,1.218032761715194
206,Gender neutral,Limited,4.739572186218034,Maize,Sandy,6.96324937936554,9.268801091815146
207,Transgender,Moderate,3.548343555418862,Rice,Sandy,7.8936235417496565,4.483128393695121
208,Third gender,Limited,4.594670806210655,Wheat,Sandy,5.084343223519334,9.897009443592085
209,Transgender,Moderate,2.826035421366132,Wheat,Clayey,6.672556355467087,7.8530447872667155
210,Transgender,Abundant,1.597745034073177,Maize,Loamy,5.856180666058552,1.7246350881937942
211,Gender neutral,Moderate,4.719742376296343,Wheat,Loamy,1.47075194874989,6.941694500583184
212,Pangender,Abundant,2.834820462670153,Maize,Clayey,7.685242185338619,3.4375524835415963
213,Gender neutral,Moderate,1.7265256875152875,Wheat,Loamy,2.551257242968375,3.193467810232421
214,Two-spirit,Moderate,2.209582961215689,Maize,Sandy,1.2862497811045719,3.3090640291289155
215,Male,Moderate,1.203210358755769,Wheat,Sandy,5.06051124659535,9.244675438235353
216,Genderqueer,Abundant,2.8732023658255406,Wheat,Clayey,8.790738285533592,5.499821584642374
217,Pangender,Abundant,4.412512687640946,Rice,Clayey,2.3574649389492577,7.025238089304453
218,Female,Moderate,4.7343218240267575,Rice,Loamy,1.115717807052775,3.5285304321973063
219,Genderqueer,Limited,4.730408830014575,Rice,Loamy,1.989813121888754,5.706590096666064
220,Male,Moderate,1.500920102514987,Rice,Sandy,4.27293202898446,4.150901243900709
221,Two-spirit,Abundant,2.528215530044228,Rice,Clayey,6.221546829921734,3.8902513635676064
222,Two-spirit,Moderate,1.1129150386028255,Rice,Loamy,2.737109205873033,3.22271963173191
223,Female,Abundant,4.420661379885891,Maize,Loamy,8.217676045203135,4.681062086440605
224,Pangender,Abundant,2.435023048085095,Maize,Sandy,7.779674084941737,6.940270995670207
225,Third gender,Abundant,3.524468111568939,Rice,Sandy,7.262772549388293,2.998393984603981
226,Transgender,Moderate,3.8595937523091544,Maize,Sandy,5.387228274839896,9.688995881896151
227,Pangender,Abundant,2.7193786789726215,Rice,Sandy,4.286952596205868,2.121505088173
228,Third gender,Abundant,2.225769346200972,Maize,Loamy,4.3802795886832975,5.321864869492927
229,Two-spirit,Moderate,4.848851640463779,Wheat,Clayey,5.5276348146015994,1.7652539471981448
230,Gender neutral,Abundant,4.857952900095417,Maize,Clayey,1.6958321819438908,1.2039878896210898
231,Male,Moderate,2.1577454721200877,Maize,Sandy,7.140749165803551,9.30409587728527
232,Female,Abundant,2.9185003869778323,Maize,Sandy,4.163567896083719,8.293463145555707
233,Male,Limited,4.891376634640089,Wheat,Loamy,3.0228290014481973,7.247398358130025
234,Non-binary,Limited,1.019473630622013,Rice,Sandy,3.5049436344877503,8.786717318349503
235,Non-binary,Abundant,2.650712993516597,Maize,Clayey,2.6226485675759603,8.225635806727556
236,Pangender,Limited,1.4018301987238737,Maize,Sandy,9.114112769750097,6.82513948887753
237,Two-spirit,Moderate,3.0366318622504105,Wheat,Clayey,2.5213376472629596,8.626080931915322
238,Two-spirit,Limited,1.0986798181619486,Rice,Sandy,8.946335070053763,4.517204981140948
239,Transgender,Abundant,2.6275937255625115,Maize,Sandy,6.150190563716062,5.974766499116135
240,Transgender,Abundant,1.8827962991413405,Wheat,Clayey,8.807058598499742,7.986795876807811
241,Transgender,Moderate,3.133233449834963,Rice,Loamy,5.26657795214961,1.7631821462171198
242,Gender neutral,Abundant,4.983974596402799,Rice,Loamy,9.348703475329662,8.727809204462355
243,Genderqueer,Moderate,4.202144420506991,Maize,Sandy,2.903416692475152,2.4114741012694454
244,Agender,Limited,4.3825683664976856,Maize,Sandy,5.992225775625471,8.780871276077853
245,Genderqueer,Limited,3.5410599494363235,Maize,Clayey,2.1325482146230224,3.801995844696343
246,Male,Moderate,1.1662393930890342,Maize,Clayey,5.024982566821279,3.941045613722966
247,Genderqueer,Moderate,1.8271907041765765,Wheat,Sandy,6.1291332698215815,1.6655382088273114
248,Gender neutral,Abundant,4.70025822578822,Wheat,Clayey,6.451076999558548,8.973096615061745
249,Male,Limited,2.464452471715005,Maize,Loamy,4.289759172165512,2.570593621517826
250,Genderqueer,Moderate,1.4145469059231823,Rice,Loamy,1.6870207794980754,6.670449118333138
251,Gender neutral,Limited,3.809621463464808,Maize,Clayey,6.897934642443873,6.795708393281701
252,Agender,Moderate,2.1978308957370185,Rice,Clayey,5.3958867440795,3.530363530731813
253,Genderqueer,Limited,2.0754276516166867,Rice,Clayey,2.231909799735312,9.870948617111239
254,Gender neutral,Abundant,4.991909822233041,Rice,Loamy,9.422883724654897,1.5774959629997642
255,Transgender,Limited,4.432555700106617,Wheat,Sandy,9.601017959650989,6.470848098923665
256,Two-spirit,Limited,2.631751273471364,Rice,Clayey,8.70945651848232,5.315895347114702
257,Transgender,Limited,4.921044831265997,Rice,Clayey,8.594814704658376,3.2093569643254716
258,Two-spirit,Limited,3.6004528936768545,Wheat,Clayey,1.8880414828125052,2.471965401906518
259,Female,Limited,3.968089807519041,Rice,Sandy,9.94078098624311,7.633759223430878
260,Female,Abundant,1.1260521723288464,Rice,Clayey,4.6034261187735845,9.246833870330677
261,Female,Moderate,1.4864210373922284,Maize,Clayey,2.4680900428040218,1.9679163575925016
262,Agender,Limited,3.5323405059849535,Rice,Loamy,8.30891555395499,2.745821908954049
263,Transgender,Abundant,4.596095930597936,Rice,Clayey,3.031576916167521,9.876427725660088
264,Two-spirit,Limited,3.4949749043503826,Rice,Loamy,5.735577886026324,1.1352040681408715
265,Gender neutral,Limited,1.5360995772759671,Rice,Sandy,2.152144586830927,5.574267726876309
266,Male,Moderate,1.4630401849852985,Rice,Clayey,5.271811509482997,5.645015650736329
267,Gender neutral,Limited,4.376743583296326,Wheat,Clayey,6.023273440626481,3.3684537263119645
268,Male,Abundant,1.5572093548316572,Rice,Loamy,5.013315639562085,6.967259923992947
269,Non-binary,Abundant,3.0809278420161017,Rice,Sandy,1.625381422773877,9.504468157843123
270,Gender neutral,Moderate,1.148453279849209,Wheat,Sandy,5.36445127524487,5.051925378609194
271,Genderqueer,Limited,1.3226790695647095,Wheat,Loamy,5.220485590967343,7.744775548610715
272,Genderqueer,Abundant,3.6893930705714593,Rice,Sandy,3.3545824956160644,6.814632333443124
273,Pangender,Limited,3.7567256417100667,Rice,Sandy,9.294414396916928,5.256476771875434
274,Transgender,Limited,2.3658776264337695,Rice,Sandy,4.760130994284305,1.448310698228842
275,Male,Limited,1.862439060972179,Maize,Sandy,8.777042165767465,7.675748244615478
276,Male,Moderate,4.254841083029232,Maize,Sandy,1.986974466700977,4.269263024093167
277,Transgender,Limited,1.8684129178795614,Rice,Sandy,3.869895557855633,3.0204521956217882
278,Agender,Abundant,3.168108278665519,Wheat,Sandy,2.58697768391236,9.534417848093534
279,Pangender,Limited,4.872835363451622,Rice,Sandy,4.675697090633733,7.961524925924458
280,Agender,Abundant,1.5914097514495351,Wheat,Clayey,2.0047301845379075,9.660418135092428
281,Agender,Limited,4.7635050699788355,Wheat,Loamy,4.9693132526105845,3.3059523894903107
282,Agender,Abundant,1.7315722122746746,Wheat,Sandy,4.184836691034127,8.522139948200985
283,Transgender,Abundant,3.2697728320929182,Rice,Loamy,3.0098354254660467,6.469492638357723
284,Agender,Limited,2.5080308478349784,Rice,Sandy,6.7796147075528355,9.833533203728976
285,Genderqueer,Limited,4.859714406007304,Wheat,Sandy,9.558203393330487,9.516852510522916
286,Female,Abundant,2.0941681160077477,Maize,Clayey,2.8640212619462817,9.756712404484322
287,Non-binary,Moderate,2.5986320083430146,Maize,Loamy,7.406117559086053,9.565908565059477
288,Male,Limited,4.931440471421682,Maize,Loamy,7.681428003310686,1.068947802013951
289,Male,Moderate,3.1458815647538927,Wheat,Clayey,5.4830846478327615,7.669768691356205
290,Non-binary,Limited,3.010520462485014,Rice,Clayey,9.079015114905102,3.447411050886776
291,Transgender,Limited,2.031113952815965,Wheat,Loamy,9.69751059458356,7.3452438599727525
292,Gender neutral,Limited,3.805454241241766,Maize,Sandy,4.260218068484645,9.825500811285178
293,Transgender,Limited,1.0574918071111106,Rice,Sandy,6.859299682028688,1.3542345162888294
294,Male,Moderate,1.1980505188091741,Wheat,Loamy,6.9599135611010094,6.102890491954154
295,Male,Limited,3.397434348543211,Wheat,Sandy,4.632719736272541,7.614578423050924
296,Non-binary,Abundant,2.3666982952738165,Maize,Clayey,3.851119670451528,3.2802290399332623
297,Agender,Abundant,4.813265488803842,Wheat,Clayey,9.40369778405032,3.0260974336042823
298,Transgender,Moderate,4.612762762891142,Rice,Clayey,8.109833943814078,1.543109548616929
299,Two-spirit,Limited,3.854825034706829,Maize,Loamy,2.030181093770897,1.8452787145126806
