campaign_id,campaign_name,campaign_type,motivation
8973f3b7-98d0-437d-aa10-92e8b9a324e5,"Tran, Moore and Griffin",Hacktivism,Bill population once partner personal million. Nature model happy. Full worry likely difference compare only.
6bd3f626-11ce-49e6-ac95-a92d7932d16c,Hendricks Ltd,Cybercrime,Congress before contain push. Adult money usually executive on partner.
047d9fc7-ad9f-41ab-9978-5dfc1b69c174,Marsh-Dougherty,Cybercrime,Language arm grow suffer. Turn purpose performance possible check.
218d1684-6c5f-4a94-9738-17f8be5940a1,Turner LLC,Cybercrime,Everything should system method news development. Collection difference whose western. Impact morning prevent dinner someone stay.
2574052c-8751-4900-bb31-3f30f1e1d13c,Hayden PLC,Hacktivism,Exactly before avoid appear instead. Always man require particular owner room. Among eight job example.
078ab8f8-3801-4e46-a3ed-4fb92f25a7d3,Wiggins-Armstrong,Hacktivism,Consumer man page. About member admit remember do lawyer. Teach agreement hot bit care.
b22d398b-3f72-4937-8028-ec565daea22b,Wilson-Foster,Cybercrime,Evening consider modern reveal. Body education yet show cut story organization effort. Throughout help doctor article language.
6c21b90b-c3c7-4855-9644-807f6dec6038,Hoffman-Matthews,Cybercrime,Story help I Republican different concern option. Find industry suggest often lead.
8104d1b4-3702-4332-abf6-29cb1f1a03a8,"Grant, Jensen and Walls",Nation-State,Receive office away scene. Enjoy north current again than government.
7908e9b6-a73c-4bc1-bbcb-554618a50dc7,Hall Inc,Cybercrime,Sea should look increase practice evening account. Marriage week year out kitchen never mention mind.
64080e86-feb9-4188-9b8d-2f44a21263e1,Dominguez Inc,Cybercrime,Medical from before question piece win stop. Evidence herself size least. Fine finish to stand write.
9fa72648-a0e1-4374-951c-5756c237128e,Evans-Robinson,Cybercrime,Dream color eat project catch skin.
07eca26a-b8b0-4332-ad13-47f46fb85780,Baker PLC,Cybercrime,Laugh left his goal lawyer senior. Agreement wrong from staff explain.
7dd97008-9fd8-47bd-aaac-bee59d73c154,Smith and Sons,Hacktivism,Point this name since media board practice. Page real west people modern of television. Anyone process subject skin guess PM fight.
32a1c8ed-38d4-4274-a9f6-48997982b096,Davis-Jones,Hacktivism,Author industry interesting else.
81f74db2-2202-4b56-b608-f2555364345f,"Roberson, Sampson and Spencer",Cybercrime,Fire real city. Question perhaps look story both pretty. Less whether name body.
c62d9995-a862-4941-a473-cede9e37eebe,Miller Ltd,Hacktivism,Significant other him president. May organization good thought deal perform environment. Low bring employee government.
fc813f17-81b6-4d5c-90bc-adc0fe6ddbf2,Jenkins and Sons,Cybercrime,Four cultural heavy movement pass nation.
a8fb2d66-2f66-4e61-b7ce-6fa053c2f14f,Thompson Inc,Nation-State,Floor kid each Democrat interest sort. Machine away amount similar politics money. Yard dinner marriage figure.
cc741bb0-133e-4a60-93cf-14be68f1b930,Turner-Butler,Hacktivism,Where much show work once peace. Mr success dark ball white have positive.
781770c3-4104-4b7e-aa19-cb06d117e0ae,Terry-Scott,Nation-State,Skin recently because artist. None smile their concern not woman.
47c369e2-218c-4919-b3d3-41f61ff24729,"Sanchez, Nelson and Owens",Nation-State,Evening up stay black question. Full oil condition do develop. Treatment others thing pass.
1b7ea341-0227-431b-bed5-2b60c4963e90,Washington Group,Nation-State,Perhaps week out hard. Crime race entire end ground food. Training gas chance safe.
45878c5c-f7a2-47c8-97b0-673371fac77c,Davis PLC,Nation-State,Quality minute store author capital best tonight. Everyone respond floor in none actually.
bdd0ba16-f91e-4815-b776-2138a09c3929,"Thompson, Dyer and Lewis",Hacktivism,Lead pretty road performance performance night agree. Shake for into improve Republican.
d6e16842-23db-4da9-9c97-9998b71a31f5,"Allen, Vega and Prince",Nation-State,Into case arrive million. Shoulder tree else nature Mr in. Analysis certainly fly day participant police.
6f8a5a35-f25b-4929-af92-e61bb5ff3476,Reed LLC,Nation-State,Position chair how event true. Step thousand box involve.
03b09bfc-e53d-4ad6-9fd3-e51015f1eefd,Price-Flores,Nation-State,Firm assume start friend. Fear table less seem like group. Himself food reduce resource grow meeting.
39fe3f0c-fa09-4da2-9d74-68610a497526,Ross-David,Hacktivism,Meeting sense would apply yes represent meet Republican. Huge challenge at step guy.
13b60eee-5fc1-4f1a-8dda-a2c2a49ef0e8,Morrison-Gray,Cybercrime,Wonder field term policy present group. Company never century whether get. List on result whatever close get continue.
917e2e20-6aef-4abe-8453-70e16d4e3116,Martinez Group,Hacktivism,Might among capital few simply wish manager. Case join trial event glass majority.
0b13e0a4-2f91-44f4-a0fa-0962a76c1d4f,Barr-Wong,Cybercrime,Often plant tough PM. Responsibility hour threat six because laugh approach state.
b7099a9a-4795-4760-917a-a1ab2229d95f,"Strickland, Smith and Solomon",Hacktivism,Force case amount how all thousand summer. Without try job as four cold.
bbbeb512-d257-4515-b5d0-561a409d5106,Romero-Price,Cybercrime,American north smile none. Some police forget.
ed4efef8-c53b-4bb6-969a-b32856d4efd3,Davis-Coleman,Hacktivism,Property though especially customer. Seem past near customer push too commercial. A maintain source look particular data.
03406ca0-7628-4a3c-b2b7-072a49d4fde8,"Madden, Stone and Camacho",Hacktivism,Teacher consider Republican. Discover friend life natural. Visit for kid couple show eye book.
5bf2d397-3bc2-4bc9-ae59-dd6f8e5130ac,Ayala-Garcia,Hacktivism,Budget somebody shake. Manager memory garden no discussion interest. Explain natural tree ten prepare baby.
4780a60d-919a-448c-8011-bd2d593cba74,Nguyen Group,Cybercrime,Pick listen at anyone.
35fe2593-7862-4317-a4f6-5c62879e1a39,Orr PLC,Cybercrime,Future include charge science address week. Hotel politics chair often city protect life.
1685034b-ae76-4ed7-ad06-aa623531a47a,Hartman-Moore,Cybercrime,Happy shoulder arm blood. Necessary past ahead by sign expert. Issue better worker pick.
5799fcec-eb3d-4f57-9a29-d4bc5067c9da,Williams and Sons,Nation-State,Mother so course young amount husband. Traditional finally free protect specific than west. Movement heart forward production attorney.
24e30123-2df0-4f9a-9fba-9030a78ebcf9,George Inc,Hacktivism,Investment remember become. Point happen job still education art fall.
c76b738d-a2f9-42ed-bc4b-4c3f835793b7,Boyle PLC,Nation-State,Other hand paper Congress truth power room institution. Trouble page interview issue. Name former into at tonight according.
fabc0afe-5148-45d4-abc4-5afa67f33b8a,Rocha-Tucker,Hacktivism,Blue employee ready sister apply argue machine. Matter really expert go four out life according. Cover reflect what send act administration. Support bill perhaps indeed.
61a5d771-6965-4d7b-b39c-3a34beb789f8,Washington LLC,Cybercrime,State traditional by stand. Continue while full water test. Meeting affect result state base.
5a42aba5-341e-4e59-aa22-abdd57bb51cd,"Chen, Giles and Gonzalez",Cybercrime,Their ready base black detail fire. Central range must us. Medical candidate single cultural after.
ebcab271-4a98-4ac7-96ae-6dd4c330c119,Robinson PLC,Cybercrime,Visit agent focus become thing child though. College daughter center.
98b3847c-85d2-4ece-a525-78f27420bc9d,"Mccall, Fields and Barron",Cybercrime,Worker security consider across. Quality opportunity similar. Soon major bank source contain.
9fb2e1b4-68af-4857-98ea-bbf3d4441045,Grimes Inc,Nation-State,American Republican vote choice several week record. Cup without language two month. Thank sign box wait.
171efa10-0be7-4cb7-91bd-7047928fff59,Thompson LLC,Cybercrime,Ever friend son. Board less civil deep international appear.
d4a5a5fd-9066-45e9-b00f-ea334ff7fdf0,"Riley, Hardy and Gibson",Hacktivism,Decade create federal than. Eye focus action. Them work current another. Better student six according.
713ab1b7-5f11-40c5-bb64-92b568b0eb53,"Brown, Ward and Vasquez",Nation-State,Population fear measure. Sign care between term dream theory southern. Campaign campaign design fill. Lot theory watch surface.
068fa3ec-aeec-4ec2-b63c-f15b18e3a086,Acosta-Jackson,Nation-State,Successful last teach yourself view cell arm recently. Ask individual second exactly well.
d90e52ec-a3ba-406c-8da4-0d1da1f3b22e,"Brown, Martinez and Strong",Nation-State,Enough firm meeting suggest sign list. Bed detail seven base conference future. Run voice actually someone Democrat together.
b23bc3eb-8108-46df-bb7f-b5d693b7776c,Golden LLC,Hacktivism,Threat child there summer type weight. Evening relationship exactly including entire.
200549c9-7454-4959-bb19-03f68b8296f9,Huerta LLC,Nation-State,Unit trial hotel movie record although important. Time today himself gun. End professor west factor safe.
acd9b16e-e2a7-44ee-a6a6-7fadefffcd10,Key Ltd,Nation-State,Cultural material push catch smile.
4992c567-c997-418b-bd95-8b0b2a0d56cd,Rivers Inc,Nation-State,Identify test weight heart us. Maintain wear trial group.
a114d144-db3d-4789-a72a-4666b4b34cd0,"Baker, Henderson and Oconnell",Nation-State,Discuss ever sometimes enough fly option. Quality onto last agent provide hot.
80fc8735-c740-44be-b6a7-be322810e2d6,Robinson-Russo,Nation-State,Safe job challenge. Member eat general suffer for then. Commercial watch room rock fight community. Response stock suggest form blue.
1612209f-65e3-4ec3-88f2-46b2d191a379,Flores-Turner,Nation-State,Direction too ability each. Program may car couple man may sense.
6983d833-0ac3-424d-ae3c-28b51a7b95ce,George-White,Nation-State,Real value phone both another fear ready. East or goal with second family few.
e4290c8c-be6f-4596-baf6-51210bac2eff,"Nelson, Hensley and Jenkins",Cybercrime,Wall fund politics high discover. History land enough late money style consumer. Institution watch six garden court thing nice.
f6f51409-56c8-46fe-9ddf-0bc9e1a17146,Smith-Macias,Hacktivism,Figure term daughter style. Course share energy according probably live.
53ee9c80-1dc4-4fa4-8747-79c317872380,Landry-Santos,Cybercrime,Girl various market age discover style back. Eight purpose seem eat.
ead8d874-0169-4d87-89ae-dcc2741ca6d1,Martinez-Mitchell,Hacktivism,Community glass unit development music record. Audience purpose beat teach quite. Discussion your look finally them indeed.
813addd6-794b-4a65-b2dc-83284d20e23b,Dickson-Martinez,Cybercrime,Age very manage. Western center though skin huge central. Over of force middle age table.
ec973da5-5a41-4fe1-ab47-4ba63dce6d9d,Rodriguez-Williams,Nation-State,Whom morning cold study table. Whole senior point general list themselves.
c10f72c0-70b3-4730-8e0b-dc51ad6662fb,Hardy-Martin,Hacktivism,Science talk involve reduce check tax. Cold must fish usually food rock sign close. Southern though service up value. Say collection level usually.
a30b437e-782c-4f7c-a959-89a69ef0b897,Day and Sons,Cybercrime,Cost information Mr. Even admit try. Price some own theory fill shake position.
31332de3-78f2-4267-9afb-d5ac1de14194,Barajas-Gonzalez,Hacktivism,Live growth natural so medical maintain avoid forward. Short according stage.
984914f8-350d-4f72-8e98-11342ebaa27d,Scott-Johnson,Hacktivism,Anyone cup leg idea amount exactly break. Agency seven water century.
416f7bad-ba73-4c75-b715-86726c0e6211,"Davis, Estrada and Gibbs",Hacktivism,Magazine give free building do difficult executive. World site hard coach unit.
583496dc-3694-4698-943c-0e294f1f119e,Clark Group,Nation-State,Time plan make air pay read. Hospital TV remember world. Of report responsibility.
bd3613b5-30e2-40f6-bae0-2a68bf72f607,Martinez-Adams,Hacktivism,General learn difference shoulder. Hear how local apply. Since rate child serious social heavy. Agreement deep join difference hold class.
f03c518f-ee2f-4fdd-8846-8cf67c26681d,"Lambert, Ortiz and Smith",Nation-State,Million who above he. Owner around detail fall just husband. Record daughter weight.
683e819a-76bd-4cb6-b535-004016a7496d,Frye-Pennington,Cybercrime,Responsibility address artist performance seven. Professional determine him suddenly brother before goal federal.
e5340368-6248-4f37-8910-e9467778c37a,Douglas-Gomez,Cybercrime,List point it yes sister. Likely where expert course water out whatever would.
b034a843-bd60-48b3-9a45-19cd9556d611,"Thomas, Smith and Ho",Nation-State,Money pretty growth force. Face third instead matter democratic. Live cover call.
adac8b09-95a5-4a3f-8938-6cddf2b12017,Barrett Group,Hacktivism,Human local ten pick. Sound occur speak keep attention pull. Else education tonight heart eat home industry.
175b3057-716b-46f2-b1dc-763e288a3bd9,Harris-Wright,Cybercrime,Produce call process. White study color lawyer fear suddenly parent.
6c929646-320b-4d04-978b-d38a3e58de1c,West-Hernandez,Nation-State,You marriage contain federal event official professional. Them poor nice little various why. Off best by wear.
2783e723-f50d-4e3b-be48-1899d0d59b0b,"Clark, Henry and Fernandez",Nation-State,For everybody hour much. Middle treatment growth support nice out. Bed once cup yard approach close level.
a72ad50b-f50e-4256-bac7-bbe0b09a77ba,Lee-Taylor,Hacktivism,Buy great however source number certainly. Whatever area debate such mission young Mrs western. Sign government wind call official.
875d66f3-ac37-4236-b22d-bdcd2917d79a,"Ross, Beltran and Kirby",Cybercrime,Apply particularly whom. Include specific drive big course feel cause. Wait yet receive.
a946149b-5818-41ce-b359-76d22ed2d7cc,Estrada-Jones,Cybercrime,Head peace land most past low describe ability. Body even I day three operation my. High which best heavy tell natural throughout.
629ecd0a-f718-468a-8e05-0c15d99d45ac,"Sanders, Herrera and Patterson",Cybercrime,One data room. Chance around at strategy its head environment. Site career in each idea husband.
c9e8b936-0652-4723-8d05-e23a6f20c4ec,Wright LLC,Hacktivism,Expect case teacher place. Tough management side evening suddenly.
a74565e9-81d0-497d-8312-b302fce9a69b,Mcneil-Perkins,Hacktivism,Safe economy season final. Do ask to Mr trip.
1464d73b-13ce-42e6-b373-f89fa95fe121,Austin and Sons,Hacktivism,Total pull accept.
92c2fe5b-2be9-4f00-80e7-c94998d2b4b9,Thompson-Hawkins,Nation-State,Learn else body happen actually president determine process. Cause enter stop who.
8788d47b-54cb-43e5-8b8d-fcd3004ea9af,Shaw Inc,Hacktivism,Certain which news world hotel. Send reality past administration change. Memory lay positive discover player. Responsibility cover design stock.
3a948d0c-8646-40df-a3c3-6d67658754c5,Oneal-Merritt,Nation-State,Standard run trade money artist heavy. Action control movie eye instead open. Sea compare professor not name majority wish.
c573a74a-c95c-45be-8705-3650e48d2c52,"Vaughn, Mann and Cervantes",Cybercrime,Move good can stage admit animal money government. Spend try operation mouth. Radio course heart mind.
329dbf00-45ea-4da7-b8e2-d8bfb16c8fb3,Stone-Lawrence,Hacktivism,Ahead pressure perhaps wait fill. Their because tax tell security. Support any almost military fire newspaper wind.
ba62f5a9-7344-4c1c-bfd1-b05abf864211,Foster-Anderson,Hacktivism,Eye room social miss standard. You middle little tend account bring.
e55050bc-b738-45c8-9e04-6ffba5f339b8,Stewart-Walsh,Cybercrime,Provide high never health series research win. Law attention save class without my impact. According staff economic check room.
87913475-d19c-4231-8ba1-92d4e6540244,"Shaw, Cox and Flores",Nation-State,Finally main do tell fall between participant. Hear save receive increase. Keep pass then song watch describe.
a21c3f74-5961-4cae-832f-acf21cdab8bc,Dillon Group,Nation-State,Without that still enter. Computer important care listen product forget.
0c6b9e48-e846-4196-88a9-2b12df7cf509,Lowe Ltd,Hacktivism,Get happy information create tree half much. Responsibility management someone reveal produce audience house. Despite bank human green north assume.
dec4f269-3884-4cc8-896b-754c007f2c80,Jones-Wilkerson,Hacktivism,Rule down also interview security reason pull. Those glass authority people.
661f2edd-a8da-434d-8aa1-ec8d6d6f74e7,"Watkins, Rodriguez and Owen",Nation-State,Model pass never blood. Mention deep course type that food. Simple this card detail across enjoy.
1390d9c5-b77a-499b-868d-e8f43d6b0e3e,Shannon-Mcdowell,Hacktivism,Place station financial after career sign. Expert across month kid life.
026f3d91-6476-4229-86d9-9859b7fce859,Jones-Hernandez,Hacktivism,While budget maintain indicate nor. Like instead begin through establish.
989eadb6-c26c-4e46-976d-e5c93e7f0896,Williams-Mcgee,Nation-State,Maintain under trade. Usually those debate television walk church.
c62f43d3-aee7-4bbb-a084-2a46d78f2e9d,"Lee, Todd and Jackson",Cybercrime,Professional open reach TV audience commercial song. About enough child itself vote. Decision pretty a realize director set various.
793be0f1-71db-452a-a2e6-9fc761153350,Calderon Inc,Cybercrime,Government bed network. Any employee Mrs what international. Soon along decade mother half.
22447e79-2625-4043-9739-367fd15f9a82,Butler-Walsh,Hacktivism,Two clearly respond. Tend kitchen sport eat thus goal probably. Rest let late case yeah rule possible speech.
