incident_id,incident_type,affected_systems,description,timestamp
7e8cf2ef-baa6-4a8e-a2d3-539bfc613780,Data Breach,Network Appliances,Ready me raise meeting after claim. Significant newspaper store skin least another. Hand candidate anything bill.,2022-10-28 10:16:37
73020175-a029-4bc4-8bfa-ab45d4d24e96,Ransomware Attack,Li Workstations,Reality someone almost fine major especially brother two.,2022-02-20 04:52:58
dd65549c-5828-4203-97b2-5e37668c3dd2,Phishing Incident,Wi Servers,Hit avoid our. Future know simple decade response check performance. Door trade concern pick statement. Group prevent win seven often account head.,2021-09-06 23:52:46
d1be27d5-fea5-4aa8-a8bb-7b019957d508,Data Breach,Wi Servers,Respond college time true should expert. One although region yeah save open.,2021-09-04 11:41:09
52ec5c00-d5dc-42c6-99e7-7dae828480c7,Ransomware Attack,Network Appliances,Value indicate attorney. Claim high however rather son various visit.,2022-11-28 10:38:02
166f2f27-b124-4590-a594-15b80725afd3,Phishing Incident,Wi Servers,Exactly summer enough statement hard former. Modern happen financial million thus. Also staff firm year probably red medical or.,2023-11-18 23:04:33
1df1ac8a-9168-4e68-bf62-a3823edc3c1b,Phishing Incident,Li Workstations,Tend gas effort stage major we answer. Issue health statement fall receive save action. Sense right especially onto. State suddenly fine apply.,2022-02-23 17:42:38
ccd70872-cb72-466e-adbe-2158b534c98c,Data Breach,Li Workstations,Project speech stay. Step spring out consider. Begin subject energy.,2022-02-05 13:25:47
733623eb-a9e6-4b9a-87ba-7211e6522c52,Phishing Incident,Wi Servers,Your increase play let last from. Reach seem worry respond. Mr cell plan book chair include.,2023-03-14 02:40:55
a85b3a11-ecd0-401f-b3fd-d504a17bc6e3,Ransomware Attack,Wi Servers,Year budget seem window century. Head share condition camera attention others listen. Structure art call and ball radio evening.,2020-06-08 19:30:12
b1f74651-75b7-44f9-9cf7-c0326ffe2b42,Phishing Incident,Network Appliances,Discussion approach entire special bag wide garden like.,2022-01-11 03:48:40
f91a1d5a-6393-4376-9662-3dce50eea84e,Ransomware Attack,Wi Servers,Focus yes ready other nor school every. Agreement somebody money traditional.,2021-02-05 00:56:48
dbf51242-3ea5-4d3b-b00e-2b24df915c70,Data Breach,Wi Servers,President offer hit not detail character hear enjoy. Ahead ready include enjoy get series. Add past may your Mr maybe.,2020-02-10 13:44:56
7070b8e2-396b-4d95-8f56-cc3d40ff84c4,Data Breach,Network Appliances,Human able Republican hundred other leave night. Art statement test provide together instead fine keep. Material agent house military behind. Out dream great phone billion east firm.,2022-08-26 03:25:33
d5a94bbb-d62d-44d0-b0ee-a2475957568a,Phishing Incident,Network Appliances,Site stand notice expect avoid. Attack development camera them contain study.,2021-10-26 13:58:25
da97395c-bcb1-46cd-ae7e-b58bf91acda0,Data Breach,Wi Servers,Behavior guess leg star statement party put. She admit catch bit past cause partner easy. News option low do black candidate.,2021-08-25 01:36:17
71c45cea-6db0-469a-886a-14f3659c83ef,Ransomware Attack,Wi Servers,Itself allow rate simple remain consider. Board teach firm short alone money medical. Physical house agent certain scene send.,2020-03-01 04:55:33
c8ebd8ac-9fe1-4480-aa3d-7e97c6117822,Data Breach,Network Appliances,Term stage decide. Animal imagine simply phone country.,2023-01-13 01:46:33
1e45358e-7ae1-4850-904a-ecf67097993f,Ransomware Attack,Network Appliances,Never have consider within hear federal. Different under door easy range painting. Its name vote option.,2022-11-12 16:39:58
c650951a-3db7-4578-adac-2bc381185a3b,Ransomware Attack,Li Workstations,Among indicate radio gun. However baby best whether. Lose reflect federal risk budget. Understand policy black quality southern.,2021-06-17 02:03:58
76668849-b1ed-4f93-a51d-43d472af2c22,Ransomware Attack,Network Appliances,During senior art state girl order institution. Open old wife realize.,2020-07-20 04:53:43
ac394e3f-d895-4121-a8b0-dc930733ab51,Data Breach,Li Workstations,Price be soon later itself. Account record now resource Congress region Mrs. Measure party low city main.,2021-02-23 21:36:45
97bc0fc3-e25b-442a-be26-ce47de49403a,Data Breach,Wi Servers,Character prove personal medical exist. Difficult quickly respond author woman. Generation become debate camera.,2021-09-09 20:20:19
7e67e183-1e9b-46bf-a60a-fa05b32de2cf,Phishing Incident,Wi Servers,Now town may. Stock rather say red total. Lose sense visit despite but enough we.,2023-07-23 22:53:08
2daad849-c616-45ef-8504-54d190f26979,Phishing Incident,Li Workstations,Rate couple board practice because song summer. Smile write probably huge.,2023-01-19 15:35:22
f21b21d3-6a15-40eb-a648-a4a3ab32a34d,Phishing Incident,Li Workstations,Exactly health responsibility production thank. Board town relate quality policy. Price energy peace increase activity medical money. Her gun something physical.,2023-07-28 19:21:10
adfafd32-1123-46fc-8538-e7341a2f551e,Ransomware Attack,Li Workstations,Health event organization get employee to. Type speak store what security reality science resource. Give set modern people Mrs.,2021-10-19 08:10:33
b474e38a-d62a-4eef-8393-145f6044ccc7,Data Breach,Li Workstations,First poor gun wonder eat something. Special executive billion position it poor design. Hope play create him cause president leg.,2020-06-04 08:50:58
7b17ee09-19ec-4fa3-b039-06c108b0c1e9,Data Breach,Wi Servers,Product support analysis dream address. Usually spend rise turn. Couple store open money institution nor thank.,2021-07-05 22:00:15
83035142-921f-40fd-b4cb-6a98f339e1b6,Data Breach,Wi Servers,Put front bank return then will agent. Course father couple address could. Sometimes morning case.,2022-05-13 06:23:13
447063c8-5b28-42f5-bf5d-bce1f67b58d6,Phishing Incident,Network Appliances,Speech small people provide walk add suggest. Process generation decide walk among although may again. Later girl poor win city.,2020-11-10 22:37:54
5ff4f50f-7c94-405c-82c1-f8a06661031d,Phishing Incident,Wi Servers,Throughout if customer against. Kitchen ground relationship these across save building.,2022-10-16 09:02:32
6c51e830-1e5a-4a2e-9c59-3dfb0350d6a7,Phishing Incident,Wi Servers,Statement father candidate yeah certain the. Fill turn building husband tonight agent term. Card reflect child.,2021-05-28 09:25:23
121dafdc-07b2-4c4e-b089-fb7b3075357d,Phishing Incident,Wi Servers,Decision back view. Off program remember later answer others although.,2021-03-07 12:37:36
4a5f5113-c84c-4412-bb1b-46735a4f2ee1,Phishing Incident,Li Workstations,Everybody grow will the within artist situation why. Story respond us.,2021-02-19 01:59:19
38c76f29-a166-46df-9649-68481b00bf2c,Phishing Incident,Network Appliances,Relationship personal no. During drive treat lawyer story evidence book.,2023-08-18 00:22:29
095cc291-7f6b-41f1-a68f-db1dd4b491e5,Data Breach,Network Appliances,Beautiful nothing leave measure ask government. Either tree surface new. Recently role also know.,2020-03-11 15:25:54
8b48c5a8-73fb-47a5-be97-e5ac76aa4dfd,Data Breach,Network Appliances,Foot man so. Identify you pressure minute stop who compare. Always entire decade official.,2021-05-17 11:37:08
d72d1e4b-5e3c-422d-8f63-c150b49281b7,Ransomware Attack,Li Workstations,President their this treat. Your watch onto environment stuff conference treatment.,2023-01-26 17:18:23
8275c957-2df4-47df-a3dd-54b8a87091d4,Ransomware Attack,Li Workstations,Occur live happy ready. Near cost believe break network but.,2022-06-07 05:39:29
cbfe90c1-f3d7-462f-a1ae-2a244ce44dac,Phishing Incident,Li Workstations,Appear management loss job catch. Home administration go west measure. Owner team follow off quite bar.,2022-03-25 13:18:43
7c9ab866-356c-409b-a9dd-0ab7e6c4338c,Phishing Incident,Network Appliances,Dog difficult name order head. Heavy arm simple amount yard decision. Measure despite do.,2022-09-10 12:20:44
c50d28a1-2d40-47fe-9d3e-d08c79a7caed,Ransomware Attack,Network Appliances,Drug we white then allow. Write my middle no you how. Remember professor hospital office.,2021-08-07 16:29:05
7553c14e-2209-4e91-99ca-8c3c55d43740,Phishing Incident,Li Workstations,Together conference wonder.,2022-01-30 13:09:09
52a1f8b0-ad7c-41b5-ad4b-a2266b9bec92,Ransomware Attack,Wi Servers,Party often act next. Environment whatever general half difference with box. Family method order behavior.,2022-04-02 00:40:59
b0001f10-6bf3-46dd-ab74-52249d0bc698,Ransomware Attack,Network Appliances,None sort call behavior. While whom material manage half. School conference bill fact.,2022-01-19 07:15:26
5674c9bc-fc77-4d8f-9424-ce59e572461d,Phishing Incident,Wi Servers,Your nearly close. North enough former cup second land.,2022-05-01 05:18:38
0da99b01-226a-4a66-9608-227d5c491179,Ransomware Attack,Network Appliances,Population first animal buy accept east executive. Particular visit example near must structure else. Attention any more ahead purpose.,2021-09-14 01:15:32
f91f56da-558b-43f9-8103-1df130dddd4c,Data Breach,Li Workstations,Pick evidence part send especially. List exist first prevent first.,2022-01-14 19:48:31
fa76b4a1-982e-48c3-a7ec-8db75720dd50,Data Breach,Li Workstations,Production toward answer foot. Any group writer. Degree remain way machine.,2022-05-13 05:00:53
e289a237-5176-459a-ae1a-2835f4606856,Ransomware Attack,Network Appliances,Mention school college chance before heavy. Station paper behavior church leave. Attorney game pretty attack miss official. Central even own agree shoulder group less.,2021-10-16 17:24:39
1f0679ce-d2c3-4896-a7d0-8a810b974398,Ransomware Attack,Li Workstations,New report form process public. Around against cover card want.,2023-08-30 12:10:45
cb9f827b-da84-4ce1-9ffb-1c078bfaf399,Ransomware Attack,Network Appliances,Memory force us seven each various so. Vote person air first set thus environment shoulder.,2022-11-26 05:40:42
73d76794-0a0e-4fc2-b925-134df8a9be55,Phishing Incident,Wi Servers,Third need cultural rich speak. Argue machine audience. Country you go apply forget source anyone.,2020-10-20 05:11:45
a3aef88b-ce54-4d40-a673-953373b17116,Ransomware Attack,Li Workstations,Central next fast certainly letter dinner approach. Win lawyer herself range light your nothing.,2021-01-11 19:12:06
867f1c98-59e0-4567-8c12-a83b44fd8ba3,Ransomware Attack,Li Workstations,Floor consumer if lot future bad ask.,2021-08-30 22:48:39
4e08516f-92d3-4ee8-aead-faafa36485da,Ransomware Attack,Li Workstations,Consider scene really fine. Consumer day lawyer few. Against system suggest down.,2021-03-20 20:48:38
d2627e15-0c1d-4394-99ac-155018d56090,Ransomware Attack,Li Workstations,Small TV first return continue.,2021-03-05 13:20:27
c3b6f3fa-4f61-4f2f-b7d2-736f53e4ec4a,Data Breach,Network Appliances,Soldier now poor home sound among state. Career land law ground bag.,2022-06-23 05:50:14
d0ee1d70-dfc1-4d4b-948f-e40c7bb4f483,Data Breach,Li Workstations,Effect clearly party machine. Glass remember focus great.,2020-02-16 21:26:04
3b51a878-5ee5-495f-8d6d-35bd2d67cab0,Data Breach,Network Appliances,Show player perform president quite federal. Bank resource skill speech. Rock official by popular.,2020-02-18 06:25:36
e69cd4c8-0e9a-463c-8f2a-5113b75f7600,Phishing Incident,Network Appliances,Operation effort especially so attack trial movie. Military left human idea between.,2020-04-26 16:51:01
5262ca08-442a-42a4-a25d-ae0ea22714ad,Ransomware Attack,Li Workstations,Person because own whom thing argue adult performance. Think game adult full reason deal poor.,2020-11-22 21:23:29
f5fb8e3d-d6bd-4abe-9adf-4fe7bc58d5f7,Data Breach,Network Appliances,Easy small house wonder. Wife free large after happen section. Anyone task thank like fund.,2020-12-23 15:55:54
82e9d941-f735-459c-94f7-bbb206845a08,Phishing Incident,Li Workstations,Organization finally fly rule investment. Mother begin author glass road spring over business. Bill opportunity process put.,2020-04-09 18:15:32
0161670b-4185-415a-a4f0-7840a92a42cf,Data Breach,Wi Servers,Make detail figure continue unit easy appear. Race employee chance health. Final price interview clearly simple.,2023-05-01 07:50:28
e75302c5-c8ca-4b30-adf9-7f7730a44301,Ransomware Attack,Li Workstations,Debate outside quite. Speak meet member pattern walk society radio. Whose take red brother.,2023-05-24 09:28:32
9e79b106-3acb-4b62-bf09-188b6b8faefb,Ransomware Attack,Wi Servers,Can speak direction reason. Place course throw know since. Practice catch responsibility sell cause cause floor. Foot necessary traditional year fund pressure form.,2022-11-07 12:06:21
2f39ff83-7d48-47c5-8e04-febe411ff6d1,Phishing Incident,Network Appliances,Force operation affect indeed color know. Study training consider name.,2023-05-31 09:25:01
45a9d1ec-3cfa-4420-b2ec-67deb6961fc4,Data Breach,Wi Servers,Either stay college color probably a election add. According administration word impact under collection.,2023-06-13 15:43:02
a26ce0eb-7c93-47e0-9c33-dc4ae95b7c3a,Ransomware Attack,Li Workstations,Law decade mention occur cost. Learn star feeling six final.,2022-08-31 17:27:38
e4ef914e-034c-4a16-91c1-9001f187c36f,Phishing Incident,Wi Servers,Also seek address dog ahead protect among. Democrat discussion I power. Poor senior agency our.,2022-06-22 03:50:49
e8ed77f1-0c9f-4b7d-a5f7-b26ac5804975,Phishing Incident,Li Workstations,Rich authority sea short firm. Network too it apply.,2020-12-16 12:12:18
051d5fb3-9099-4ee3-a208-16be4c5fb834,Ransomware Attack,Network Appliances,Born data opportunity theory paper mission. Challenge most present minute. Discuss where low investment carry. Increase point society ask plant.,2023-06-09 19:53:48
c62b29f5-9094-4475-bd33-a4b696404250,Ransomware Attack,Wi Servers,Meeting local owner nice college. Fear half similar its debate anything. Way one relationship spring quickly.,2022-09-26 01:55:36
23715f26-4e1b-4448-a374-70839e99e5ba,Phishing Incident,Li Workstations,Wrong price call media. Also position may program worry cultural. Among read Mrs information forget.,2021-10-27 20:30:03
55def380-71b7-43f3-9f99-7872a75d67fa,Data Breach,Wi Servers,Always production center quality act resource. Worry sea heavy avoid occur radio.,2021-05-04 03:46:27
c413855d-0af6-449e-b449-4c36f77da2ea,Ransomware Attack,Wi Servers,Dark true station among four. Voice picture agree oil.,2022-02-11 22:20:09
7ef0c56e-66fe-405a-8a47-f03a70cf45a2,Data Breach,Wi Servers,Interesting positive same article enter page. Produce pattern grow law.,2022-01-09 01:46:32
723da9c8-06e9-4bc7-b51d-2c3282722b02,Data Breach,Network Appliances,Learn bed prepare never. Forward draw health ahead pretty share avoid.,2021-02-11 04:20:10
66607475-7848-4675-ba39-b052c1db5899,Ransomware Attack,Wi Servers,Civil goal carry camera knowledge.,2023-01-22 04:32:45
9d2b621a-5e48-4334-8fd7-7b5e90147685,Data Breach,Network Appliances,Step act hope remember. Yet air really everybody mother pressure put.,2023-04-19 02:20:45
18e26b9d-94e9-4f9c-928e-9140366b52ca,Ransomware Attack,Network Appliances,Claim guy mouth north they laugh. Issue this consider score. Out example buy investment after usually.,2023-07-26 22:29:12
6332c405-0310-49d8-ad9c-dc7ef001b55b,Data Breach,Network Appliances,Middle drive positive total. Sell base fly prove sea.,2020-02-07 18:50:10
18e568b9-8180-4974-bf11-aefadbb17e16,Ransomware Attack,Network Appliances,Difference event nor staff ever sometimes build and. Through answer modern. High attention serve health nation. Interview night full agent many suddenly cell.,2021-03-06 07:16:14
c9fd40d2-1503-416a-950a-102e05383a80,Ransomware Attack,Wi Servers,Bad pull agency should kind personal feel. Brother test reason phone professor cause. Institution believe cause special majority.,2021-05-09 10:11:38
2e44b78c-b481-42b6-a149-0b231c33cd0d,Data Breach,Network Appliances,Send coach laugh southern page cell. Tree director offer hard anyone already. Important knowledge story federal paper building.,2023-03-06 04:58:48
20a215af-f93f-42c9-98e3-7fad239b3204,Ransomware Attack,Li Workstations,Hear investment structure air. Structure safe investment here ball. Style significant keep push peace fire little including.,2022-09-20 20:47:50
be516b9b-4a57-40ce-abce-a78596c2bdb0,Phishing Incident,Network Appliances,Produce claim customer style data least. Billion drop instead country whole. Answer baby network court.,2021-07-28 07:49:27
3c4ff0aa-3738-4357-a65c-14f748653a12,Phishing Incident,Network Appliances,Tax of source activity whatever. Of job rest college history short.,2021-11-11 03:26:24
ddfa7b99-4e11-4dae-bc82-468cebc7d813,Phishing Incident,Wi Servers,Assume strong movement loss budget window old. Instead call future other former.,2023-09-17 07:58:09
85ca8e45-30a6-4257-a3c6-335d7c7baf91,Ransomware Attack,Network Appliances,Actually realize miss author TV. Attention drop speech fall direction center. Right meeting fly relationship bar adult serve figure.,2023-09-02 20:49:37
884c565e-58bc-4e76-8b85-58996a27c986,Ransomware Attack,Li Workstations,See attention perhaps job section campaign. Movie bit everything rise and employee. Meeting career thought beat during add set ball.,2022-05-05 20:58:08
dbd1b92d-3884-4301-bc51-d94f25f7582c,Phishing Incident,Wi Servers,Last social history small international. Listen game show no those sure build arm. Care service over picture green loss your. Notice store order allow.,2021-10-31 04:50:43
8aea063c-f9fe-430b-bf46-45a207b47e6a,Phishing Incident,Network Appliances,Mention sea matter miss. Machine company west.,2023-05-16 05:36:37
5594b975-c5bb-4e73-9150-e9bf91984eb8,Ransomware Attack,Wi Servers,Ten various pull.,2021-11-08 20:47:10
6ccd599d-d11e-442e-9644-7d0532cd97f7,Phishing Incident,Wi Servers,Road product thing democratic determine across arrive. Treat believe happy. Yes before trouble PM church. Seem adult but ready may sign if.,2020-08-23 01:14:55
46f30df3-802c-4774-abc2-db88df8d4a48,Ransomware Attack,Wi Servers,And building road professional old pressure. Agree room power often.,2023-07-20 03:43:50
17188a2e-d25d-4662-8d62-cdc5f19ee86e,Data Breach,Li Workstations,Couple throughout later where style. Sea past raise determine protect each particularly. Involve left special example. Recent often civil.,2022-09-05 06:27:09
9de89142-beb0-43a6-91c8-1bf96ef50a62,Data Breach,Li Workstations,Time available leg cultural maintain camera probably.,2020-12-31 21:15:36
b096292f-4ad0-4973-881d-1d8c9e149872,Data Breach,Wi Servers,These music success certainly represent official financial. Lawyer camera color sign share present.,2022-01-28 04:57:15
a9beeb68-09a7-4efc-b122-3a5c3a1a978e,Data Breach,Li Workstations,Glass price according word responsibility. Line visit land record. Set few especially standard store free while.,2021-07-31 02:22:42
a6ec3f68-f263-4566-94e3-3e3a786a0093,Data Breach,Li Workstations,Paper serve stuff least talk size set.,2020-05-07 18:19:41
2bfeee60-ceca-4e87-b0aa-2c15e75faaf7,Data Breach,Li Workstations,Within partner address. Discuss none mind why easy prepare only. Media upon direction artist doctor.,2023-03-26 14:55:57
d03a1caa-663c-4e09-97de-5e5bbd2ead9e,Ransomware Attack,Network Appliances,Office growth husband cause budget have. Show training short. High radio weight fall quality doctor at.,2021-10-15 19:16:52
789065ee-105b-4678-a45b-a1939820548f,Phishing Incident,Network Appliances,Toward option growth sport arrive. Operation wide seat color modern edge.,2023-07-27 08:15:18
955d0e0e-491b-45f0-8a67-cd7eddbc0a43,Ransomware Attack,Wi Servers,World Mr some relate authority. Discussion without dog continue main. Born north evening PM seek.,2023-04-01 21:12:22
a25c6260-38a5-4f33-93da-5e32a7a31a2c,Phishing Incident,Network Appliances,Hope treatment common beyond. They lose much part price measure their statement.,2020-11-06 09:47:35
8c24b214-35f7-4d9f-a138-35738f2b4c4e,Ransomware Attack,Li Workstations,Describe over actually. Young do movie clear degree.,2021-11-12 00:15:28
f1e8beb8-4178-4038-8586-fe8a98a83a72,Ransomware Attack,Li Workstations,Serious tree picture. Person through finish build ready whether remain surface. Military performance statement list know. Back sort lawyer cultural win.,2022-07-07 09:10:58
a93f0aa1-6a3d-4bcd-90d5-cbcc16f3dbf3,Data Breach,Network Appliances,His movie prevent room. Least item fight teach see. So level later so heavy.,2022-12-28 20:15:56
3d3a9903-fd3c-435c-ae2f-87f6882803a4,Data Breach,Network Appliances,Because open factor recently. Happen difference picture bed stage city. Share suggest however mission model each dark region.,2021-03-03 20:20:09
2c52a0f5-873a-48b9-8b48-a57a3d71b837,Phishing Incident,Network Appliances,East into go return. Either citizen network body.,2023-09-07 09:20:03
73e573f4-72f0-4509-9c90-fb48355c216f,Data Breach,Wi Servers,New Republican fast lay history. Age couple school strong industry action make. Opportunity however walk. Case also home themselves hear point pressure part.,2022-09-18 17:03:23
46c425ab-746c-4c4b-beec-25a20d966795,Ransomware Attack,Network Appliances,Report raise fund two again near nice. Still agreement necessary herself fine step.,2020-05-16 21:50:27
