,Transportation_Method,Storage_Facility_Type,Distribution_Network_Type,Food_Waste_Metrics,Crop_Type,Soil_Texture,Soil_Health_Index,Supply_Chain_Sustainability_Index
78,Ship,Cold Storage,Global,4.948400343696466,Beans,Sandy loam,82.22804000422654,6.354413591476357
79,Rail,Cold Storage,Local,3.2446008497406975,Rice,Sandy clay,38.473414332063705,2.8677712187152196
80,Ship,Cold Storage,Local,3.7497474437634692,Wheat,Silty clay loam,45.51264317674056,2.8749957173968244
81,Truck,Cold Storage,Local,2.3016731227304312,Wheat,Silt,56.57578111080713,3.4859635165985483
82,Rail,Dry Storage,Local,1.3789556591173766,Wheat,Loamy sand,55.22788835836602,7.405494325545138
83,Truck,Cold Storage,Regional,4.9034834511341465,Wheat,Silty clay loam,57.42236613236482,6.456394571791345
84,Truck,Dry Storage,Local,2.145036141532733,Beans,Loam,85.54648852482272,8.611863815060241
85,Rail,Cold Storage,Regional,2.695232740694297,Wheat,Silty clay,52.69080820735212,3.6609271465878837
86,Ship,Dry Storage,Local,3.5994556868103, Millet,Clay loam,65.13287262818653,9.208612538994865
87,Truck,Dry Storage,Global,1.0987891907444451, Millet,Sandy clay,73.67349230005276,7.693355457850226
88,Rail,Dry Storage,Regional,4.241036522069148, Millet,Sandy clay loam,46.252498512852355,4.555105030123273
89,Truck,Dry Storage,Regional,3.146312760114481,Rice,Clayey,80.30867710032771,1.8573585906291032
90,Truck,Cold Storage,Regional,2.1128687482752886,Maize,Silty clay,68.29779238167967,3.3128529623873426
91,Truck,Cold Storage,Regional,1.246431941169877,Beans,Sandy loam,61.274681412196465,9.610913954933652
92,Truck,Dry Storage,Global,1.6499936618977658, Millet,Clay loam,86.68488187168197,3.793270382956714
93,Ship,Cold Storage,Local,4.580135435413748, Millet,Loam,47.04466814296274,3.96910864134158
94,Truck,Cold Storage,Regional,3.744096895743564,Wheat,Loamy sand,91.82231794300262,2.706300379879453
95,Truck,Dry Storage,Global,1.9996068865475594, Millet,Silty clay,69.27341147566926,8.261655410248888
96,Truck,Cold Storage,Regional,1.2624030597801181,Wheat,Silt loam,72.64224155657607,3.4807980721804963
97,Ship,Cold Storage,Local,3.7624612495465453,Wheat,Sand,91.254127491826,3.972324235319701
98,Truck,Cold Storage,Regional,3.2896309038710605,Maize,Clay loam,87.23078814945352,4.72913297588464
99,Truck,Dry Storage,Global,2.61807809783294,Rice,Clay loam,72.10934481753301,4.903554517971488
100,Ship,Cold Storage,Local,2.4544457967602553,Wheat,Sandy loam,82.72313926937218,4.702067113735195
101,Ship,Dry Storage,Global,1.8672571037164332,Wheat,Sand,60.33236431630278,5.5336932583725575
102,Ship,Cold Storage,Local,3.6784450261500705,Maize,Loam,68.31644274498224,8.330615916547629
103,Truck,Cold Storage,Local,4.8826721111754825,Wheat,Silty clay loam,34.34490956959578,8.373565366678198
104,Ship,Cold Storage,Local,1.7028609833473034,Beans,Silty clay loam,36.29005426000328,8.184818203870122
105,Ship,Dry Storage,Regional,3.3884664800620135,Rice,Sand,88.05977829304325,1.9101235520483875
106,Truck,Dry Storage,Global,2.696740222983905,Beans,Silty clay,34.177015897774766,8.197109229473327
107,Ship,Cold Storage,Global,2.7867548869786596, Millet,Sandy clay loam,41.85793879428251,2.082265961379191
108,Truck,Dry Storage,Global,2.0165891205112576,Rice,Silt,85.70828612653091,2.1225139304703218
109,Rail,Cold Storage,Local,4.300539502645677, Millet,Sandy clay loam,30.08021654397794,9.530764944714647
110,Ship,Dry Storage,Regional,2.9410224165889645,Wheat,Sandy clay loam,49.76830301921051,8.374580602349873
111,Rail,Dry Storage,Local,3.1736234087930564,Maize,Clay loam,70.88270604786352,5.9716942018120776
112,Truck,Cold Storage,Global,2.219043651189303,Beans,Clay loam,71.68149520285075,8.87473184030076
113,Ship,Cold Storage,Regional,1.727233862667799, Millet,Sandy clay,84.40070357606315,9.904281782966766
114,Truck,Cold Storage,Regional,1.343641552811282,Wheat,Silty clay,65.41483781445193,6.495778599685998
115,Rail,Cold Storage,Regional,3.8564765636996636,Beans,Loamy sand,65.65813086716793,6.516085932833662
116,Truck,Dry Storage,Global,1.7849371267514225,Beans,Clayey,80.77174028784903,7.789843262439351
117,Ship,Dry Storage,Regional,3.760301416755191, Millet,Clayey,64.90371242863985,3.089250571287995
118,Ship,Dry Storage,Regional,2.5615057841878155,Wheat,Clayey,72.59437605945317,2.504123753669194
119,Rail,Cold Storage,Local,2.663099203958606,Maize,Loam,92.84418477785357,7.836226750135653
120,Truck,Cold Storage,Local,2.876709984371087, Millet,Loam,58.101570532866035,4.104143154946921
121,Ship,Dry Storage,Regional,2.4708340325101728,Beans,Silty clay,56.95875496434556,2.215633206753406
122,Rail,Cold Storage,Regional,1.4024799088903603,Beans,Sandy clay,30.248429430533992,3.833899533259748
123,Ship,Dry Storage,Local,2.238527240011383,Rice,Clayey,72.93983830648624,4.2277318108711786
124,Ship,Dry Storage,Local,3.6549374427757537,Wheat,Clay loam,32.08403351849924,9.687048935551216
125,Truck,Dry Storage,Local,3.663137605875484,Rice,Sandy loam,65.29039428098214,7.281637399791309
126,Ship,Dry Storage,Global,2.1448972289599775,Maize,Clayey,86.29636523225587,5.7777068565976055
127,Truck,Dry Storage,Global,2.840410506230752, Millet,Clayey,68.49447493637642,9.719858248143444
128,Ship,Cold Storage,Local,1.77378891204775,Beans,Sandy loam,48.87453156516732,9.128257664267625
129,Rail,Cold Storage,Regional,1.841488326119343,Wheat,Loamy sand,85.03178950145599,5.608007709527437
130,Ship,Cold Storage,Local,1.0921883536264296,Beans,Sand,48.880190285777715,9.151116718392826
131,Truck,Dry Storage,Global,4.586986199630978,Rice,Clay loam,81.31222466621291,4.638741922563909
132,Truck,Dry Storage,Regional,1.8428266602996248,Rice,Silty clay loam,72.71809186331619,3.0737859882096217
133,Rail,Dry Storage,Global,1.9101355077458533, Millet,Silty clay loam,41.89974077236008,3.094103591398766
134,Ship,Dry Storage,Regional,2.1184057305805273,Wheat,Silty clay,93.35937123909301,6.96083971997914
135,Ship,Cold Storage,Global,1.509632286781716,Wheat,Clay loam,44.0450578070037,5.509632886365494
136,Rail,Cold Storage,Regional,3.5570515327254513, Millet,Silt loam,99.27109518984689,6.930557623049021
137,Ship,Dry Storage,Regional,1.3005718127103463,Rice,Sand,30.511734205845855,7.1746836783595285
138,Ship,Dry Storage,Regional,1.536809705305401,Rice,Silty clay loam,48.443836400003214,1.2009058560794585
139,Truck,Dry Storage,Regional,3.5790269063603715,Rice,Silt,43.99022080919392,1.486356331131121
140,Ship,Cold Storage,Global,2.358642481925771,Beans,Clayey,30.979538711932385,5.794099539321249
141,Ship,Cold Storage,Global,3.831791306804756,Maize,Sandy clay loam,81.2657530103121,2.7193192998406923
142,Rail,Cold Storage,Regional,3.229698978680568,Rice,Clay loam,78.53980614697173,6.692803919239957
143,Rail,Dry Storage,Regional,2.0240846922460523,Maize,Silt loam,85.46456750484514,5.969671652535832
144,Truck,Dry Storage,Global,3.6033118019573123,Maize,Silt,47.968898252519566,6.271843225338021
145,Ship,Cold Storage,Regional,1.4650947211715226,Wheat,Clayey,61.103461695807894,3.722098418479096
146,Ship,Dry Storage,Regional,3.1456415323201217, Millet,Sandy clay loam,76.13794651350833,6.75859155650107
147,Ship,Cold Storage,Regional,2.7485924201801386,Beans,Sandy clay loam,60.78379527217005,8.465433728365207
148,Truck,Dry Storage,Local,2.071494331269763,Maize,Loamy sand,78.8128039222541,9.982641282330134
149,Truck,Cold Storage,Regional,3.4160199909580005,Beans,Silty clay,74.37813859083096,8.545999475549928
150,Rail,Dry Storage,Local,4.48533436936113,Wheat,Clayey,38.02534621155235,6.017488837119527
151,Truck,Cold Storage,Regional,4.995618799052307,Rice,Sand,84.67301847538776,2.740866325119609
152,Ship,Cold Storage,Global,3.431051074973698,Maize,Clay loam,80.44734513647629,7.133012885078388
153,Ship,Cold Storage,Local,2.6188234973166806, Millet,Silt loam,75.90840713321838,9.438884070021803
154,Truck,Cold Storage,Local,1.9008284008648064,Wheat,Sandy clay,40.85655243897016,2.9067988575907218
155,Ship,Cold Storage,Regional,2.028384357580447,Beans,Loamy sand,48.75975141567545,3.303960584739194
156,Ship,Cold Storage,Regional,2.9178199125990627,Rice,Sandy loam,57.52239221113203,2.3410768907048602
157,Truck,Dry Storage,Local,2.469110805122837,Beans,Silt,49.59507351595104,7.630494792637615
158,Truck,Dry Storage,Global,4.6552580904997765, Millet,Sandy clay,45.946720347329205,4.659053530812933
159,Ship,Dry Storage,Global,2.473181870622838,Maize,Silt,86.3750369113243,1.5642607499774566
160,Ship,Cold Storage,Regional,2.493778364581742, Millet,Clay loam,74.67625724521417,8.874549923412522
161,Ship,Cold Storage,Global,2.534138049735908,Beans,Silt loam,69.58304920851752,6.0190471423231
162,Rail,Dry Storage,Global,4.346480841470632,Beans,Silt loam,45.81668975972777,3.979848628003202
163,Rail,Cold Storage,Regional,3.6031532833876074, Millet,Sandy clay loam,94.26535935880489,4.095846784549872
164,Rail,Cold Storage,Global,3.4566754012755707, Millet,Sandy clay,43.38281273681214,3.612260981718161
165,Truck,Cold Storage,Regional,2.3365720895354487, Millet,Silt loam,85.64656529772739,5.099321551533777
166,Rail,Cold Storage,Local,4.271616707329757,Rice,Silty clay loam,97.66708666937052,4.033375196393305
167,Truck,Cold Storage,Regional,1.1534554454228045,Beans,Silt,80.89649104569652,5.931516736635484
168,Truck,Dry Storage,Local,4.483188689352453,Wheat,Sandy clay loam,99.50011426292409,7.961655270441648
169,Rail,Dry Storage,Local,3.0509995991757184,Rice,Clayey,75.57357818845627,7.070151550999362
170,Rail,Dry Storage,Global,2.5930009394536513,Rice,Clay loam,45.22222405227265,3.650112034787054
171,Rail,Dry Storage,Global,2.9886691228707427,Rice,Silt loam,44.26736456015579,5.758669103858013
172,Ship,Dry Storage,Global,3.6696621221353243,Wheat,Silty clay,52.719499897883345,8.561135439210258
173,Rail,Cold Storage,Regional,1.0510617060715894, Millet,Loam,30.499101415470424,1.6138561126845292
174,Ship,Cold Storage,Global,4.4862074258329905,Beans,Clayey,77.71889290579841,1.7046754028821427
175,Truck,Cold Storage,Local,2.7869581012455713,Maize,Clay loam,48.80674492394793,6.005530612447781
176,Ship,Cold Storage,Global,2.3718660788003127,Maize,Clayey,87.0628262604927,6.752036155508229
177,Rail,Dry Storage,Global,1.5529822625362284,Beans,Sandy clay,55.14208553915102,2.902717141983137
178,Truck,Dry Storage,Regional,2.7578614974337685,Wheat,Silty clay loam,63.59695454243189,7.706981140223663
179,Truck,Dry Storage,Regional,2.9852910851375154,Maize,Sand,97.59822415922585,6.816370393366547
180,Truck,Cold Storage,Local,2.614586777973911,Rice,Sandy loam,46.9520486133094,9.309603414126578
181,Ship,Dry Storage,Regional,3.7146403753075883,Maize,Clayey,80.48778682008177,2.5205878167268305
182,Rail,Cold Storage,Global,2.683586115036904,Beans,Loam,82.8582452513792,7.762368388222096
183,Truck,Dry Storage,Regional,4.845670311386293,Rice,Sandy clay loam,45.46987102665446,1.7527878152494032
184,Truck,Dry Storage,Local,3.3971100712943674,Maize,Silt,65.06977856285368,6.087631685661077
185,Truck,Cold Storage,Global,4.229911742607635,Beans,Sandy clay,54.514134771907784,5.967056255492312
186,Ship,Cold Storage,Local,1.4374236124379154,Wheat,Sandy clay,84.03343703800624,4.495465401820665
187,Ship,Dry Storage,Regional,2.589165171783623,Beans,Silty clay,73.57383233203262,8.601140329017106
188,Rail,Dry Storage,Regional,2.347390805788611,Wheat,Sand,63.31881384023829,1.0393358030741102
189,Ship,Cold Storage,Local,3.277929552546367,Rice,Loam,84.55542855334028,5.681614617086686
190,Truck,Dry Storage,Global,4.444454080245702,Beans,Silt,46.460889900589194,2.9543819485166867
191,Rail,Dry Storage,Regional,1.3133528710480267, Millet,Sandy loam,82.75353164090514,7.691487572047896
192,Truck,Cold Storage,Regional,1.2902991921788431, Millet,Loamy sand,90.5762018464977,1.3876068367548746
193,Truck,Dry Storage,Global,4.401270832630395, Millet,Loamy sand,91.50351177653008,8.483992193634199
194,Ship,Cold Storage,Regional,1.8514003441534297, Millet,Sandy clay,84.85715151137227,8.542830040362563
195,Rail,Dry Storage,Local,3.675013017799255, Millet,Clayey,58.56099168987881,8.495794111631525
196,Ship,Cold Storage,Regional,3.1715125294432207,Wheat,Clayey,98.72656159024788,2.3731167405940288
197,Ship,Dry Storage,Regional,4.331574379548918,Beans,Loam,56.57155506757079,6.673658667049404
198,Rail,Cold Storage,Global,1.5003556393456141,Rice,Sand,74.7037779371698,1.1293062326505066
199,Truck,Dry Storage,Local,1.519131862890445, Millet,Sandy clay,41.275192464862805,8.631663321602797
200,Truck,Cold Storage,Global,3.2272734411132302, Millet,Loamy sand,98.63142290454749,7.506776741577585
201,Rail,Dry Storage,Regional,4.785514613433484,Rice,Sandy clay,79.27901453052642,5.780383578093274
202,Truck,Dry Storage,Regional,2.659991033483017,Rice,Loamy sand,82.73642816724578,7.575322897869554
203,Rail,Dry Storage,Global,2.30776840101878, Millet,Loam,34.60436923878012,1.84891686986595
204,Rail,Dry Storage,Global,3.4267572927915433,Wheat,Loam,83.43924699544702,5.757902489591706
205,Ship,Dry Storage,Global,4.721794402180125,Rice,Sand,84.2306400454421,3.6214884263480087
206,Rail,Dry Storage,Local,4.347711331378495,Beans,Sandy clay loam,77.02409084535608,9.753575169006757
207,Ship,Dry Storage,Regional,4.98193444293288,Beans,Sandy clay loam,50.43367296532405,8.714061555615116
208,Truck,Dry Storage,Global,1.0902743328095084,Wheat,Sandy clay,64.27830295126171,7.599481262505792
209,Truck,Dry Storage,Regional,1.451432578851049,Maize,Silty clay,37.730405991610155,9.403728717247587
210,Truck,Cold Storage,Local,3.437871053466488,Wheat,Sandy clay,63.011094652140685,4.121589741089264
211,Truck,Cold Storage,Local,4.282305757335399, Millet,Sandy clay,47.06766968202834,9.107919090893631
212,Ship,Dry Storage,Local,2.140977369227066,Maize,Sand,54.436789054585745,3.927144088960393
213,Truck,Cold Storage,Local,1.956844352136875, Millet,Silty clay,41.382028588258905,7.595170477220377
214,Rail,Dry Storage,Regional,4.147903197524803,Beans,Clay loam,46.10380574228279,7.627752205988042
215,Rail,Dry Storage,Local,1.2255274154129263,Rice,Sandy clay,35.359804927408135,1.1651488880868413
216,Rail,Cold Storage,Local,2.4775305903303404, Millet,Sandy clay loam,94.3930956505845,4.249537284503757
217,Ship,Dry Storage,Global,3.023236890369319,Beans,Sandy clay loam,67.12874815827823,1.174894051676481
218,Truck,Dry Storage,Local,3.2413946974012937,Wheat,Silty clay,57.77193798839178,9.973828158492237
219,Truck,Cold Storage,Global,3.9144606271711075, Millet,Silt,67.45204489381487,2.099770856463142
220,Truck,Cold Storage,Local,2.419382893722633,Beans,Clayey,73.98052599370868,5.885298060832985
221,Ship,Dry Storage,Local,3.450737378698429,Rice,Loam,94.53151553585444,8.115006148863735
222,Rail,Cold Storage,Global,3.3415016911638253, Millet,Silty clay,42.50850666004193,2.8113724203480324
223,Rail,Cold Storage,Local,3.1904644026149884,Beans,Clay loam,50.68867490446523,5.365474012859254
224,Truck,Dry Storage,Regional,3.561933172568849, Millet,Loamy sand,98.30525354408803,6.466858848290357
225,Rail,Cold Storage,Regional,2.037796684272305,Rice,Sandy clay loam,55.98350906539671,2.4418427895599084
226,Rail,Cold Storage,Local,1.338595014338516, Millet,Sandy loam,31.579315553012933,8.006999139203847
227,Ship,Dry Storage,Regional,1.4770866881589737, Millet,Sandy loam,40.33504448460111,3.6940281147042877
228,Ship,Cold Storage,Global,1.8983295306156043,Beans,Sandy clay loam,31.843709122398643,2.8992076870495627
229,Ship,Cold Storage,Local,3.000791742091141,Maize,Clayey,99.29461996945099,6.024598717936752
230,Ship,Dry Storage,Local,4.3617710021840805, Millet,Sandy loam,49.52095942938561,4.692822648786441
231,Truck,Dry Storage,Global,3.8051733683535365,Maize,Silt loam,94.64799298553582,9.28257350172776
232,Ship,Dry Storage,Global,4.156162416808188,Wheat,Clay loam,99.7120393031801,8.920564283783385
233,Rail,Cold Storage,Global,2.4039024957043655, Millet,Loam,71.988885480018,5.350155970499949
234,Truck,Dry Storage,Local,2.6186149665942007,Maize,Sandy clay loam,32.323742054589324,4.233373972530378
235,Rail,Dry Storage,Global,2.5747275439624513,Wheat,Sandy clay loam,35.711414127084886,3.929661834681387
236,Rail,Cold Storage,Global,1.767492737618006,Beans,Loamy sand,63.71123385755144,3.4080726077335664
237,Rail,Dry Storage,Regional,1.244866632574288, Millet,Clay loam,58.43204090380402,5.900930683412295
238,Ship,Dry Storage,Regional,3.363664371308907,Beans,Sandy clay,72.43241140472374,8.244807442610892
239,Ship,Dry Storage,Local,4.956866733682345,Wheat,Clayey,60.71934667979548,3.79680947383202
240,Truck,Dry Storage,Regional,1.6673188198010513,Beans,Sandy clay,95.3853794490039,2.7108468071927336
241,Truck,Cold Storage,Regional,1.186739279597095,Beans,Silty clay loam,67.43178007894578,5.279354255649581
242,Ship,Dry Storage,Global,4.118126727295731,Rice,Silt,78.56082430237095,1.6213097511789987
243,Rail,Dry Storage,Global,2.010344026738897,Wheat,Silt loam,92.75396908497476,7.311511055167362
244,Truck,Cold Storage,Regional,4.318575221411713,Beans,Sand,40.281031308324515,5.665224396717402
245,Ship,Dry Storage,Regional,3.8157466681380616,Maize,Sand,46.081425788297,5.4673732717556875
246,Ship,Cold Storage,Regional,4.782694148203218,Wheat,Silty clay loam,37.51230623318105,3.7040084159502022
247,Ship,Cold Storage,Local,2.635708943026688,Rice,Loam,39.77468794609386,9.14206093778563
248,Rail,Cold Storage,Local,3.6478793578025366, Millet,Sand,65.88087768539631,1.8143766266459744
249,Ship,Dry Storage,Local,2.859419123253083,Beans,Silty clay,52.48254812772248,8.828416079983281
250,Ship,Cold Storage,Regional,3.522354789234174,Maize,Sandy clay,59.62209876687284,4.390346821743304
251,Ship,Cold Storage,Regional,2.7983956240309493,Rice,Clayey,98.77428822558433,8.925611643775202
252,Ship,Cold Storage,Local,1.7545289856962993,Wheat,Sandy loam,40.96930434571637,7.558853124991453
253,Truck,Dry Storage,Local,3.0315896640135236,Beans,Silt,67.85684495586528,1.9375365399583449
254,Truck,Dry Storage,Regional,3.1143368057497693,Rice,Silty clay,36.920980853755566,8.483826578584182
255,Ship,Dry Storage,Global,4.242415393040645,Rice,Silty clay,52.2947419284715,7.139591503295546
256,Rail,Dry Storage,Local,3.942082823174325,Maize,Clay loam,66.92681465722191,1.2907172162381362
257,Truck,Dry Storage,Regional,3.6551664957657763, Millet,Sandy clay,96.26422221757365,2.2033241389870297
258,Ship,Dry Storage,Regional,1.4535483822102901, Millet,Loamy sand,57.38597548984381,6.720652502521256
259,Truck,Dry Storage,Global,3.88246516265486, Millet,Clay loam,34.54346873502689,6.963404525922565
260,Truck,Cold Storage,Regional,3.001220625418059,Wheat,Sand,57.171301357222184,7.7198628955383555
261,Rail,Cold Storage,Regional,4.576398144424637,Rice,Silty clay,40.20188231117844,7.482208606974837
262,Ship,Cold Storage,Local,4.679483736522171,Wheat,Loamy sand,46.09927293040117,6.935679592029595
263,Ship,Cold Storage,Local,1.2206263624071418,Rice,Clay loam,73.26634362154934,7.896150115717803
264,Rail,Dry Storage,Global,4.282566241417915,Maize,Sandy clay loam,34.71967063425772,6.175771353031355
265,Rail,Cold Storage,Global,1.1507895616906825,Maize,Silt loam,62.53066293750262,3.347122469720094
266,Ship,Cold Storage,Regional,2.4686785027800906,Wheat,Sandy clay,72.6623110207535,9.211389523576464
267,Ship,Cold Storage,Local,3.1691999024843165,Wheat,Loamy sand,59.53008746572478,1.1639262783878013
