,Sensor_Type,Satellite_Imagery_Index,IoT_Device_Type,Crop_Type,Crop_Rotation_Practice,Average_Temperature_Celsius,Rainfall_mm,Soil_PH,Yield_Monitoring
78,Nutrient,EVI,Drone,Soybean,No,12.147222369013356,65.13332031587885,6.682902960314893,7.103613640708598
79,Temperature,EVI,Weather Station,Corn,No,12.912574770509028,140.83554108408953,6.574535152478482,5.170451372796878
80,Nutrient,NDVI,Soil Sensor,Soybean,Yes,10.668759711221954,151.98093109207622,4.974868528670105,4.9388712825198
81,Moisture,EVI,Drone,Cotton,No,19.404981706575086,146.439681224114,4.089379735065165,8.69920776204495
82,Temperature,NDVI,Soil Sensor,Soybean,No,29.08895389705977,179.1695364567172,7.234861587541759,1.451519591488198
83,Moisture,NDVI,Soil Sensor,Corn,Yes,12.31350447296233,122.96387525391076,5.9645541427833075,8.937661850486815
84,Moisture,EVI,Drone,Cotton,Yes,28.92528986006164,70.16855611505966,5.227352522810474,8.668628540457012
85,Temperature,EVI,Soil Sensor,Cotton,No,24.667230294641872,93.4107696056619,4.407727627122281,5.557296282056102
86,Nutrient,NDVI,Drone,Soybean,Yes,22.749976058683263,149.36449601320277,4.250886363605554,5.411825687850654
87,Moisture,EVI,Soil Sensor,Soybean,No,22.905555106471258,141.96829606123399,5.395466887180709,4.256266312319411
88,Temperature,EVI,Drone,Corn,No,26.53455296792564,129.65046946144437,7.218948259067762,9.94756412513561
89,Moisture,EVI,Drone,Cotton,Yes,12.138397287596428,152.44466280330306,7.674894997335322,2.000523994784571
90,Moisture,LAI,Weather Station,Corn,Yes,20.095086471310836,145.6086275559949,7.587005458452259,6.311937120657463
91,Moisture,NDVI,Drone,Soybean,No,23.94182276521517,182.19873341974275,7.6800033389986195,7.135134311011753
92,Moisture,LAI,Drone,Cotton,Yes,21.736408901471272,137.90245662174448,7.630901372517371,9.4089700739525
93,Nutrient,EVI,Soil Sensor,Corn,No,26.655581420465893,166.79020380508348,6.108899006401583,8.021831471710854
94,Moisture,LAI,Drone,Corn,No,11.44543418022703,87.30607339497018,4.877662554227616,6.794624825303922
95,Moisture,EVI,Weather Station,Corn,No,23.814020789983317,151.72738768836018,7.192186331347282,2.051310851309104
96,Moisture,LAI,Soil Sensor,Corn,Yes,20.680554607694354,185.32911775740135,4.854851899410316,4.363601651483206
97,Nutrient,EVI,Soil Sensor,Corn,No,17.58321727959887,107.85984918497499,5.068829107026277,2.2495747829318673
98,Moisture,LAI,Weather Station,Cotton,No,16.805499644680616,166.86562810079698,4.933017287290194,8.930914592189623
99,Moisture,LAI,Soil Sensor,Corn,No,22.41665265548386,158.7183951793153,6.059929614783224,7.746590400072787
100,Nutrient,LAI,Soil Sensor,Cotton,Yes,27.819907492885296,58.928929530773374,5.28731003267632,7.817831081175063
101,Nutrient,NDVI,Soil Sensor,Corn,No,19.923518522022306,137.22624644361085,4.616624198501366,6.870308659961897
102,Nutrient,LAI,Soil Sensor,Soybean,No,26.4944632815384,69.52840238012035,5.8126936475755295,5.563391832430387
103,Moisture,NDVI,Weather Station,Soybean,No,18.04312763687935,195.09787583458868,7.495628955140668,2.3497395351714747
104,Nutrient,EVI,Weather Station,Corn,Yes,12.04788925586353,171.71112540509841,6.282211419799889,3.9672539803454656
105,Nutrient,LAI,Soil Sensor,Soybean,No,11.23011472917277,66.45857018706802,7.513342423550348,2.232242132292015
106,Moisture,EVI,Soil Sensor,Cotton,No,11.02668742647355,68.26279964715177,4.78348874031655,7.524218285671089
107,Nutrient,EVI,Weather Station,Corn,Yes,17.603002839153397,139.17107823689284,4.667895494690216,2.442058984198045
108,Moisture,LAI,Weather Station,Cotton,Yes,16.74475501671684,101.7333761259775,6.3023085027936805,7.31902195154517
109,Temperature,NDVI,Weather Station,Corn,No,24.35874047245139,55.235878860966395,5.853315606185092,7.230298506363143
110,Nutrient,LAI,Soil Sensor,Soybean,No,24.856430031697315,131.24622617495797,6.6406905665878275,5.1337403109216
111,Temperature,EVI,Soil Sensor,Cotton,No,11.017079376674797,108.17676495287704,7.178507164107126,2.2170578870624706
112,Moisture,EVI,Drone,Soybean,Yes,14.4224652577803,65.1614738557614,7.005229182608706,3.8332074352063303
113,Nutrient,LAI,Weather Station,Soybean,Yes,15.485237003177994,170.2880588383974,7.769044694634244,3.8808379816799627
114,Moisture,NDVI,Soil Sensor,Corn,No,20.952239682856188,187.2615147918209,5.593025636628046,7.303466198289641
115,Temperature,NDVI,Weather Station,Cotton,Yes,12.890304478139004,163.48909010211952,4.8255469689927235,2.023687174723519
116,Moisture,EVI,Soil Sensor,Soybean,No,12.678824388000008,173.3633465024416,6.203650559791543,8.461617815944816
117,Nutrient,EVI,Weather Station,Corn,No,28.875777784159162,82.4735850899176,4.442972480764743,7.849065611673225
118,Nutrient,NDVI,Soil Sensor,Corn,Yes,26.08405814595562,89.53594263779016,5.155404493326525,2.6767622635684654
119,Temperature,LAI,Drone,Corn,No,13.613098041823406,81.27913104487817,4.831552221052577,7.472479436010005
120,Moisture,EVI,Drone,Soybean,Yes,18.131356158109817,164.7595147048346,5.586254867188323,7.016618633210396
121,Nutrient,NDVI,Weather Station,Corn,Yes,17.112439985151312,192.18756184017457,4.4448663000088615,7.7330872009983365
122,Temperature,EVI,Soil Sensor,Cotton,No,25.820081481308144,157.52558101008538,4.127366978192391,2.70035699903825
123,Nutrient,LAI,Soil Sensor,Cotton,Yes,20.204258329562442,182.2200147319334,6.627176018520127,2.4183128994082175
124,Nutrient,NDVI,Weather Station,Soybean,No,12.55699473986934,145.8048642324759,6.440995913159219,3.128355873304788
125,Moisture,EVI,Soil Sensor,Cotton,Yes,24.77984126312488,108.14898508381987,6.833435744154645,4.292845328340781
126,Nutrient,LAI,Weather Station,Corn,No,17.93775956449838,113.86424223954577,6.641545761085376,8.142984829322211
127,Moisture,EVI,Soil Sensor,Soybean,No,15.258484952642942,61.298214825110726,4.457178724569534,7.64131543730965
128,Nutrient,LAI,Weather Station,Corn,No,17.5099724404144,54.71857928690391,5.164315525502586,9.329064330506798
129,Temperature,LAI,Soil Sensor,Soybean,Yes,19.955131272137926,154.3213406283616,4.518106439601409,1.527666031887539
130,Nutrient,NDVI,Weather Station,Soybean,No,16.86231032834019,115.7643338016771,7.371889608194253,1.1040065291276704
131,Moisture,LAI,Soil Sensor,Corn,Yes,14.838115451835156,132.83226020819444,6.987614621422093,7.292249467307192
132,Moisture,EVI,Drone,Cotton,Yes,17.970040576079604,133.64918714336244,4.80610801167297,3.513587462147491
133,Temperature,LAI,Soil Sensor,Cotton,Yes,10.383458214997965,91.60637199999522,5.365236961959574,4.006710059804358
134,Nutrient,LAI,Weather Station,Soybean,Yes,25.44995692192628,121.3838766244236,7.866459969056857,5.92121823323061
135,Nutrient,NDVI,Drone,Corn,Yes,13.418897871351716,120.61403325015534,6.376637431518606,1.9217181081411865
136,Temperature,LAI,Soil Sensor,Corn,No,10.878092272612745,108.26408318417856,7.204622389204629,6.784249748932448
137,Nutrient,LAI,Drone,Soybean,Yes,23.073973858101585,173.10130751016058,5.058364139074916,3.926327016080352
138,Nutrient,EVI,Soil Sensor,Cotton,No,25.478722576473444,117.67460055313938,4.840211680717221,6.694436118708925
139,Moisture,NDVI,Drone,Corn,No,26.276582631856865,140.5466786758982,7.135667715386194,8.506062217660473
140,Nutrient,NDVI,Weather Station,Cotton,Yes,19.870183653212,184.3280180571239,6.7434898209257605,2.540002000036867
141,Nutrient,NDVI,Soil Sensor,Cotton,No,14.107363693799705,179.93504342883838,6.723911716847055,9.377857836230682
142,Temperature,LAI,Soil Sensor,Soybean,No,24.744553544996535,183.56333056687478,6.210538327316776,5.776193269561994
143,Temperature,NDVI,Weather Station,Soybean,Yes,23.994261543086743,90.5007494697521,6.254313371106195,9.306349886565716
144,Moisture,LAI,Drone,Cotton,No,14.925414682063465,55.24737324620943,6.942790021225015,2.869570739816003
145,Nutrient,LAI,Weather Station,Corn,Yes,28.06815511725586,89.16001998429938,5.080009924484781,6.4410639814381385
146,Nutrient,EVI,Weather Station,Corn,Yes,12.08742916165658,91.80610184310629,5.4110738634278235,4.634984055912442
147,Nutrient,EVI,Drone,Soybean,Yes,29.653764791826514,186.4040490087452,7.48654708208022,7.967999720404119
148,Moisture,EVI,Weather Station,Cotton,No,27.20495621954929,147.3864099256956,5.235460804048631,6.453180488919667
149,Moisture,EVI,Soil Sensor,Corn,No,23.757972909581504,62.255593940334315,6.185238285517196,5.450639112624866
150,Temperature,EVI,Soil Sensor,Corn,No,28.77499776559666,70.30678940166517,6.810557856026737,9.216868657879077
151,Moisture,LAI,Soil Sensor,Soybean,No,24.446223366474158,73.35141883129631,7.9996993073327065,4.394053577545122
152,Nutrient,LAI,Weather Station,Cotton,Yes,13.809139940600918,144.56326222533846,5.741165325981328,2.9798218440836335
153,Nutrient,NDVI,Soil Sensor,Corn,Yes,18.843122762256236,160.31210382605047,5.712371506499775,6.472910681668825
154,Moisture,LAI,Soil Sensor,Soybean,No,11.430060486632707,178.9465865848094,7.37035351773467,6.616255934555324
155,Nutrient,LAI,Soil Sensor,Corn,Yes,17.793148445762306,191.09548262093645,7.222012445039454,4.951851594146879
156,Nutrient,EVI,Soil Sensor,Corn,No,24.832060394744175,80.25568360796626,6.9243035269381945,5.379490393204441
157,Moisture,LAI,Soil Sensor,Corn,Yes,17.72886701861635,96.46587270860735,5.852918549636115,9.6359807286991
158,Moisture,EVI,Soil Sensor,Soybean,Yes,16.605883509362684,86.0484321117246,5.295756480642863,7.5941712225712115
159,Nutrient,NDVI,Weather Station,Cotton,Yes,21.907114450206237,103.81423511992065,6.434921930339394,1.995415763343193
160,Nutrient,NDVI,Soil Sensor,Soybean,Yes,27.4440905799779,187.19976611356242,7.504893172526564,2.9091706378354987
161,Nutrient,LAI,Soil Sensor,Cotton,Yes,10.951663850922248,136.26688504090424,7.535109832834346,9.78018970992003
162,Temperature,NDVI,Drone,Corn,No,17.70940869399471,160.72878459867485,4.433993380281754,7.538189984141781
163,Temperature,LAI,Weather Station,Cotton,No,13.164814836305254,123.5178854190173,5.713401135252603,9.23540613530188
164,Temperature,NDVI,Weather Station,Corn,Yes,23.907085014637392,54.32868700041868,5.858887824794998,3.7347531758984984
165,Moisture,EVI,Weather Station,Corn,No,12.114491208622697,59.62932289967215,7.910461470095013,7.6768017407793305
166,Temperature,EVI,Weather Station,Soybean,Yes,23.29615517160489,130.68845469018288,6.7119920609703385,7.426024376711603
167,Moisture,EVI,Soil Sensor,Corn,Yes,15.723617415958147,157.81835522300383,5.628985669048282,3.6522098689543756
168,Moisture,EVI,Soil Sensor,Soybean,Yes,13.978336274744494,82.29957912930973,4.104231543942372,5.9573469290563486
169,Temperature,LAI,Drone,Cotton,Yes,28.72705115649971,158.28643609884563,6.261540640396784,6.646736001432657
170,Temperature,NDVI,Drone,Cotton,No,10.370491534919118,171.59986602252687,4.384303902553425,5.330186297447185
171,Temperature,LAI,Weather Station,Corn,Yes,18.75554543779138,111.78462175431667,7.337799829391052,8.444608359922114
172,Nutrient,EVI,Drone,Soybean,No,10.432539849235877,161.96288492661574,7.010074642281449,8.495821376181905
173,Temperature,LAI,Drone,Corn,Yes,19.67186096208658,110.60449254926898,5.842036639632715,8.65540493471401
174,Nutrient,NDVI,Weather Station,Soybean,Yes,20.020947555888363,151.752594418253,5.716843118166799,8.230812121883465
175,Moisture,LAI,Weather Station,Soybean,No,16.433249427894943,164.59955739793145,7.589355862275075,5.3927512947743015
176,Nutrient,NDVI,Drone,Soybean,Yes,12.643235550500474,198.78899274621662,5.153833401672514,4.432944683341065
177,Temperature,LAI,Soil Sensor,Cotton,Yes,17.527750754689507,101.8094993095394,4.996079848427083,8.482386553429336
178,Moisture,NDVI,Drone,Soybean,No,23.44525879865132,111.65611708619173,7.756789731303048,5.411813127006401
179,Moisture,NDVI,Drone,Cotton,No,25.647916172889182,74.8430089115257,7.236983347013931,3.217342587651837
180,Moisture,EVI,Soil Sensor,Soybean,No,20.615012047762846,80.61095876027103,7.2825023722687785,5.5660917908999465
181,Nutrient,NDVI,Soil Sensor,Cotton,Yes,21.796687888795113,154.00925038975666,4.780775257103702,2.276648397273179
182,Temperature,EVI,Weather Station,Cotton,Yes,14.012327422493055,187.55683852317142,4.573183965723738,7.22466541538919
183,Moisture,EVI,Weather Station,Cotton,No,15.746606664552989,109.19074274918609,4.104118199268539,4.023291534615157
184,Moisture,EVI,Drone,Corn,No,13.237912201047168,76.97666702533118,4.948166035674721,3.3459291860270888
185,Moisture,LAI,Soil Sensor,Soybean,Yes,14.985907000092226,92.76492490744911,7.096761966857299,9.608578716112705
186,Nutrient,LAI,Weather Station,Corn,Yes,14.497735604510636,118.25775572122079,4.960153675056599,7.991928961824769
187,Nutrient,LAI,Drone,Soybean,No,20.38897572782475,93.59754940480525,6.916413134379505,8.083625524515384
188,Temperature,LAI,Soil Sensor,Soybean,No,21.253775115814587,85.03686246827994,5.0076330614696865,6.613497723512651
189,Nutrient,NDVI,Drone,Corn,No,28.89894841643009,160.39767331356194,5.581169991802687,8.552555294592674
190,Moisture,NDVI,Weather Station,Cotton,No,13.911412942030461,51.17673818609348,7.932649159645633,7.832462330470431
191,Temperature,LAI,Weather Station,Soybean,Yes,22.833514203229917,130.88457910047248,4.979246925136542,6.388963337202549
192,Moisture,NDVI,Soil Sensor,Cotton,Yes,26.345185379750458,169.0650210544631,5.505482509193071,9.650119616665457
193,Moisture,NDVI,Drone,Corn,Yes,21.204829275661048,89.93424294762022,5.204348721860855,2.724354547159807
194,Nutrient,EVI,Soil Sensor,Cotton,Yes,15.100073050021514,140.4937265918026,4.438499945320009,9.49041747095276
195,Temperature,EVI,Weather Station,Soybean,No,15.251004600400005,150.33501584279267,5.9595765685233,4.612943457989784
196,Nutrient,EVI,Weather Station,Soybean,Yes,10.785061061419999,148.25370446076352,5.514762653332009,5.7555908506133795
197,Nutrient,EVI,Drone,Soybean,No,16.108884530969632,116.87744512980765,6.77954834322912,2.1046538758987805
198,Temperature,NDVI,Drone,Corn,Yes,24.892073580067603,101.98669818136688,7.270378187806185,5.860966950296119
199,Moisture,LAI,Drone,Soybean,Yes,10.950355144142208,175.388610954172,6.176998857982554,6.500860766723741
200,Moisture,NDVI,Soil Sensor,Corn,Yes,14.385905650096614,163.76689354997964,4.128785688349348,9.979313876276716
201,Temperature,NDVI,Drone,Cotton,No,24.124649970635637,98.18827601208687,6.475689424938887,9.776731699643738
202,Moisture,NDVI,Drone,Soybean,Yes,25.65303125645753,65.45287916633092,4.221562920083757,9.697575626868586
203,Temperature,EVI,Weather Station,Soybean,No,19.106368201238567,60.77113181682038,6.4654252943961,4.135492540918516
204,Temperature,EVI,Weather Station,Soybean,No,23.96148676957298,64.1413966848404,6.740119797076754,9.92139848870539
205,Nutrient,EVI,Drone,Cotton,Yes,17.75904337309784,137.43040417880644,4.791070510470074,5.099303364355998
206,Temperature,LAI,Drone,Soybean,No,13.19826490048255,57.749326374348456,7.277384594887084,8.666526328857104
207,Nutrient,NDVI,Weather Station,Corn,Yes,17.96298987045813,100.53903124460575,7.644340526296194,2.946879721170748
208,Moisture,LAI,Drone,Cotton,No,21.599356404062856,162.9799552871344,7.252347856455279,5.552498616909421
209,Moisture,EVI,Soil Sensor,Cotton,Yes,28.961065637057807,94.15222497730672,5.220436760848329,9.694108865148449
210,Moisture,LAI,Soil Sensor,Cotton,No,11.375019041773546,164.4962115770195,6.346572049782537,9.523282572310848
211,Moisture,NDVI,Soil Sensor,Cotton,No,20.147881876899213,161.8200557310583,7.659260596764911,7.15361390039284
212,Nutrient,NDVI,Drone,Cotton,Yes,16.57839556421449,86.87406989498245,5.2826589048914,8.18032890297754
213,Moisture,EVI,Weather Station,Corn,Yes,20.16623388553389,159.3233270139118,7.280111289061701,2.5878402694216125
214,Temperature,EVI,Drone,Cotton,Yes,10.479508947530633,162.1664957408151,4.037900525046786,7.494926945357417
215,Temperature,LAI,Drone,Soybean,Yes,16.260507094031627,109.61808885005402,4.014586811138705,6.5624572750183505
216,Temperature,EVI,Weather Station,Cotton,No,26.3973629505401,81.56307256122773,7.038846641355869,1.8239656217612148
217,Nutrient,EVI,Weather Station,Cotton,No,21.07883467709275,128.19062103378036,7.045790328508485,2.0184310593070864
218,Moisture,NDVI,Weather Station,Cotton,No,19.01164985632235,188.20963820002945,7.155908751409175,1.975992559761357
219,Moisture,EVI,Soil Sensor,Cotton,No,15.710501434306792,145.9425098648093,7.720107351552649,7.519212413468521
220,Moisture,EVI,Drone,Cotton,Yes,15.960850455827117,75.93837464408918,4.471625247281137,2.275436874228152
221,Nutrient,NDVI,Weather Station,Corn,No,17.66202867181169,152.41353871002798,4.927939939934753,5.209590440030234
222,Temperature,NDVI,Drone,Corn,Yes,26.71141419929121,114.08045409227519,7.61489968149523,4.2128362528998196
223,Temperature,LAI,Soil Sensor,Cotton,No,29.344264136165368,138.72931960330595,4.708944791089413,5.95453726693196
224,Moisture,EVI,Soil Sensor,Corn,Yes,18.77310762700749,160.10960525346619,6.728917070306336,7.3582883849746255
225,Temperature,NDVI,Weather Station,Soybean,Yes,17.867056774955238,127.24210272716672,6.121852000163262,7.162502834991988
226,Temperature,LAI,Weather Station,Cotton,Yes,26.931015516397256,172.09759618599628,4.332774707406029,5.63967924322939
227,Nutrient,LAI,Drone,Soybean,Yes,18.538106412726073,158.3233368974942,5.141054647766131,5.17901386249347
228,Nutrient,EVI,Weather Station,Soybean,Yes,21.040363445913023,142.2610010027766,6.0814888657638715,4.580340356100328
229,Nutrient,EVI,Drone,Cotton,No,14.61883329197489,72.61892237485273,7.409400466735336,8.757189534739414
230,Nutrient,LAI,Weather Station,Soybean,Yes,24.870050715581506,175.39236663673523,6.830153958458695,3.977666243853805
231,Moisture,NDVI,Drone,Soybean,No,20.63976636541564,190.3858377979724,6.487532645819732,3.3342923905074535
232,Nutrient,LAI,Drone,Soybean,No,26.18069100480683,70.54476857139423,5.984131559765659,7.6898394428974415
233,Temperature,EVI,Drone,Cotton,Yes,25.614654600573395,123.23616941501459,5.194735935256537,4.237871155270538
234,Moisture,NDVI,Drone,Cotton,No,14.300095365400571,88.83331129557567,4.476979645277044,8.622987397815416
235,Temperature,NDVI,Soil Sensor,Soybean,No,24.312711011155248,163.17849611383468,5.636304138264382,3.9509984677343026
236,Temperature,LAI,Drone,Cotton,No,26.00108815902743,158.244445400705,4.11407397564517,7.317503421171294
237,Temperature,EVI,Weather Station,Cotton,Yes,16.9221448156479,71.1327680855598,4.844223557067402,1.4059810565680249
238,Nutrient,LAI,Soil Sensor,Soybean,Yes,13.452182258045491,181.55409068924558,5.729933503490639,4.47006592099288
