,Climate_Type,Soil_Type,Irrigation_Method,Crop_Type,Pest_Control_Method,Average_Temperature_Celsius,Rainfall_mm,Soil_PH,Crop_Yield_Tons_per_Hectare
24,Tropical,Sandy,Flood,Wheat,Chemical,14.15776708209994,194.96522151264796,7.882483382747383,1.4636370334537463
25,Tropical,Sandy,Sprinkler,Maize,Chemical,26.006497188129785,104.45021749738422,6.7824912114329905,2.9909679046971056
26,Tropical,Loamy,Drip,Wheat,Chemical,22.49036030728694,59.3336258978363,7.77892051330412,3.203136157741936
27,Arctic,Clayey,Sprinkler,Rice,Chemical,19.361309208524624,184.6421012513578,5.266203197910496,4.04071416223255
28,Arctic,Clayey,Sprinkler,Rice,Chemical,14.34968707725956,55.69245953598062,5.335099169078262,1.3924304522759137
29,Arctic,Sandy,Sprinkler,Maize,Chemical,16.684927483142626,192.91488457299997,7.418898376473742,9.144034304481247
30,Temperate,Sandy,Flood,Maize,Chemical,29.19686853477037,149.686914201356,4.5994196823411775,5.640075502493457
31,Arctic,Sandy,Sprinkler,Rice,Organic,20.401798752116687,191.25338126629237,7.783711445184303,7.038377136586981
32,Temperate,Loamy,Sprinkler,Rice,Chemical,18.013985624865057,79.94895299734674,6.02989741865363,1.6045555320550808
33,Temperate,Loamy,Sprinkler,Wheat,Chemical,20.428440846966478,56.104969288071146,7.705655514334791,1.4870392102328447
34,Arctic,Sandy,Flood,Rice,Chemical,25.579770117992172,123.23149674147378,5.347171154903252,6.278209948364925
35,Temperate,Clayey,Sprinkler,Maize,Organic,16.802178730057378,117.59351218551879,6.863835616557588,8.985664094537873
36,Arctic,Clayey,Sprinkler,Rice,Chemical,13.574122418652177,99.72384098823242,5.931500487890759,5.7563380086359235
37,Arctic,Loamy,Drip,Maize,Chemical,21.698722366780956,193.64847115830463,6.507214520981892,8.900372553130644
38,Tropical,Loamy,Flood,Maize,Chemical,23.304082069621344,173.38755982421483,6.017489972556609,8.298921457497155
39,Arctic,Sandy,Sprinkler,Wheat,Organic,24.254360059170992,149.237303206339,7.868462469485445,1.6826840721542866
40,Tropical,Clayey,Drip,Wheat,Chemical,27.639751815322594,74.42874374567415,6.7684215912556684,2.817617269471209
41,Arctic,Sandy,Flood,Wheat,Organic,17.42348241378226,160.1485112327787,5.005275874505262,6.919396022398082
42,Arctic,Loamy,Flood,Wheat,Organic,11.507097924577836,159.0518682049586,7.638707687620338,4.991512442950374
43,Tropical,Clayey,Flood,Rice,Organic,29.166971672618843,113.76022604240111,5.176118952620417,3.616298322822285
44,Tropical,Clayey,Flood,Wheat,Organic,18.700238548749503,188.71788645710205,5.486420397203425,4.767704704431812
45,Arctic,Loamy,Flood,Rice,Chemical,22.465150193462627,75.04668233435157,4.4084947920808535,5.006796816435709
46,Temperate,Sandy,Flood,Wheat,Organic,23.326106462565846,90.10063436174964,7.599866079184763,9.194970257394369
47,Tropical,Sandy,Sprinkler,Wheat,Organic,20.93027417402407,59.48365088759505,5.1444480929114516,1.9311245533445773
48,Temperate,Clayey,Sprinkler,Maize,Chemical,14.105150594725401,169.31764372663812,5.035670471725529,3.517576721268535
49,Temperate,Loamy,Sprinkler,Rice,Organic,25.10286100232283,143.26390791430958,7.681050391979816,5.8380833492444255
50,Temperate,Clayey,Sprinkler,Maize,Organic,26.075039486081632,97.24104585218743,7.222107449620133,7.284582339675325
51,Tropical,Loamy,Drip,Wheat,Organic,21.059511720348794,74.5720495391473,4.564315686077498,6.6757356006331925
52,Temperate,Sandy,Sprinkler,Rice,Organic,19.77122321169683,56.022165504311054,7.077298015614723,9.47478463963655
53,Tropical,Loamy,Flood,Wheat,Organic,12.278763662559706,75.01183529389048,7.652132392215163,8.160480323375259
54,Temperate,Sandy,Sprinkler,Maize,Organic,11.679033229995676,117.99269695064874,4.314044872842976,6.0136915777698725
55,Arctic,Loamy,Sprinkler,Rice,Chemical,16.791296911270575,87.07654535159092,7.300859979618292,2.9321442250615677
56,Arctic,Clayey,Flood,Maize,Chemical,16.216923110347864,88.84732661479501,6.1896802074922235,5.057868082620159
57,Tropical,Sandy,Sprinkler,Wheat,Chemical,29.073129019265423,181.33645500015714,6.676789797515203,7.240440197750297
58,Arctic,Clayey,Sprinkler,Wheat,Chemical,25.672454848868597,127.27065101916509,5.971417355619748,8.541659573524765
59,Arctic,Clayey,Sprinkler,Wheat,Organic,23.1984859051812,159.38779596926219,6.791212339621115,9.637626019801486
60,Temperate,Sandy,Drip,Rice,Organic,20.352961780352103,55.356642354221464,4.136391446667012,6.449074895241258
61,Tropical,Sandy,Sprinkler,Maize,Organic,13.347350614533028,104.77450335170431,7.050826892893134,5.742274305739892
62,Temperate,Clayey,Flood,Maize,Chemical,29.56913344368568,121.87540210931627,4.133374791435834,1.1592273080903348
63,Temperate,Clayey,Flood,Wheat,Chemical,17.500813964804202,77.96252828152771,5.821199390989374,1.6488916223516195
64,Temperate,Clayey,Sprinkler,Maize,Organic,12.138512048944897,68.0287312168308,4.60385997252118,2.4049449787366024
65,Temperate,Clayey,Sprinkler,Rice,Organic,19.875977914314923,180.54556677497638,7.294297109405228,1.4928393807066527
66,Temperate,Sandy,Sprinkler,Wheat,Chemical,27.479960232261664,190.91474406496948,5.254643636702674,4.607769149244338
67,Temperate,Sandy,Flood,Wheat,Chemical,27.74582003554659,61.82100470681111,5.81637417841733,4.03190690624985
68,Temperate,Clayey,Flood,Wheat,Chemical,10.219318321128945,102.35280688136646,5.715002965193246,6.736187420815536
69,Tropical,Loamy,Drip,Rice,Chemical,27.725914895027994,193.74284422167105,7.090007862738826,5.820985971400624
70,Arctic,Loamy,Drip,Wheat,Organic,15.42968434999717,62.474259969869735,5.924577439183902,6.363736834490737
71,Temperate,Sandy,Drip,Wheat,Chemical,10.779447279368462,146.54620593180894,7.155833340041385,5.247794826438887
72,Temperate,Clayey,Flood,Wheat,Chemical,26.955805407257486,195.83320564505084,4.294033107210701,3.499634336988314
73,Temperate,Clayey,Drip,Wheat,Organic,27.277335119764167,196.73355028720619,4.766375871611981,9.575427834518294
74,Temperate,Sandy,Sprinkler,Maize,Organic,21.924621596847,120.68349963556149,6.206136998585443,1.7776824378412508
75,Temperate,Loamy,Sprinkler,Wheat,Organic,21.488675145927168,74.41236616735709,7.7883532990107796,9.450018995187765
76,Temperate,Loamy,Flood,Rice,Chemical,26.26240545242839,80.31264724661582,4.299031386887121,3.801142421782612
77,Arctic,Loamy,Drip,Wheat,Chemical,25.726191054205596,183.4402092686592,4.172336864627457,5.613953008305677
78,Arctic,Sandy,Sprinkler,Wheat,Chemical,27.80210946885408,186.7524506494604,4.626202699711422,1.9795809054479152
79,Temperate,Loamy,Flood,Maize,Chemical,21.05494895193407,141.18194658103323,6.564612515440626,1.6383796153390833
80,Arctic,Sandy,Drip,Wheat,Organic,29.352941854656173,164.9264599204867,5.595971666680988,4.865909038467426
81,Tropical,Sandy,Sprinkler,Maize,Organic,29.922936618666768,160.98968772056122,7.302209517670745,7.675276387417103
82,Temperate,Clayey,Drip,Rice,Chemical,12.330892199972652,149.27323969836607,4.287732605925463,3.4242829979369405
83,Tropical,Loamy,Flood,Maize,Chemical,26.99087519108244,174.09154323079088,4.785656347258804,6.06113100041788
84,Tropical,Sandy,Drip,Wheat,Chemical,19.99644515497178,152.81099345604815,5.200105621859583,3.507853064705365
85,Temperate,Loamy,Flood,Rice,Organic,17.751326765996644,130.1003458621249,6.506920346755141,4.497517548037367
86,Arctic,Loamy,Drip,Wheat,Chemical,22.2614461976543,85.54345438822352,6.740690761206189,9.158016866264422
87,Tropical,Clayey,Sprinkler,Maize,Organic,11.11931114524014,161.58322161779284,4.496813175855095,8.702556629454275
88,Temperate,Loamy,Flood,Rice,Chemical,20.129222375341598,121.01568017574117,7.7752188359669585,5.6441578907586685
89,Tropical,Clayey,Flood,Rice,Organic,27.417811400533335,94.2187526011264,5.364176540760837,3.1429506472487088
90,Tropical,Sandy,Flood,Maize,Organic,14.269230322779375,170.2919413612663,6.852675052001132,2.7386552145972054
91,Tropical,Loamy,Drip,Maize,Chemical,18.527797895388503,154.50704005295427,6.096830875790795,9.586786177321429
92,Tropical,Sandy,Drip,Rice,Organic,28.78961775429751,190.600934468705,4.8910324541884265,2.824449368596188
93,Arctic,Loamy,Sprinkler,Rice,Organic,18.571276756113946,74.81624600283166,7.384913292461644,8.273514798212853
94,Tropical,Sandy,Flood,Maize,Chemical,17.167352646647966,147.37839269547396,7.27295211276772,4.320731885819836
95,Tropical,Loamy,Flood,Wheat,Organic,18.810732962467565,86.6359202132264,5.58428741566676,9.870938628024145
96,Tropical,Loamy,Drip,Rice,Chemical,20.389055330351127,185.53744779524627,6.354430342775421,4.313401663265091
97,Arctic,Loamy,Drip,Maize,Organic,22.63982688262938,64.92491213849235,5.031302783743759,4.163649624196535
98,Tropical,Loamy,Sprinkler,Wheat,Organic,26.01385601833462,148.42427096673157,6.759406514985206,6.737172659898608
99,Tropical,Loamy,Sprinkler,Rice,Organic,19.042044115286284,168.6628582292045,5.236107250481726,9.653651259641373
100,Arctic,Loamy,Drip,Rice,Organic,26.349618701802807,103.23767605470607,7.37631493752894,9.785886452167896
101,Arctic,Loamy,Flood,Maize,Chemical,20.67441322704161,193.12071190757138,4.869540417109097,7.364855318202867
102,Arctic,Loamy,Sprinkler,Wheat,Chemical,16.769610207359555,177.60960268790558,4.059213691273857,7.791457290727183
103,Tropical,Loamy,Drip,Rice,Chemical,23.159016562388285,94.19274495273551,5.074032167871674,6.070619583757249
104,Arctic,Sandy,Drip,Wheat,Organic,24.354445094869828,51.1311639073998,4.764209945837947,7.801981652190987
105,Arctic,Clayey,Flood,Wheat,Organic,21.16097951258975,94.49857641770913,6.033145758899697,8.73801689473447
106,Tropical,Loamy,Drip,Rice,Chemical,11.13229946269447,92.19657057061139,4.814813166626305,5.3748577287552095
107,Arctic,Clayey,Drip,Wheat,Chemical,13.397657503216498,183.49469112513634,7.052759482877979,6.578760365470927
108,Tropical,Loamy,Sprinkler,Rice,Chemical,15.705954417804564,195.06817673821212,4.965482552016016,5.835850257097429
109,Temperate,Loamy,Drip,Wheat,Chemical,15.652512119029861,60.565997895539056,6.827872719650623,6.062235521758095
110,Arctic,Sandy,Drip,Rice,Organic,23.46841600493741,120.69422427999751,6.313883692054896,9.010431188865468
111,Temperate,Sandy,Sprinkler,Maize,Chemical,10.366973233472653,132.24979977946936,7.944999425887538,4.200551471850132
112,Tropical,Clayey,Flood,Rice,Organic,25.113635540990398,63.93674919945549,7.999603908036926,2.8736562304056177
113,Arctic,Sandy,Flood,Rice,Chemical,15.306849496138664,106.62465637062839,7.47810433326932,5.106520992462662
114,Tropical,Sandy,Sprinkler,Rice,Organic,16.200436924322048,97.56236260894259,7.039933477195005,2.8727667143313864
115,Temperate,Clayey,Sprinkler,Wheat,Chemical,20.558196558878485,130.4084531490631,5.545825656002295,5.485603830958173
116,Tropical,Sandy,Flood,Maize,Chemical,14.31851201877915,149.1786349597907,7.013106908525215,9.131572948213527
117,Arctic,Loamy,Flood,Wheat,Organic,27.689426271510552,155.522766574485,7.826702148317963,6.5569016843423
118,Arctic,Clayey,Flood,Wheat,Organic,11.707375586531306,70.51325354200813,4.093510301581777,8.698895679727698
119,Temperate,Clayey,Flood,Rice,Chemical,18.887647246021295,171.9421552916932,6.151658800790955,2.4957182765396064
120,Tropical,Loamy,Flood,Wheat,Organic,26.988445389097798,151.78130446861383,4.871993217553738,9.107862332834591
121,Arctic,Sandy,Sprinkler,Rice,Chemical,22.316877888424713,183.36123751200793,6.231505263475402,6.4160844796640415
122,Temperate,Clayey,Drip,Maize,Organic,15.84659031685267,117.40040891531511,5.865788359035564,1.285838098664318
123,Arctic,Clayey,Flood,Wheat,Chemical,18.415204155529214,184.08346440832872,6.3030743262091375,6.698070597565331
124,Arctic,Loamy,Flood,Wheat,Chemical,24.133887606850294,179.8661183534113,6.203848885674897,9.562572606348262
125,Tropical,Loamy,Drip,Wheat,Chemical,29.465214867277986,115.76139985389044,7.840428156674248,1.7125030042782585
126,Arctic,Sandy,Drip,Rice,Chemical,27.86277436758867,107.1714972939468,6.208744435738945,6.242105174226149
127,Tropical,Clayey,Drip,Rice,Chemical,16.848656167647533,189.92180224553852,7.384928352499469,9.239307425827432
128,Arctic,Sandy,Drip,Wheat,Chemical,29.96395758575715,157.27471018076565,5.2792811472033865,1.0872565150093711
129,Temperate,Sandy,Drip,Wheat,Chemical,10.070093270621165,189.23680196571135,5.752402755164196,6.678216338192409
130,Arctic,Loamy,Drip,Maize,Chemical,10.552595116168302,169.54621683437196,5.88165390417924,5.274120626478664
131,Tropical,Clayey,Sprinkler,Maize,Organic,26.476810303423875,141.39461589371217,5.114912173341519,4.122903867837495
132,Tropical,Clayey,Drip,Maize,Organic,13.989253736661041,67.37791655056468,5.5191610459118206,6.647828409508384
133,Temperate,Clayey,Drip,Maize,Organic,11.215385367924817,93.72210088686478,6.394052317867101,1.4743188512867524
134,Arctic,Loamy,Sprinkler,Maize,Chemical,14.742961464730044,195.32636106475874,6.32075105321813,7.777567416586601
135,Arctic,Loamy,Drip,Rice,Chemical,18.522003079617203,97.91331480713066,6.545741378293922,1.0403152922773686
136,Temperate,Loamy,Flood,Maize,Chemical,24.611325408668097,63.98823046780562,5.407271661680564,3.76242169413117
137,Arctic,Loamy,Flood,Maize,Organic,22.48671053102411,156.133003387898,5.263325980612228,5.535627739162106
138,Arctic,Loamy,Drip,Wheat,Organic,14.752424351208408,160.10063818155265,6.446471531016652,4.393200255098965
139,Tropical,Clayey,Sprinkler,Rice,Organic,20.065408962011688,92.81865804307262,4.5314469937101,3.7672834168502423
140,Arctic,Sandy,Flood,Maize,Organic,28.524282107971374,94.65079690194557,5.01212617412856,8.477516309212865
141,Arctic,Clayey,Sprinkler,Maize,Organic,26.300155539675153,120.33394782631758,4.168510947811981,9.41349316844718
142,Temperate,Sandy,Flood,Maize,Chemical,16.46379569663587,53.26834246433833,4.29044341038432,8.863414164153
143,Temperate,Loamy,Drip,Wheat,Organic,29.645291227113926,168.39845155417453,4.973533117042436,5.701881817449997
144,Tropical,Sandy,Sprinkler,Wheat,Chemical,24.172408008702618,97.56331809111884,4.078117121187676,8.957477576741347
145,Arctic,Clayey,Sprinkler,Wheat,Chemical,11.248987113335636,178.06446530029663,4.981642368349846,9.287754086633893
146,Arctic,Clayey,Sprinkler,Maize,Chemical,10.703214265772774,170.39456324000506,6.619905292248104,4.683145573427158
147,Arctic,Sandy,Flood,Wheat,Organic,13.3681589802006,149.21030496781748,4.244428313875732,3.551012735549009
148,Tropical,Loamy,Flood,Maize,Organic,24.557117361002938,98.73123006489331,5.746946711178564,1.8843868523198828
149,Tropical,Loamy,Flood,Rice,Chemical,13.674778516848558,127.4474842491755,7.652435147678197,5.311827289443062
150,Temperate,Clayey,Drip,Maize,Organic,20.22973538417667,116.72438863969384,7.1651393157016035,9.516672283945972
151,Tropical,Sandy,Flood,Wheat,Organic,11.865202403616635,100.83228293730113,5.221750009179429,6.048167752633339
152,Arctic,Loamy,Drip,Rice,Chemical,28.417723156603902,177.22044339547674,7.699221916766588,7.008058916075544
153,Arctic,Loamy,Sprinkler,Maize,Chemical,16.87921227167135,122.5260611866498,5.318585986990899,2.0159543664266284
154,Tropical,Clayey,Sprinkler,Rice,Chemical,28.162641131212617,174.90846466957197,4.29006198535025,2.2916769772803063
155,Arctic,Loamy,Drip,Rice,Chemical,28.897512838210886,65.78277112127364,7.976223827072454,5.180259357637053
156,Arctic,Sandy,Flood,Rice,Chemical,10.122572946273616,71.15371829005036,7.480090108756687,9.561383190853531
157,Tropical,Clayey,Drip,Maize,Organic,19.28270374397464,196.5980457669465,5.86373113320437,4.24706177432376
158,Tropical,Clayey,Sprinkler,Wheat,Chemical,10.493121114137857,138.16526939091344,6.665506096769615,8.897356371857802
159,Arctic,Sandy,Sprinkler,Maize,Organic,28.173855326058117,126.46545102485734,6.684912311426681,2.082597340831404
160,Arctic,Clayey,Drip,Wheat,Organic,20.368150894691517,128.47340947161675,4.777928922921841,6.553154862403391
161,Arctic,Loamy,Flood,Maize,Chemical,11.498880253969936,82.29031610492898,4.80019453261453,6.405516792194664
162,Temperate,Loamy,Flood,Maize,Chemical,12.205534565531337,157.80559242529597,5.878322813407303,8.738872750632417
163,Temperate,Sandy,Drip,Maize,Organic,17.67018048985478,62.71709355946315,7.646292560550792,1.0298503396441134
164,Temperate,Loamy,Drip,Wheat,Chemical,28.80468385745779,135.99855696545347,4.039975099434283,2.7093850047781496
165,Tropical,Sandy,Flood,Maize,Organic,23.85818303136162,135.61531948788522,7.130022543797438,2.9771886288653358
166,Temperate,Sandy,Sprinkler,Rice,Chemical,27.352377323782648,187.12826362002664,4.230107134858617,9.549694792816636
167,Tropical,Loamy,Drip,Maize,Chemical,17.329132926799595,128.92742151572907,5.912888459532471,2.3832429064290546
168,Tropical,Sandy,Flood,Rice,Organic,10.864273990999965,70.55940439612692,6.551491332293906,1.3326611519850435
169,Temperate,Loamy,Flood,Wheat,Organic,29.486352744088283,135.9129888872244,6.74703706832986,5.810153452676272
170,Temperate,Clayey,Sprinkler,Wheat,Chemical,10.34345981324739,63.699146654799854,4.233917054463646,5.757026161903135
171,Temperate,Clayey,Sprinkler,Maize,Chemical,28.95303306162178,80.56907529498825,5.674414469535873,8.596422688310778
172,Arctic,Sandy,Sprinkler,Maize,Chemical,17.373548476982894,54.66628762811242,6.335349042009298,9.53973685160022
173,Temperate,Loamy,Sprinkler,Maize,Organic,10.201808100437631,126.99403736892475,4.264182149224028,5.846908979261179
174,Arctic,Loamy,Sprinkler,Rice,Chemical,23.783144634490164,62.67989229403585,4.54037822638124,9.3699476417769
175,Tropical,Clayey,Drip,Wheat,Chemical,29.610806080627082,120.40915677969936,6.654595958016154,7.5264323616984665
176,Arctic,Clayey,Flood,Rice,Chemical,29.31251445675185,189.94175529862162,6.086552786362606,3.381032151960265
177,Temperate,Loamy,Drip,Rice,Chemical,13.218740224048368,157.9642119528998,4.647314645073163,9.355786398495336
178,Tropical,Sandy,Drip,Maize,Organic,13.6249561213231,61.61175113379396,6.140957347658934,7.006988585636873
179,Tropical,Clayey,Drip,Maize,Organic,21.310778292393202,83.63147183132648,7.650769493777663,4.726863394683704
180,Tropical,Sandy,Drip,Rice,Organic,22.74609652856649,151.04936298401515,4.062350339101456,7.1221787606523765
181,Arctic,Sandy,Drip,Rice,Chemical,24.788358273317314,184.20527915362754,6.570535093943418,4.611815449693758
182,Temperate,Clayey,Sprinkler,Maize,Chemical,13.62100720944295,54.93778801459307,4.294601738421368,2.0276539118916332
183,Tropical,Sandy,Sprinkler,Maize,Chemical,29.18014173528869,171.8676697580891,4.025797771858803,7.470808724592098
184,Tropical,Sandy,Flood,Rice,Organic,22.77478512578476,134.2720820507463,4.602617954642535,8.416788509536694
185,Tropical,Loamy,Drip,Maize,Organic,26.940938377411097,131.9136987944589,5.691626527415677,7.55925579117449
186,Arctic,Sandy,Flood,Maize,Organic,20.801314305683434,193.67197741300367,7.209375995927812,3.062032009810089
187,Arctic,Loamy,Sprinkler,Rice,Organic,18.285536951797653,162.14669188951598,5.127141986418234,9.609715121298516
188,Temperate,Clayey,Sprinkler,Rice,Chemical,29.543658131899917,177.5178302084168,6.502692849555034,1.2272910552204033
189,Arctic,Clayey,Sprinkler,Wheat,Organic,21.64242741639672,103.09933543170001,5.644626551821227,3.994167676380765
190,Tropical,Loamy,Drip,Rice,Organic,27.337471655983578,133.15460612426148,4.937327167864032,3.3408319108140594
191,Temperate,Clayey,Drip,Maize,Chemical,29.065847927325798,142.3108516141656,6.0569884571314345,1.4331360485336586
192,Tropical,Sandy,Sprinkler,Rice,Organic,23.507092540173183,98.23759105436976,7.1898579614904925,4.651567236898016
193,Tropical,Sandy,Flood,Rice,Chemical,20.978773570373498,135.53721874210993,7.329969480224577,6.60803356146497
194,Arctic,Sandy,Flood,Rice,Chemical,10.070217018213013,85.49830692195707,7.386078127508947,8.942975771365912
195,Temperate,Clayey,Sprinkler,Wheat,Chemical,10.80039281478012,71.50635066023594,5.354231250219918,9.90720744572323
196,Arctic,Sandy,Flood,Wheat,Chemical,14.017024321022326,106.09553889159989,7.173824258863013,8.272806277639582
197,Arctic,Clayey,Sprinkler,Maize,Chemical,13.720168637119905,160.89344431196554,4.8487138204356315,5.218124668415423
198,Temperate,Sandy,Flood,Wheat,Organic,15.095175903996907,187.42807221108313,6.953700404971533,7.5133398337032755
199,Tropical,Loamy,Sprinkler,Rice,Organic,16.098692753953216,118.65710772473489,7.793537705090467,8.592614097306766
200,Tropical,Clayey,Flood,Wheat,Chemical,17.201309871014566,146.42355324131475,4.054975338763828,5.187764767768132
201,Temperate,Clayey,Drip,Rice,Organic,18.41075380137753,65.45556964626508,5.7614557247151925,8.065489906229498
202,Tropical,Sandy,Sprinkler,Wheat,Chemical,11.977326769120292,185.6695637828493,6.591083953656018,5.343871764815891
203,Temperate,Clayey,Sprinkler,Wheat,Organic,10.847238639055641,135.29063203549015,6.807103081950212,4.478463917890505
204,Temperate,Clayey,Flood,Wheat,Organic,23.478888981460468,167.05073714377357,4.704351033076809,5.734817540053851
205,Arctic,Loamy,Sprinkler,Rice,Organic,20.746696496861553,169.16618013820909,7.888733100954371,7.082692638644303
206,Temperate,Loamy,Sprinkler,Wheat,Organic,18.88288404440239,88.47207895521589,6.461061471883892,7.5419385068673765
207,Arctic,Sandy,Sprinkler,Rice,Organic,22.688798823367048,129.37616797727742,4.657362404913071,4.210626420028971
208,Tropical,Loamy,Drip,Rice,Organic,26.553588144070808,194.0719627341466,4.082090046850061,6.141882264004313
209,Tropical,Sandy,Drip,Maize,Organic,18.553858182324092,63.445181723124165,7.133056795159104,9.188837866724024
210,Tropical,Sandy,Flood,Wheat,Chemical,22.822389301039586,152.4574847044345,4.318818957781836,9.786816100995757
211,Tropical,Sandy,Drip,Maize,Chemical,29.071444476703174,194.3396117052758,4.564203684280946,3.0452328206555905
212,Arctic,Clayey,Flood,Maize,Chemical,26.792489917231215,95.08656620810332,6.299320107422762,2.7354804914200734
213,Tropical,Loamy,Drip,Rice,Organic,18.52001621004819,179.2171882106522,6.414022013798479,7.090170700857836
214,Temperate,Sandy,Flood,Wheat,Organic,22.89433675629486,190.04863181124074,6.747548474369594,4.732154972410995
215,Temperate,Loamy,Drip,Rice,Chemical,13.541418438318795,162.06293140922378,5.574056050654483,1.2180010457632333
216,Temperate,Sandy,Drip,Rice,Chemical,21.2104436979018,84.69924684604374,7.095594675867291,4.121756835825558
217,Arctic,Loamy,Flood,Wheat,Organic,29.626565822768857,100.10010782398908,7.897434398463554,8.26070269125027
218,Tropical,Loamy,Sprinkler,Rice,Chemical,20.366302304050446,55.37139416265961,5.084379772319532,8.176842373448643
219,Tropical,Sandy,Sprinkler,Wheat,Chemical,28.552765983802946,174.7179851368033,6.812114466151783,5.452166339349237
220,Tropical,Clayey,Drip,Wheat,Chemical,18.146698410065213,177.441677976662,7.713874609580627,5.253201413987818
221,Arctic,Loamy,Flood,Rice,Chemical,29.976896543692625,144.9065464949289,6.745147050468171,6.215566981909397
222,Temperate,Clayey,Sprinkler,Rice,Organic,21.584400704551157,102.8791776895777,6.724437994577038,2.9745703950721842
223,Temperate,Clayey,Flood,Maize,Chemical,10.84537988471869,61.52165414598808,4.895090276340826,5.734392624018599
224,Tropical,Sandy,Sprinkler,Rice,Chemical,21.73509593382776,162.95864148723643,6.140520801278772,1.0994172405098355
225,Temperate,Sandy,Flood,Wheat,Chemical,15.491453913591933,158.9789290414884,6.250091374418321,5.2800359930482035
226,Temperate,Sandy,Drip,Maize,Chemical,10.649626440717894,186.89037826083515,6.800518249823812,4.024459416255333
227,Arctic,Loamy,Flood,Wheat,Organic,26.41706609389327,159.5798031508043,7.987285799584731,7.073826453132937
228,Arctic,Sandy,Sprinkler,Maize,Chemical,15.514592739615118,174.30424133660028,4.134575290175048,6.7451822573736475
229,Arctic,Sandy,Drip,Rice,Chemical,25.93097108092997,161.89319268559993,4.260930645069948,4.427522921645281
230,Arctic,Loamy,Flood,Rice,Chemical,15.76435165911734,144.60307824684747,4.311800277723675,1.0654568333073242
231,Tropical,Loamy,Sprinkler,Rice,Chemical,13.886527077475485,114.04495912865139,6.971916537955828,3.270462664554644
232,Arctic,Sandy,Drip,Wheat,Chemical,29.47871148208855,185.31759629634166,4.54541518044303,6.700130651702461
233,Temperate,Sandy,Flood,Maize,Organic,17.232906555100392,147.64528578612047,6.489807497961381,1.6513600871575407
234,Tropical,Sandy,Sprinkler,Wheat,Chemical,22.027524228863207,109.75329829488635,5.298675511573833,1.9687817965011747
235,Temperate,Sandy,Flood,Maize,Chemical,22.19962985628943,62.52039427729358,5.829279824842844,6.823315221103784
236,Temperate,Clayey,Flood,Rice,Organic,21.209469643470037,93.60572838565732,4.862652639269656,7.80190660854363
