,Climate_Adaptation_Measures,Disaster_Risk_Reduction_Practices,Climate-Resilient_Crop_Varieties,Crop_Type,Soil_Type,Soil_Health_Index,Farm_Resilience_Index
31,Cover Cropping,Emergency Preparedness,No,Rice,Clayey,1.828724438112578,7.710525146586196
32,Water Conservation,Early Warning Systems,Yes,Wheat,Loamy,3.157697556444326,7.957287088351455
33,Water Conservation,Early Warning Systems,Yes,Maize,Loamy,1.9001628102189003,9.279047627370682
34,Cover Cropping,Early Warning Systems,No,Rice,Sandy,7.227190239576057,4.841585100060604
35,Water Conservation,Emergency Preparedness,No,Wheat,Clayey,1.2613591198829743,3.640698190174555
36,Cover Cropping,Emergency Preparedness,Yes,Rice,Sandy,6.559664505624982,6.756978401108577
37,Cover Cropping,Emergency Preparedness,Yes,Wheat,Sandy,2.2663704774301685,4.741551093515773
38,Drought-Resistant Crops,Emergency Preparedness,Yes,Maize,Clayey,9.506453114601072,6.351386085540801
39,Cover Cropping,Early Warning Systems,No,Maize,Clayey,9.397846657988689,4.779872186103551
40,Drought-Resistant Crops,Early Warning Systems,No,Rice,Clayey,3.0295279226886636,2.3769620801035702
41,Cover Cropping,Emergency Preparedness,No,Rice,Loamy,6.529791684007265,5.224840764930626
42,Cover Cropping,Early Warning Systems,No,Rice,Sandy,1.252047875252126,7.218260397469296
43,Drought-Resistant Crops,Early Warning Systems,Yes,Wheat,Loamy,9.386096887460567,8.19355426900885
44,Drought-Resistant Crops,Emergency Preparedness,Yes,Maize,Clayey,5.7068857737253875,5.439936491168922
45,Cover Cropping,Emergency Preparedness,Yes,Rice,Loamy,1.389008362760011,2.487141011893608
46,Water Conservation,Emergency Preparedness,Yes,Rice,Clayey,4.082499937073236,4.732189386844884
47,Drought-Resistant Crops,Emergency Preparedness,No,Rice,Clayey,1.691645156751108,8.076645359575284
48,Water Conservation,Emergency Preparedness,No,Wheat,Sandy,4.536499954360239,4.7157334355536555
49,Water Conservation,Emergency Preparedness,Yes,Rice,Sandy,7.029337079451908,7.268777142438001
50,Water Conservation,Early Warning Systems,Yes,Rice,Sandy,5.229009172372956,5.564923135102808
51,Drought-Resistant Crops,Early Warning Systems,Yes,Wheat,Loamy,4.45349957247509,3.1710081259845704
52,Water Conservation,Emergency Preparedness,Yes,Wheat,Sandy,2.072413409864183,8.165354572207669
53,Drought-Resistant Crops,Early Warning Systems,Yes,Rice,Clayey,3.204451411242907,1.7579210866361832
54,Water Conservation,Emergency Preparedness,No,Rice,Sandy,1.90128958964516,5.724012544796356
55,Cover Cropping,Emergency Preparedness,No,Wheat,Loamy,8.267488584909946,2.8800193081906444
56,Cover Cropping,Emergency Preparedness,Yes,Maize,Sandy,2.217158451862503,1.603590656872381
57,Drought-Resistant Crops,Emergency Preparedness,Yes,Wheat,Sandy,6.358360298940042,5.52640543374924
58,Cover Cropping,Early Warning Systems,Yes,Maize,Sandy,4.084663722299613,5.496059403414312
59,Cover Cropping,Emergency Preparedness,No,Rice,Loamy,3.0338054618966517,7.3621081150814875
60,Water Conservation,Early Warning Systems,No,Rice,Clayey,6.755215955428934,7.702756237467144
61,Drought-Resistant Crops,Emergency Preparedness,No,Maize,Clayey,5.113020784392466,7.550123398236071
62,Water Conservation,Emergency Preparedness,Yes,Wheat,Clayey,4.601309205561032,4.686028596250795
63,Water Conservation,Emergency Preparedness,No,Rice,Sandy,6.335668044029994,6.685208085039063
64,Water Conservation,Early Warning Systems,Yes,Maize,Sandy,5.421408656410007,6.192507183795643
65,Water Conservation,Emergency Preparedness,No,Wheat,Loamy,3.731357876964047,4.794055805052277
66,Water Conservation,Emergency Preparedness,No,Maize,Clayey,6.031551589887265,6.374914247673939
67,Water Conservation,Emergency Preparedness,No,Wheat,Sandy,7.025487188956251,9.525230890356363
68,Water Conservation,Early Warning Systems,Yes,Wheat,Sandy,1.2402384272816884,2.7360436931323964
69,Drought-Resistant Crops,Early Warning Systems,Yes,Wheat,Sandy,5.192845560169078,9.151948862069737
70,Cover Cropping,Early Warning Systems,No,Wheat,Loamy,1.519149561251894,1.4810996258487852
71,Water Conservation,Emergency Preparedness,Yes,Maize,Clayey,2.6776487266129996,3.775502916114946
72,Water Conservation,Early Warning Systems,Yes,Maize,Loamy,6.044578606701758,3.5933072375037542
73,Water Conservation,Emergency Preparedness,Yes,Maize,Clayey,8.795700237390227,6.6372859709281515
74,Water Conservation,Early Warning Systems,Yes,Maize,Clayey,8.945251112696363,2.181024565995613
75,Water Conservation,Early Warning Systems,Yes,Maize,Sandy,1.6294960912476815,8.941128506557783
76,Water Conservation,Emergency Preparedness,Yes,Wheat,Sandy,4.77194577658036,8.456962676185372
77,Cover Cropping,Early Warning Systems,Yes,Rice,Sandy,6.247058347040961,6.8685923771675
78,Cover Cropping,Emergency Preparedness,No,Rice,Sandy,2.3236291409530905,5.12572448612978
79,Water Conservation,Emergency Preparedness,Yes,Maize,Sandy,7.8888899507029455,9.396604379278706
80,Cover Cropping,Early Warning Systems,Yes,Maize,Clayey,7.698117325935149,8.476718992485004
81,Drought-Resistant Crops,Emergency Preparedness,No,Rice,Sandy,9.130069123361151,5.493836332731204
82,Water Conservation,Emergency Preparedness,No,Wheat,Sandy,1.0763741087509873,7.316860190088801
83,Drought-Resistant Crops,Early Warning Systems,No,Maize,Loamy,2.950158195901024,6.102369569617161
84,Drought-Resistant Crops,Early Warning Systems,No,Wheat,Loamy,8.444680428207896,6.291480145494381
85,Water Conservation,Emergency Preparedness,Yes,Rice,Clayey,7.035220457442419,3.9787846249372416
86,Cover Cropping,Early Warning Systems,No,Rice,Clayey,9.049508683286417,5.158761441624071
87,Drought-Resistant Crops,Emergency Preparedness,No,Maize,Loamy,1.5146168907723987,1.7030928771076979
88,Water Conservation,Emergency Preparedness,Yes,Wheat,Loamy,6.372675691447985,4.216138224981332
89,Drought-Resistant Crops,Early Warning Systems,Yes,Maize,Sandy,6.1214191740430675,7.262456638259367
90,Drought-Resistant Crops,Early Warning Systems,Yes,Rice,Sandy,1.3210697472447914,9.578944274555678
91,Drought-Resistant Crops,Early Warning Systems,No,Wheat,Clayey,5.621698692212352,9.667577014867183
92,Drought-Resistant Crops,Early Warning Systems,Yes,Maize,Loamy,6.485682801789318,6.001505822124025
93,Cover Cropping,Emergency Preparedness,No,Maize,Clayey,2.721638567818965,6.459600266286238
94,Drought-Resistant Crops,Emergency Preparedness,Yes,Maize,Sandy,3.459966248121966,2.6714906695087075
95,Drought-Resistant Crops,Early Warning Systems,Yes,Rice,Clayey,6.763126116679634,7.257772972841776
96,Drought-Resistant Crops,Early Warning Systems,No,Maize,Clayey,5.214708528399625,1.6359291340694762
97,Cover Cropping,Emergency Preparedness,Yes,Wheat,Clayey,8.722122918114941,3.5621711721950007
98,Drought-Resistant Crops,Emergency Preparedness,Yes,Maize,Sandy,4.081435894082695,7.01527012556898
99,Drought-Resistant Crops,Emergency Preparedness,Yes,Rice,Clayey,3.3999369254938103,3.7927911838914037
100,Cover Cropping,Emergency Preparedness,Yes,Maize,Sandy,9.863793463103585,1.4486218670300888
101,Cover Cropping,Early Warning Systems,Yes,Rice,Loamy,9.20022193117075,8.486833684158675
102,Cover Cropping,Emergency Preparedness,No,Rice,Clayey,1.2609347049908188,3.7929700642110675
103,Drought-Resistant Crops,Emergency Preparedness,No,Wheat,Clayey,7.936557537759093,1.567947023728106
104,Cover Cropping,Early Warning Systems,Yes,Wheat,Sandy,1.9930129644268266,1.6730934805257867
105,Cover Cropping,Emergency Preparedness,No,Maize,Clayey,1.2473667534643385,3.2658291890987825
106,Drought-Resistant Crops,Emergency Preparedness,No,Rice,Sandy,3.46325964369714,2.6021435249937364
107,Cover Cropping,Early Warning Systems,No,Rice,Clayey,3.4241129115499387,7.968701060021358
108,Drought-Resistant Crops,Early Warning Systems,Yes,Wheat,Loamy,8.373868861122682,3.89515642000331
109,Water Conservation,Early Warning Systems,Yes,Wheat,Loamy,7.396005213485516,8.242262065358492
110,Cover Cropping,Emergency Preparedness,Yes,Maize,Loamy,9.834484845988129,2.5646139804083754
111,Water Conservation,Emergency Preparedness,No,Rice,Clayey,7.4036161028063665,5.435912615896754
112,Drought-Resistant Crops,Early Warning Systems,No,Wheat,Clayey,4.764299979304431,7.192334201978159
113,Cover Cropping,Early Warning Systems,Yes,Maize,Loamy,7.290348948506952,6.867917684792694
114,Drought-Resistant Crops,Emergency Preparedness,Yes,Rice,Loamy,9.995131604677619,6.410164689372419
115,Water Conservation,Early Warning Systems,No,Rice,Sandy,7.391276943062753,9.323394417380529
116,Drought-Resistant Crops,Early Warning Systems,No,Wheat,Sandy,7.855132203822865,3.0567263293606994
117,Cover Cropping,Early Warning Systems,Yes,Maize,Loamy,9.445285136712334,5.4434728401589485
118,Cover Cropping,Emergency Preparedness,No,Wheat,Loamy,2.02286135180515,8.955932950651679
119,Water Conservation,Emergency Preparedness,No,Maize,Clayey,7.3430586410295415,1.7010438903564133
120,Drought-Resistant Crops,Emergency Preparedness,No,Rice,Loamy,8.65725362170704,1.5029944142776772
121,Cover Cropping,Emergency Preparedness,No,Maize,Sandy,9.589407401988037,3.099720588024623
122,Water Conservation,Emergency Preparedness,No,Maize,Sandy,2.8987236074052944,6.697190975842166
123,Cover Cropping,Emergency Preparedness,No,Maize,Sandy,5.535361069518197,3.338916638048262
124,Cover Cropping,Early Warning Systems,No,Maize,Sandy,7.124993628800336,2.712158954279191
125,Drought-Resistant Crops,Emergency Preparedness,Yes,Maize,Sandy,3.227209565512037,5.1292208382246285
126,Cover Cropping,Emergency Preparedness,Yes,Wheat,Sandy,6.404255769252466,6.522382618924703
127,Drought-Resistant Crops,Early Warning Systems,No,Maize,Loamy,3.3182090424819943,3.2370193631506634
128,Cover Cropping,Emergency Preparedness,No,Maize,Sandy,4.001113184784826,3.7062206805136784
129,Water Conservation,Emergency Preparedness,No,Rice,Sandy,4.973668268597786,6.522033743303625
130,Cover Cropping,Early Warning Systems,Yes,Maize,Sandy,5.762710888719103,9.511645797905075
131,Drought-Resistant Crops,Early Warning Systems,Yes,Rice,Sandy,5.044292844626356,7.072675546942794
132,Drought-Resistant Crops,Early Warning Systems,No,Wheat,Loamy,5.438759678091363,8.04613729226104
133,Water Conservation,Emergency Preparedness,Yes,Wheat,Clayey,3.6872988065946335,4.3012908527992195
134,Cover Cropping,Early Warning Systems,No,Maize,Clayey,2.4306858462036756,3.4502892344601945
135,Cover Cropping,Emergency Preparedness,No,Wheat,Clayey,1.426149795941555,5.088409688823603
136,Water Conservation,Emergency Preparedness,No,Maize,Clayey,2.763808502425009,8.264195458405062
137,Cover Cropping,Emergency Preparedness,No,Wheat,Sandy,6.237492773552047,5.106696776115003
138,Cover Cropping,Emergency Preparedness,No,Maize,Clayey,8.07503903022819,8.620528679108748
139,Drought-Resistant Crops,Early Warning Systems,No,Maize,Clayey,2.523228376986051,9.898947826256144
140,Cover Cropping,Early Warning Systems,No,Rice,Loamy,1.976998219953836,1.648239991573027
141,Cover Cropping,Emergency Preparedness,Yes,Rice,Loamy,7.743613244943252,1.4086914047533332
142,Water Conservation,Early Warning Systems,No,Rice,Loamy,3.746424974835607,2.3463073262202565
143,Water Conservation,Emergency Preparedness,Yes,Rice,Sandy,9.563494953046172,4.459327081609116
144,Drought-Resistant Crops,Emergency Preparedness,No,Maize,Sandy,7.428861735493357,2.1793798823088917
145,Cover Cropping,Emergency Preparedness,No,Wheat,Sandy,3.940804425187278,8.835980298568803
146,Cover Cropping,Early Warning Systems,Yes,Maize,Loamy,3.6058847301433445,1.208316259243574
147,Cover Cropping,Emergency Preparedness,Yes,Rice,Clayey,5.713285476441781,3.842134447022403
148,Drought-Resistant Crops,Emergency Preparedness,No,Rice,Loamy,1.712302014503885,2.6622516654478483
149,Drought-Resistant Crops,Early Warning Systems,Yes,Wheat,Sandy,2.059088613807691,9.38385397141779
150,Water Conservation,Early Warning Systems,No,Rice,Loamy,2.5827209318457327,7.025329044010252
151,Drought-Resistant Crops,Early Warning Systems,No,Maize,Clayey,7.972512339741042,9.20827230806237
152,Cover Cropping,Early Warning Systems,Yes,Maize,Sandy,5.624716233422102,9.75095839279354
153,Cover Cropping,Emergency Preparedness,Yes,Maize,Clayey,1.0951041049699866,5.473884193096323
154,Drought-Resistant Crops,Early Warning Systems,Yes,Maize,Clayey,7.061648747248981,3.1088719724322362
155,Cover Cropping,Emergency Preparedness,Yes,Maize,Sandy,4.813211607944474,2.7435590757693036
156,Cover Cropping,Early Warning Systems,No,Wheat,Clayey,5.597671284674181,3.0062697551725646
157,Drought-Resistant Crops,Early Warning Systems,Yes,Maize,Loamy,2.9270461907164202,7.377339768598026
158,Drought-Resistant Crops,Early Warning Systems,Yes,Rice,Clayey,5.966040055546933,1.3640115531070065
159,Cover Cropping,Early Warning Systems,Yes,Rice,Clayey,9.812379157763397,1.462249657294434
160,Cover Cropping,Early Warning Systems,Yes,Rice,Clayey,1.661002219051853,6.47328648144835
161,Cover Cropping,Early Warning Systems,Yes,Rice,Loamy,3.5552565969798757,6.778514320636659
162,Water Conservation,Emergency Preparedness,No,Wheat,Clayey,3.186978335747468,6.98736631890214
163,Water Conservation,Early Warning Systems,No,Rice,Clayey,3.2369437967606163,4.346924541297321
164,Water Conservation,Early Warning Systems,Yes,Wheat,Loamy,4.408357218088396,8.253503998427378
165,Drought-Resistant Crops,Early Warning Systems,Yes,Rice,Sandy,8.362988062697507,5.802621289539558
166,Water Conservation,Early Warning Systems,No,Wheat,Sandy,9.215728209679487,1.949190670084775
167,Drought-Resistant Crops,Emergency Preparedness,Yes,Wheat,Sandy,2.8199357871307598,8.173893763606106
168,Drought-Resistant Crops,Early Warning Systems,No,Wheat,Clayey,5.886549441533015,9.577610076434125
169,Water Conservation,Early Warning Systems,No,Rice,Sandy,6.7320907494893225,1.540326817021228
170,Water Conservation,Early Warning Systems,Yes,Wheat,Loamy,5.696447269274604,4.522162048305219
171,Water Conservation,Early Warning Systems,No,Maize,Clayey,4.906687547772276,5.387644403512729
172,Cover Cropping,Emergency Preparedness,Yes,Maize,Clayey,2.7277795527331405,2.3182368407048526
173,Water Conservation,Early Warning Systems,Yes,Rice,Clayey,5.393974232793147,8.809380530045894
174,Cover Cropping,Emergency Preparedness,No,Maize,Sandy,4.61093344940196,3.557346804010396
175,Drought-Resistant Crops,Early Warning Systems,No,Maize,Sandy,8.160070262520428,8.047076859443441
176,Cover Cropping,Emergency Preparedness,Yes,Maize,Sandy,7.872439232466957,7.038950338254844
177,Water Conservation,Emergency Preparedness,No,Rice,Clayey,2.2059881308510363,6.382412402203211
178,Drought-Resistant Crops,Early Warning Systems,Yes,Rice,Loamy,1.796671473067608,2.7292856382689896
179,Drought-Resistant Crops,Early Warning Systems,No,Maize,Clayey,9.173385489047527,2.9863316849581514
180,Drought-Resistant Crops,Emergency Preparedness,No,Rice,Loamy,5.81957550068048,1.4261356427191239
181,Cover Cropping,Emergency Preparedness,Yes,Wheat,Clayey,8.720208435543316,3.1664118680403974
182,Water Conservation,Early Warning Systems,Yes,Maize,Loamy,1.5233600850976103,4.108992485144627
183,Drought-Resistant Crops,Emergency Preparedness,Yes,Rice,Clayey,5.738640548694672,8.498307734761827
184,Drought-Resistant Crops,Emergency Preparedness,No,Rice,Clayey,5.854838631186127,4.297534000433248
185,Drought-Resistant Crops,Emergency Preparedness,Yes,Maize,Loamy,8.74631829287935,7.791596044890458
186,Cover Cropping,Early Warning Systems,Yes,Rice,Loamy,1.8784899840673677,4.954980531659388
187,Cover Cropping,Emergency Preparedness,No,Maize,Loamy,3.1640100730831837,8.063814807944995
188,Water Conservation,Emergency Preparedness,No,Rice,Loamy,4.6588448249831185,9.78644440393336
189,Cover Cropping,Emergency Preparedness,Yes,Wheat,Loamy,8.792573278779479,3.158574022518221
190,Drought-Resistant Crops,Early Warning Systems,Yes,Maize,Loamy,9.449949835635103,8.761074507674884
191,Water Conservation,Early Warning Systems,Yes,Wheat,Loamy,9.93452157634265,6.596416776751973
192,Drought-Resistant Crops,Emergency Preparedness,Yes,Maize,Loamy,9.632741378126694,8.355648354297895
193,Drought-Resistant Crops,Early Warning Systems,No,Rice,Clayey,1.0534758025991897,6.864273120410247
194,Cover Cropping,Emergency Preparedness,No,Wheat,Loamy,1.4293750730848482,4.815545565467351
195,Water Conservation,Early Warning Systems,Yes,Rice,Loamy,2.328461372418298,3.0526744549761133
196,Cover Cropping,Early Warning Systems,Yes,Maize,Clayey,4.139758870932458,1.6303170279804853
197,Cover Cropping,Emergency Preparedness,Yes,Maize,Clayey,8.469262278882628,5.819665280146453
198,Water Conservation,Early Warning Systems,No,Maize,Sandy,9.033905758019324,9.91293485074179
199,Drought-Resistant Crops,Early Warning Systems,Yes,Maize,Sandy,2.6815096566512473,7.642376245127856
200,Drought-Resistant Crops,Early Warning Systems,Yes,Maize,Loamy,6.576977364577378,3.9461098725911494
201,Water Conservation,Emergency Preparedness,No,Wheat,Loamy,9.25625786558749,8.444843200780618
202,Drought-Resistant Crops,Early Warning Systems,No,Maize,Sandy,5.173585623381887,7.920856001587659
203,Water Conservation,Early Warning Systems,Yes,Rice,Sandy,1.9318921475750557,3.534722140181111
204,Water Conservation,Emergency Preparedness,Yes,Wheat,Loamy,5.1203228507616245,1.128767408148112
205,Cover Cropping,Early Warning Systems,No,Rice,Sandy,4.382154120592515,2.0634637468055463
206,Water Conservation,Early Warning Systems,Yes,Maize,Loamy,6.198921964594063,8.89575571280852
207,Cover Cropping,Early Warning Systems,Yes,Rice,Clayey,4.947928159663933,8.529067317743845
208,Drought-Resistant Crops,Early Warning Systems,No,Wheat,Clayey,1.1561133416834615,3.656881007905262
209,Drought-Resistant Crops,Early Warning Systems,No,Wheat,Sandy,9.94597960072304,3.5667588365597838
210,Drought-Resistant Crops,Emergency Preparedness,No,Wheat,Clayey,5.891862139575139,8.13578488392224
211,Drought-Resistant Crops,Emergency Preparedness,Yes,Rice,Clayey,5.262676799361486,9.439637229058798
212,Cover Cropping,Early Warning Systems,No,Wheat,Clayey,9.591556343536485,8.012235311178399
213,Drought-Resistant Crops,Early Warning Systems,No,Rice,Clayey,2.4027433082836938,6.450208093276854
214,Water Conservation,Early Warning Systems,Yes,Maize,Loamy,2.703138422907234,3.184042152986241
215,Water Conservation,Emergency Preparedness,Yes,Maize,Loamy,8.272132741565052,5.731731226857346
216,Water Conservation,Emergency Preparedness,No,Rice,Sandy,3.347479720225079,3.1016067273393815
217,Cover Cropping,Early Warning Systems,No,Wheat,Clayey,8.193043956623743,8.272102780870963
218,Drought-Resistant Crops,Early Warning Systems,Yes,Rice,Clayey,3.4438013461765227,4.482649715659635
219,Drought-Resistant Crops,Emergency Preparedness,Yes,Rice,Clayey,1.2986886720250133,8.503274952946235
220,Drought-Resistant Crops,Early Warning Systems,No,Rice,Sandy,5.6531325149804434,4.434482961844528
221,Cover Cropping,Emergency Preparedness,No,Maize,Loamy,2.7701779071417523,8.417344646799023
222,Water Conservation,Emergency Preparedness,Yes,Rice,Clayey,7.82061663639224,3.9998603364871776
223,Water Conservation,Early Warning Systems,No,Maize,Loamy,6.770796699089333,4.961194341559029
224,Drought-Resistant Crops,Emergency Preparedness,Yes,Rice,Sandy,9.31242401180126,6.539395774083918
225,Water Conservation,Early Warning Systems,No,Maize,Loamy,8.046895215391622,1.632588526269268
226,Water Conservation,Early Warning Systems,Yes,Rice,Clayey,2.6269835935665418,9.53386355633918
227,Cover Cropping,Early Warning Systems,Yes,Rice,Loamy,8.201424129983167,6.162452075114229
228,Cover Cropping,Early Warning Systems,No,Wheat,Loamy,6.77563340332621,5.57038013221722
229,Cover Cropping,Early Warning Systems,No,Wheat,Sandy,7.020564775845624,8.55454574007921
230,Cover Cropping,Early Warning Systems,Yes,Rice,Sandy,8.49036597373134,8.791864569071448
231,Drought-Resistant Crops,Emergency Preparedness,No,Rice,Sandy,6.164416622700462,5.700343640761144
232,Cover Cropping,Emergency Preparedness,No,Rice,Sandy,5.1940316291771165,9.345360932142736
233,Water Conservation,Emergency Preparedness,No,Rice,Loamy,6.729769318228552,1.5826398946883256
234,Drought-Resistant Crops,Emergency Preparedness,Yes,Wheat,Loamy,3.6816168606252315,2.0190321302609577
235,Water Conservation,Early Warning Systems,No,Maize,Sandy,2.6433741797838937,6.371094070129962
236,Water Conservation,Emergency Preparedness,No,Rice,Sandy,6.549290542641217,4.186592756142253
237,Water Conservation,Emergency Preparedness,Yes,Wheat,Clayey,3.1046353217692992,5.17802649570279
238,Cover Cropping,Emergency Preparedness,No,Rice,Clayey,1.7192359841194604,3.952712961074499
239,Cover Cropping,Early Warning Systems,No,Rice,Sandy,1.0049876612672852,4.642527803004421
240,Drought-Resistant Crops,Emergency Preparedness,Yes,Maize,Loamy,6.474874612600604,8.403817124316696
241,Drought-Resistant Crops,Early Warning Systems,Yes,Rice,Sandy,4.259339051322131,6.341285798688742
242,Cover Cropping,Emergency Preparedness,No,Rice,Loamy,7.770798736061104,9.976100943551485
243,Water Conservation,Early Warning Systems,No,Maize,Loamy,4.376587584817922,8.081912780388667
244,Drought-Resistant Crops,Early Warning Systems,Yes,Maize,Clayey,5.374031034144041,3.46299628691644
245,Cover Cropping,Emergency Preparedness,Yes,Maize,Sandy,4.663764755338464,3.379106059540266
246,Cover Cropping,Early Warning Systems,No,Maize,Sandy,6.855173119984115,4.023084431053064
247,Cover Cropping,Early Warning Systems,No,Wheat,Loamy,4.205252458134714,8.589335325829683
248,Water Conservation,Emergency Preparedness,No,Wheat,Sandy,9.67390884948078,1.2455888558550905
249,Cover Cropping,Emergency Preparedness,Yes,Wheat,Clayey,9.425322879386771,3.0716315098413194
250,Cover Cropping,Emergency Preparedness,No,Rice,Clayey,8.632251123915532,9.144265783098403
251,Cover Cropping,Early Warning Systems,Yes,Maize,Sandy,9.282702435154732,6.759067924749267
252,Cover Cropping,Early Warning Systems,Yes,Maize,Sandy,5.0422571961345195,3.0416238595095075
253,Drought-Resistant Crops,Early Warning Systems,Yes,Wheat,Clayey,5.827873571105429,2.972304714093223
254,Drought-Resistant Crops,Emergency Preparedness,No,Rice,Sandy,7.6788333330242,8.763562915834875
255,Cover Cropping,Early Warning Systems,No,Rice,Loamy,7.26531332444687,9.043817574493419
256,Water Conservation,Early Warning Systems,No,Rice,Sandy,9.016107360449237,3.3051798186590373
257,Drought-Resistant Crops,Early Warning Systems,Yes,Wheat,Loamy,7.446979245310257,4.78459322268879
258,Cover Cropping,Early Warning Systems,No,Rice,Sandy,9.980962374056144,8.511361647654855
259,Drought-Resistant Crops,Early Warning Systems,Yes,Rice,Sandy,4.136552198484319,7.939066947488969
260,Drought-Resistant Crops,Early Warning Systems,Yes,Rice,Clayey,8.496979680154762,8.32524495909476
261,Water Conservation,Early Warning Systems,Yes,Maize,Loamy,7.278713405493978,5.665583717091719
262,Cover Cropping,Emergency Preparedness,Yes,Wheat,Clayey,7.222478006935167,9.203941434746557
263,Cover Cropping,Emergency Preparedness,Yes,Maize,Sandy,3.93252035360499,3.9335638955899173
264,Water Conservation,Emergency Preparedness,Yes,Maize,Clayey,8.070416131807203,2.410049209127662
265,Water Conservation,Early Warning Systems,No,Wheat,Sandy,9.103384201128392,7.378590993083783
266,Cover Cropping,Early Warning Systems,Yes,Maize,Sandy,2.9669361536850665,5.854189744062067
267,Cover Cropping,Emergency Preparedness,No,Rice,Sandy,6.629471534050337,8.69127191928533
268,Water Conservation,Early Warning Systems,Yes,Rice,Loamy,4.529213461924977,1.7304332421224347
269,Drought-Resistant Crops,Emergency Preparedness,No,Rice,Loamy,9.905933073653893,8.5932316309426
270,Drought-Resistant Crops,Early Warning Systems,No,Rice,Loamy,5.3094953424851346,3.6396518788793997
271,Water Conservation,Early Warning Systems,No,Wheat,Clayey,3.0548815641724842,6.893701004513647
272,Drought-Resistant Crops,Emergency Preparedness,No,Maize,Sandy,4.436718626996493,1.361159101704302
273,Water Conservation,Emergency Preparedness,Yes,Maize,Clayey,6.884545508349636,6.486231666732406
274,Drought-Resistant Crops,Emergency Preparedness,Yes,Rice,Clayey,1.6848043421461865,7.455445202686024
275,Drought-Resistant Crops,Emergency Preparedness,Yes,Rice,Sandy,6.432417281991138,4.318751930550583
276,Cover Cropping,Emergency Preparedness,Yes,Maize,Clayey,9.381022832610082,2.938696347359262
277,Cover Cropping,Early Warning Systems,No,Wheat,Sandy,8.653265088920655,5.838676089431905
278,Drought-Resistant Crops,Early Warning Systems,No,Maize,Sandy,1.6090618299218504,8.498717239920818
279,Drought-Resistant Crops,Early Warning Systems,No,Rice,Sandy,9.940508908651614,3.911926224669857
